rank	username	minecraft:mined/minecraft:dead_bubble_coral_fan
1	Di_infiri	56
2	pintsizedrogue	36
3	HellsSponge	24
4	mihimihimihi	15
5	Spacewardharpy7	12
6	Prismyst	9
6	joethahobo	9
6	Soplight	9
9	Mahoose	7
9	Jackattack53	7
11	PlasticOtari	6
12	Lez_	4
12	gamerlord1324	4
14	noam464	3
14	Factoroni	3
14	Yamdalorian	3
17	catandmoose	2
17	MightyWertu	2
17	pixelviolin	2
20	ImpavidArcher	1
20	Blackberry1310	1
20	Rebytre	1
20	Werbe	1
20	Onennon	1
20	groofles	1
20	NameGenerat0r	1
20	FreakGenius	1
20	FishisTTV	1
