rank	username	minecraft:mined/minecraft:brown_concrete_powder
1	ApophisNova	334
1	MyNamaSheff	334
3	Fullut	200
4	EveryonesUncle	170
5	diamondgolem35	152
6	Blackberry1310	129
7	Legendosh	63
8	Mahoose	42
9	TheSecondLord	24
10	groofles	20
10	PlasticOtari	20
12	LordSpeed37	17
13	noodlepack	13
13	LeGold	13
15	bpmm	8
16	LeEricc	6
17	Kowcio_	5
18	burbankbuilder28	4
18	lexrl_	4
20	Snowflowe	3
21	RoofTyler	2
21	Smoke____	2
23	LeDuctTape	1
23	joethahobo	1
23	noam464	1
23	Deathkob	1
23	LexMakesHistory	1
23	claivin	1
23	Blu3beast	1
23	fluddd	1
23	Spacewardharpy7	1
23	lordpipe	1
23	YungMaki	1
23	jcool7	1
