rank	username	minecraft:mined/minecraft:smooth_sandstone_stairs
1	sebastiensaborio	1713
2	Frozil12	858
3	500am	696
4	2Stout	560
5	Soplight	489
6	__tomato	405
7	Mahoose	351
8	Enderslayerxz3	294
9	kekhon	273
10	_stets	237
11	Merv__	228
12	KarlKaek	215
13	himak1	190
14	SteveCraftBlocks	189
15	WyngGoy	182
16	TheShyPig	178
17	ImpavidArcher	174
18	Blackberry1310	159
19	Di_infiri	142
20	jnp_gaming	127
21	Hyugo	124
22	Freak_Genius	109
23	Onennon	108
24	John6970	107
25	gcaisawesome	98
26	Kim_Jong_eel	85
26	Sky_light_KING	85
28	Babushka0430	80
29	Groovy_MoonBird	73
30	peach0s	66
31	Hermanni__	65
32	SkateboardR6	63
32	Sral7	63
34	TheDankPlatypus	58
35	RebelAndroid	52
36	Eraxa	51
37	XxCookiequeenxX	44
38	eitanzaki	43
39	beeperbeeper5	42
39	YungJakobo	42
39	Legendosh	42
42	Hpdinosaur	40
42	Ssor69	40
42	Studyhallsaver	40
45	TechnoNinja64	35
46	Wowful	34
47	CoffeeNoir	32
47	Werbe	32
49	Akoot_	31
50	Fullut	30
51	Septemb3r	28
52	Wooptey	27
53	Cryptacity	24
53	Inbefour	24
55	thescout7	21
55	SexcMf	21
57	joethahobo	20
58	AuroraValkyrie	19
58	_Bguette_	19
60	MeowMeowMcmuffin	17
61	ApophisNova	16
61	MyNamaSheff	16
63	Vizzoid	15
63	Inchef	15
63	FreddyFart	15
63	Meatlaugh	15
67	andy_rex	14
67	ooga47	14
67	victorLIE	14
67	NameGenerat0r	14
71	Winklepicker279	13
72	duqboy	12
72	DarlaMeow	12
72	Racengan	12
75	Skylord_Luke	11
76	WarMachina	10
76	chipklip	10
76	MyNameIsDakar	10
79	mwrty	9
79	SuperPooch06	9
79	The_slideV3	9
79	SwooshBoi	9
79	YoshikageBites	9
84	TheSecondLord	8
84	RodSerlingCringe	8
86	rarrq	7
87	pintsizedrogue	6
87	YungMaki	6
87	stahouo	6
87	oxfordschool	6
87	AltnumberF4	6
87	PlasticOtari	6
93	Nicserso	5
94	MyNameIsJobo	4
94	burbankbuilder28	4
94	El_Jalapeno	4
94	ReyTheLegend	4
98	Natofthese	3
98	SeverianTheLame	3
98	Kakolbus	3
98	mariominejedi	3
98	Jackattack53	3
98	Hiryu27	3
98	jcool7	3
98	EcksDofficial	3
106	PhantomsGhost_	2
106	I_Am_Mushkin	2
106	bigstankyy	2
106	SDMNAEK	2
106	xxPipperDipperxx	2
106	Karetoko	2
106	Deathkob	2
106	silverpopcorn	2
106	ElectricDragon81	2
106	Winston_Ingram	2
106	Calbo_	2
117	KingFaenor	1
117	jacxhadow	1
117	MinttyFressh	1
117	Lor1113	1
117	egglapras	1
117	noam464	1
117	Voxin2K	1
117	RobotMinion101	1
117	MousePlays	1
117	Nycteus_	1
117	fluddd	1
117	MightyWertu	1
117	Warlord324	1
117	Kyrum2169	1
117	_3Stump_	1
117	erkada	1
117	kinas45y5	1
