rank	username	minecraft:mined/minecraft:activator_rail
1	noam464	387
2	El_Jalapeno	203
3	pintsizedrogue	163
4	eitanzaki	150
5	Di_infiri	140
6	ProfessorBee	123
7	Spacewardharpy7	80
8	vandmanden	63
9	Historical_Sand	50
10	kekhon	37
11	pixelviolin	36
12	thewindmillman	35
13	beeperbeeper5	34
14	gcaisawesome	30
15	12Magner05	21
16	EMC_	17
17	HellsSponge	15
18	Hyp3rion_	14
18	Smoke____	14
20	jnp_gaming	12
21	MightyWertu	11
21	Blaiku	11
21	EcksD	11
24	Mahoose	10
24	Rumpletaezer	10
24	PigDab	10
27	SteveCraftBlocks	9
27	Groundler	9
27	KG1999	9
27	MeetTheWollo	9
31	NotMeanttoChange	8
32	bloodbiter	7
32	Werbe	7
32	Freak_Genius	7
32	non089	7
36	RoskobiOne	6
36	ShedJr_	6
36	eviltunix	6
36	Jackattack53	6
36	K_a__a_n	6
41	_Virify_	5
41	joethahobo	5
41	WyngGoy	5
41	Soplight	5
45	Snowflowe	4
45	MinuteMira	4
45	LexMakesHistory	4
45	claivin	4
45	censorsheep	4
45	TechnoNinja64	4
51	Jovaphobic	3
51	thescout7	3
51	Lord_Jord	3
51	Blu3beast	3
51	BumbleBeever	3
51	mawileite	3
51	Nicserso	3
58	ivorico	2
58	PegLegPete93	2
58	Inchef	2
58	ClemenPine	2
58	TheSeismicDuck	2
58	Fuad_R	2
58	MAns_44	2
58	stavgod	2
58	Spenduh	2
58	anbbang	2
58	RadarHz	2
58	FishisTTV	2
70	Bandito_Roamer	1
70	soundad	1
70	Merv__	1
70	M_Patata	1
70	MyNameIsJobo	1
70	CaptainAvenger7	1
70	AuroraSkies	1
70	Inbefour	1
70	lillips	1
70	chipklip	1
70	JESS_THE_RERE	1
70	The_slideV3	1
70	Quincannon	1
70	Hisiste	1
70	YungMaki	1
70	UCP_TheKingK	1
70	The_SlideV5	1
