rank	username	minecraft:mined/minecraft:deepslate_emerald_ore
1	pintsizedrogue	38
2	thewindmillman	18
3	SingedBread	14
4	KeruNatsema	12
5	beeperbeeper5	10
5	MilleGrug	10
7	joethahobo	9
7	Segotep999	9
9	Apollo_993	8
10	Hail_the_wombat	5
10	EveryonesUncle	5
10	luseis	5
10	YungMaki	5
10	AdmiralSmoke	5
15	k_ce	4
15	EMC_	4
15	Flores991	4
15	Mahoose	4
15	TheSecondLord	4
15	500am	4
15	RadarHz	4
22	CLG_Kata	3
22	CoffeeNoir	3
22	Smashic	3
25	Lez_	2
25	corvidpartyfor6	2
25	Rebytre	2
25	Toasty_Tom	2
25	Lord_Zacler	2
25	Manaateee	2
25	TheOuterCore	2
25	Skippeh	2
33	PazinGaming	1
33	SmashingPump	1
33	ECstardust	1
33	Huwulling	1
33	rarrq	1
33	Raspberry_Sodas	1
33	shadowthemonkey	1
33	Jackattack53	1
33	oscminus	1
33	MAns_44	1
33	Spacewardharpy7	1
33	ItsDeltaMC	1
33	Kowcio_	1
33	Spenduh	1
33	EcksD	1
