rank	username	minecraft:mined/minecraft:slime_block
1	noam464	14555
2	EcksD	7892
3	joethahobo	7564
4	eitanzaki	7518
5	Di_infiri	7205
6	Smoke____	4343
7	thewindmillman	4254
8	Spacewardharpy7	3266
9	Sral7	2916
10	thescout7	1955
11	PigDab	1815
12	IamCL4SSY	1643
13	MyNameIsJobo	1486
14	WyngGoy	1237
15	Jackattack53	1159
16	Kakolbus	940
17	Lord_Jord	893
18	HellsSponge	865
19	TheShyPig	799
20	lordpipe	790
21	obzii	620
22	beeperbeeper5	562
23	Blaiku	534
24	Rebytre	516
25	mihimihimihi	507
26	eviltunix	490
27	Mythic1130	472
28	FreddyFart	461
29	SkateboardR6	458
30	Blu3beast	363
31	Historical_Sand	316
32	Werbe	295
33	Frozil20	290
34	Hyp3rion_	273
35	Ezekson	246
36	Soplight	239
37	ediballbearings	219
38	EMC_	199
39	Warlord324	189
40	Blackberry1310	179
41	YungMaki	174
42	Inchef	173
43	MightyWertu	171
44	domagawha	170
45	Hiryu27	160
45	FreakGenius	160
47	fffMike	159
48	Maenara	145
48	Enderxz3	145
50	PortlyPete69	141
50	PlasticOtari	141
52	bladeefan2009	140
53	vandmanden	126
54	MilleGrug	122
55	ProfessorBee	121
56	Jindong	118
57	_Virify_	110
58	Gryglu583	109
59	kekhon	108
60	The_slideV3	105
61	claivin	104
62	Mahoose	91
63	Skippeh	85
64	groofles	84
65	xolstoi	83
66	Onennon	80
67	q_wq	78
68	Eraxa	76
68	jnp_gaming	76
70	noodlepack	73
71	gusstationwerker	72
72	PhantomsGhost_	71
73	pintsizedrogue	69
73	Fuad_R	69
73	LeEricc	69
76	Groundler	66
77	Eraza	60
78	CrazyPotater	59
79	NieToksikpl	58
80	rarrq	55
81	soundad	52
81	masskedman	52
83	Rasmanden	51
83	GoofySilly	51
83	djancak	51
86	12Magner05	50
87	Tolhart	49
88	Soap_Bender	47
89	jcool7	45
90	Kubeusz2010	44
91	non089	42
92	Masssonnn	40
93	Dreamdbr14	38
94	NotMeanttoChange	37
94	Bumpy419	37
96	Jimi7hits	36
97	RIPB0ZO	35
97	balin55	35
99	Groovy_MoonBird	34
99	Scathra	34
99	ReSynced	34
99	TechnoNinja64	34
103	Fullut	33
103	HesDemonPants	33
105	SharpDev	32
105	r123moore	32
105	Factoroni	32
108	ImpavidArcher	30
108	Eczbek	30
110	Steelynan	29
111	I_Am_Mushkin	28
111	mwrty	28
111	ConnorDanky_	28
114	TheSecondLord	27
115	Kijiki	26
116	fluddd	25
116	SammiWolfGirl	25
118	T045RTY	24
118	Arceus1975	24
118	Tyrannosplart	24
121	Chromary	23
121	Racengan	23
121	FishisTTV	23
124	Elastiq	22
125	LeDuctTape	21
125	Inbefour	21
125	ese_wn_po	21
125	RoofTyler	21
129	SmashingPump	20
129	bloodbiter	20
129	ROY4LE	20
129	DarlaMeow	20
129	SvenskaHugo	20
129	NATE_the_HALO	20
135	RobotMinion101	18
135	fxiryglitch	18
135	Barlycorn	18
135	FelixPSY375	18
139	gcaisawesome	17
139	fr_ser	17
139	pixelviolin	17
142	lorpus	16
142	MangoTheFish	16
142	lillips	16
145	Akoot_	15
145	calamariclam_I	15
147	m_be9	14
147	ProfessorDiaper	14
147	RealGroot	14
147	diggydog67	14
151	xxPipperDipperxx	13
151	Burge_r	13
153	Ardennes	12
153	SellyZ	12
153	Deathkob	12
153	MustaLoordi	12
157	tuckerdoodle	11
157	Arteriana	11
157	Zythose	11
157	GreedyFern8581	11
157	CalebDHawk	11
162	Krasnal1337	10
162	ssleepless	10
162	ShedJr_	10
162	Winklepicker279	10
162	WingedTortoise	10
162	__tomato	10
162	tsitrawhy	10
162	Aryamanee	10
162	JayToe	10
171	Cryptacity	9
171	eiC_	9
171	Fildyr	9
171	Zoeyfortnite	9
175	Doom_melon	8
175	luseis	8
175	avalan64	8
175	Airem_Core	8
175	cichy096	8
180	Alteriity	7
180	Swexti	7
180	_Dean_123	7
180	Snowflowe	7
180	NameGenerat0r	7
180	DanTheBuilderino	7
180	Dusk_95	7
180	Quotary	7
188	dimondking777	6
188	MinttyFressh	6
188	Skylord_Luke	6
188	victorLIE	6
188	KingMatthew506	6
188	Hermanni__	6
188	h2p_emrld	6
195	DepressedCubic	5
195	KarlKaek	5
195	RebelAndroid	5
195	SteveCraftBlocks	5
195	SuperPooch06	5
195	Azmodan_246	5
195	ApophisNova	5
195	Kouridragon	5
195	EveryonesUncle	5
195	campbellenio08	5
195	mawileite	5
195	MyNamaSheff	5
207	Hpdinosaur	4
207	FirsTimeGamingTV	4
207	Euclidoris	4
207	Prodiginus	4
207	Marbz_	4
207	King_Pancake1	4
207	ZA07	4
207	fkGrim	4
207	xofe	4
207	JESS_THE_RERE	4
207	El_Jalapeno	4
207	Ze_BaronKrigler	4
207	LordSpeed37	4
207	stavgod	4
207	Luigipunch989	4
222	Tobinator_007	3
222	chipklip	3
222	Merv__	3
222	Iagoku	3
222	Huwulling	3
222	Mercadies	3
222	_Nuf	3
222	500am	3
222	emrekn	3
222	mariominejedi	3
222	legal_tax_evader	3
222	The11thDoctor	3
222	Truckoss	3
222	F_Uhre	3
222	Wowful	3
222	Hisiste	3
222	Lord_Doob	3
222	yatsuta	3
222	xzvu	3
222	stellarjay	3
222	Dogcorn69420	3
222	Sheldor097	3
222	EngagedGrub41	3
245	xfemboyx	2
245	The_Thund	2
245	6king6colt6	2
245	Sabby65	2
245	Incinere	2
245	KomputerDude	2
245	Mimiir345	2
245	Kalwag	2
245	redikul	2
245	drompje	2
245	lOlmantschi	2
245	icehorse	2
245	sitrollover	2
245	Nicky19	2
245	binman420	2
245	valkam13	2
245	Deodorante	2
245	handsome_strong	2
245	jake314810	2
245	EfficientC52	2
245	monky_irl	2
245	GlitchyPlate810	2
245	Njensen7	2
268	JohnnyFyes	1
268	dabloons	1
268	jspwn	1
268	Jackywho	1
268	gren_ben	1
268	Wooptey	1
268	ofekgo	1
268	SyntheticSurgeon	1
268	ITDV	1
268	H72l9w	1
268	tramizu	1
268	heckface	1
268	titanlax	1
268	Malorn_Aetherius	1
268	Notta	1
268	F4TY0SHl	1
268	jushykins	1
268	jacxhadow	1
268	Rich_Kat	1
268	blackdusk6	1
268	Awyrlas	1
268	Candad_	1
268	benediktine1	1
268	arcanemagic	1
268	mimbo1211	1
268	mads388a	1
268	fallingemma	1
268	Karetoko	1
268	Windo_licker	1
268	NashVegas	1
268	Ripleey	1
268	Aerqophs	1
268	andy_rex	1
