rank	username	minecraft:mined/minecraft:poppy
1	TheShyPig	2175
2	cedric72	1460
3	wwwwinnebagoooo	860
4	AdmiralSmoke	818
5	beeperbeeper5	736
6	LordSpeed37	599
7	500am	545
8	PeteO1995	528
9	Di_infiri	501
10	PhantomsGhost_	421
11	Steelynan	415
12	EveryonesUncle	357
13	Legendosh	340
14	pintsizedrogue	325
15	Fullut	316
16	_Dean_123	313
16	xzvu	313
18	Ezekson	293
19	PortlyPete69	278
20	Mahoose	265
20	Blackberry1310	265
22	YungMaki	261
23	Arceus1975	260
24	burbankbuilder28	259
25	Merv__	258
26	Rasmanden	255
27	Kowcio_	254
27	Njensen7	254
29	FreakGenius	252
30	Kakolbus	246
31	m_be9	238
32	kekhon	237
33	Nicky_H225	236
34	00000000-0000-0000-0009-01ff0c3e5e4f	229
35	luseis	224
36	QuiCreans	223
37	Onennon	214
38	ReflexCode	211
39	Skylord_Luke	204
40	joethahobo	201
41	SpacesickPrism	200
41	PlasticOtari	200
43	Bumpy419	195
43	MAns_44	195
45	noam464	192
46	TruGuire	189
47	HellsSponge	188
48	TheDankPlatypus	186
49	DarlaMeow	185
50	epiksk8erduck	181
50	lordpipe	181
52	SSytex_X	179
53	Dakar_	174
54	Lez_	173
54	Nicserso	173
56	EMC_	172
57	IAmTheWalrus910	166
58	El_Jalapeno	164
59	MyNameIsJobo	158
60	SaucyDark	155
61	Zythose	152
62	Killswitch_RW	149
63	SuperPooch06	148
64	12Magner05	147
64	xolstoi	147
66	Crowman1	146
67	TheSecondLord	145
68	eitanzaki	143
69	xxPipperDipperxx	142
70	Druid95	140
70	lcvezra	140
70	SammiWolfGirl	140
73	AnnieBathory	137
73	Akoot_	137
75	BlancoFlaco	136
75	Inchef	136
77	JETrotter	135
77	wezzzi	135
79	Hyp3rion_	134
80	NatalieTW	133
81	SirBreadward	130
82	Groovy_MoonBird	129
83	CoffeeNoir	128
84	thescout7	127
84	masskedman	127
84	Racengan	127
84	fffMike	127
88	Frozil20	126
89	wobn	125
90	Lord_Jord	120
91	Froste131	119
91	Huwulling	119
93	LeauVox4921	118
93	XboxPanda	118
95	rarrq	114
95	djancak	114
95	h2p_emrld	114
98	oscminus	112
99	claivin	111
99	Enderxz3	111
101	Jovaphobic	109
101	ImpavidArcher	109
101	Blazebit	109
101	toetagnyc	109
105	r123moore	108
105	Rumpletaezer	108
105	Blu3beast	108
108	Notta	107
108	EngagedGrub41	107
110	sp00ky_ghost977	105
111	Windo_licker	104
111	_k2x	104
111	_i_ERROR_i_	104
114	ShedJr_	103
114	Iamthejo	103
116	hanaryheatwave	102
117	PaperCanvas	101
118	tsitrawhy	100
119	ApophisNova	99
119	Werbe	99
119	MyNamaSheff	99
122	sufjanlover	98
123	fluddd	97
123	remmisrat	97
125	Soplight	94
126	handsome_strong	91
127	Manaateee	90
128	Wolf_Mauler_73	87
129	Winklepicker279	86
130	pappaberg	85
130	KartivGal	85
132	jacxhadow	84
133	anbbang	81
134	CompAir	80
134	Snowflowe	80
134	Inbefour	80
134	MovingFish7	80
138	thewindmillman	78
139	Jackattack53	77
139	smogfrog	77
141	Cocoamallows	74
142	Covalents	73
142	Meatlaugh	73
144	drunkeeez	72
145	Lutres_	71
146	mimbo1211	70
146	_Boipl_	70
146	Kynigito	70
146	Tyrannosplart	70
146	Kristofian	70
146	sq0id	70
146	OffWithTheirHead	70
146	Mistruth	70
146	Kubeusz2010	70
155	vampgey	69
156	mwrty	68
156	himak1	68
156	tobinwilliams	68
156	MightyWertu	68
160	shineh10	67
160	diamondgolem35	67
160	excelsionprime	67
160	olliebollie48	67
164	KarlKaek	66
164	3_Solar_3	66
166	l1dkv	65
166	AJplaysMC_	65
168	hcb238	64
168	TrollerYT	64
168	RadarHz	64
171	pixelviolin	63
171	_TCARREIRA_	63
173	surfinggiraffejp	62
173	_3Stump_	62
175	HoltGrim	61
175	The11thDoctor	61
175	FishyBoy3811	61
178	Tommhh	59
178	RatatJuice	59
178	T045RTY	59
178	1442	59
182	q_wq	58
182	CollinMH06	58
182	RedcatVII	58
182	Warlord324	58
186	Cowison	57
186	Hiryu27	57
186	Jimi7hits	57
186	TechnoNinja64	57
190	2Stout	56
190	Xclax101	56
190	Nekomin0	56
193	Cortexia	55
193	Marbz_	55
193	Zoeyfortnite	55
196	Ozixar	54
196	orxngejuice	54
196	PigDab	54
196	LeonelSalamanca	54
196	MinuteMira	54
196	__tomato	54
202	CharlieButt	53
202	Celeste_121	53
202	diggydog67	53
205	Bandito_Roamer	52
205	titanlax	52
207	emremalexander	51
207	gustarlep	51
209	RosaDoesMC	50
209	hm947	50
209	Dragonfest	50
209	Quincannon	50
213	NomadicRobin_	49
213	Deathkob	49
215	Tolhart	48
215	Pofen	48
215	Maenara	48
215	Deguns123	48
219	dopplexd	47
219	set67	47
219	Soap_Bender	47
222	LavenderBi1ch	46
222	jillian12345	46
222	Rebytre	46
222	Luminad3	46
222	fkGrim	46
227	corvidpartyfor6	45
227	Mattesco	45
227	Eczbek	45
230	_Huge_Male_	44
230	Dali1465	44
230	SirPiccardo	44
230	Blaiku	44
234	AuroraValkyrie	43
234	MoistMicrowave	43
234	Malorn_Aetherius	43
234	privatemeekly	43
238	YahooScreen9000	42
238	Fuhrer_Teemo	42
238	starbits140	42
241	xXTheWolfmanXx	41
241	H72l9w	41
241	Historical_Sand	41
241	Secret_Canary	41
241	Kamflame10	41
241	aldplaysmc	41
241	Invintic	41
248	Saucepeh	40
248	_Bguette_	40
248	GoofyBread	40
251	Wooptey	39
251	Zlatovlas	39
251	Eczbox	39
251	AlphaWolfPlaysMC	39
251	cichy096	39
251	MrMeisterProper	39
251	jnp_gaming	39
258	Reamdin	38
258	RobotMinion101	38
258	Truckoss	38
258	Katsuragi0243218	38
258	CattSoup	38
258	2blox_	38
264	Ilinca_Io	37
264	KeruNatsema	37
264	Karbl	37
264	Luigipunch989	37
264	WYFYoyo	37
269	_Virify_	36
269	teslawolf38	36
269	RebelAndroid	36
269	zorin123	36
269	KingMatthew506	36
274	Karetoko	35
274	ElderRifken	35
274	Barlycorn	35
274	Dreamdbr14	35
278	Mr_Byzantine	34
278	Dumkii	34
278	CaracolCxnt	34
278	ROY4LE	34
278	_Karmaa	34
278	Shin69	34
278	SvenskaHugo	34
285	Euclidoris	33
285	Kubelz	33
285	ItsAki_	33
285	Vetral1	33
285	Kars_Requiem	33
285	QuacksonThe3rd	33
285	ElKaySVK	33
292	FirsTimeGamingTV	32
292	legal_tax_evader	32
292	KlausVonStiglitz	32
292	Kiki_Majiki	32
292	JayToe	32
297	MaGro2010	31
297	_Cloverbelle_	31
297	marumochis	31
297	stellarjay	31
