rank	username	minecraft:mined/minecraft:nether_wart_block
1	Blackberry1310	15140
2	Snowflowe	14553
3	Smoke____	8485
4	TheSecondLord	4996
5	Akoot_	4606
6	OtariCharlie	3854
7	Deathkob	2513
8	12Magner05	2097
9	Spacewardharpy7	2053
10	gcaisawesome	1959
11	lordpipe	1660
12	Historical_Sand	1416
13	sebastiensaborio	1354
14	oxfordschool	1312
15	BobDeBouwer1337	1097
16	Winklepicker279	1063
17	Enderslayerxz3	1042
18	Luigipunch989	963
19	Freak_Genius	895
20	thewindmillman	865
21	YungMaki	861
22	joethahobo	852
23	RebelAndroid	717
24	Cowison	712
25	trexgb	629
26	noam464	627
27	Fullut	615
28	pintsizedrogue	580
29	livingdaydreams	557
30	Blaiku	555
31	HellsSponge	517
32	kekhon	496
33	TheShyPig	422
34	beeperbeeper5	387
35	Eczbek	361
36	AuroraValkyrie	359
37	CliffEmAll	342
38	Winston_Ingram	337
39	Lord_Jord	280
40	fffMike	277
41	himak1	266
42	ApophisNova	255
42	Hermanni__	255
42	MyNamaSheff	255
45	Eraxa	247
46	6king6colt6	235
47	Xalithia	227
48	Kubelz	210
49	Mahoose	208
50	PigDab	180
51	Dedalus36	176
52	lizardfightclub	168
53	NomadicRobin_	167
54	jnp_gaming	164
55	teslawolf38	161
56	SammiWolfGirl	156
57	CoffeeNoir	150
58	Arceus1975	142
59	brofrickcheaters	138
60	Soplight	136
61	Awyrlas	134
62	EfficientC52	126
63	Eon_57	123
64	TechnoNinja64	110
65	Nycteus_	104
66	ooga47	83
67	Hpdinosaur	71
68	MilleGrug	70
69	MSK__	67
69	bloodbiter	67
71	gustarbite	65
72	ShedJr_	61
73	M_Patata	59
74	lillips	57
75	TheTommyGun63	55
76	Yatitay	54
77	xxPipperDipperxx	52
78	rarrq	50
79	KartivGal	46
80	Legendosh	44
81	jacxhadow	43
81	500am	43
83	EveryonesUncle	41
84	r123moore	38
85	EMC_	34
85	YahooScreen9000	34
87	Xclax101	30
88	eitanzaki	28
88	Frozil12	28
90	Inchef	26
91	The_slideV3	25
91	Kowcio_	25
93	Jovaphobic	24
94	Drawgirll	23
95	Chromary	22
95	djancak	22
97	LexMakesHistory	20
98	Zythose	18
98	anbbang	18
100	_Virify_	17
100	fkGrim	17
102	xX_HaroldHolt_Xx	16
102	Lumien_	16
102	Skylord_Luke	16
102	Kubeusz2010	16
102	2blox	16
107	King_Pancake1	14
108	BlancoFlaco	13
108	breadbowlgamer	13
108	ogoa	13
108	NoChumpChange	13
108	RadarHz	13
113	crying_wolf_13	12
113	fred870d	12
115	SuperPooch06	11
115	CruncyIsTaken	11
115	Gryglu583	11
115	SingedBread	11
119	soundad	10
119	FishyBoy3811	10
119	DarlaMeow	10
119	MightyWertu	10
119	Vorlice	10
119	07shiny	10
119	diggydog67	10
126	Quinasin	9
126	monky_irl	9
126	Ze_BaronKrigler	9
129	Natofthese	8
129	TowenPL	8
129	egglapras	8
129	Hyp3rion_	8
129	masskedman	8
129	Vegvisir	8
135	set67	7
135	Dusk_95	7
135	MasterNueve	7
138	AshleeCW	6
138	hm947	6
138	Myszoaz	6
138	orxngejuice	6
138	eiC_	6
138	CarltheCuck	6
138	Spenduh	6
145	KarlKaek	5
145	_Razar	5
145	thescout7	5
145	StarPlanetMoon	5
145	MangoTheFish	5
145	UltraZombie	5
151	Paint	4
151	titanlax	4
151	emrekn	4
151	Di_infiri	4
151	KeruNatsema	4
151	DanTheBuilderino	4
151	TheEnderman548	4
151	SvenskaHugo	4
159	Mr_Byzantine	3
159	_NieToksikpl_	3
159	Nesquiczek	3
159	Ardennes	3
159	whoaluv	3
159	MyNameIsDakar	3
159	SkateboardR6	3
159	VentiHilton	3
159	tartanboy	3
159	TheOnlyRake	3
159	EcksD	3
170	q_wq	2
170	MLG_Kirby69	2
170	m_be9	2
170	eclipseboi	2
170	Master_Kol	2
170	UncreativeArtist	2
170	benediktine1	2
170	cwartzo	2
170	Werbe	2
170	AssEatrAndLicker	2
170	El_Jalapeno	2
170	Blu3beast	2
170	PortlyPete69	2
170	GlitchyPlate810	2
184	Groovy_MoonBird	1
184	PhantomsGhost_	1
184	_stets	1
184	Sleek_Storm_721	1
184	I_Am_Mushkin	1
184	ExtraDumb	1
184	ssleepless	1
184	T045RTY	1
184	Whiterooster001	1
184	MrExplorer	1
184	ProfessorBee	1
184	_Dean_123	1
184	CyrusIsTired	1
184	paranoid_plant	1
184	Scathra	1
184	mwrty	1
184	XboxPanda	1
184	Kakolbus	1
184	trixterrx	1
184	loveseeker	1
184	GOOBERGABE04	1
184	pappaberg	1
184	BasedEphex	1
184	HolyVenom	1
184	ADEXTV	1
184	kapivsthewrld	1
184	CookTheChef3	1
184	claivin	1
184	Quaintster	1
184	501g	1
184	Steven1282598	1
184	DeGodz4life	1
184	LordBlaze11	1
184	Shin69	1
184	AssFullaCum	1
184	CalebDHawk	1
184	Njensen7	1
184	Ezekson	1
184	Lowjinx	1
184	HesDemonPants	1
