rank	username	minecraft:mined/minecraft:sculk_shrieker
1	thewindmillman	199
2	TheSecondLord	132
3	Enderslayerxz3	128
4	EMC_	75
5	ImpavidArcher	53
6	Alteriity	48
7	Da_Boss_Rani	32
8	beeperbeeper5	30
9	Sleepy_Time_	28
10	Rebytre	27
10	Miko_Fullbuster	27
12	AlexxO_o	25
13	Segotep999	23
14	Soplight	21
15	Hyp3rion_	13
16	pintsizedrogue	12
17	Kakolbus	9
18	Jackattack53	6
19	Fuad_R	4
20	YungMaki	3
20	EcksD	3
22	DinoDoctor_	2
22	Legendosh	2
22	Smoke____	2
25	diamondgolem35	1
25	Lez_	1
25	MinttyFressh	1
25	TheDankPlatypus	1
25	Marbz_	1
25	wwwwinnebagoooo	1
25	Spacewardharpy7	1
