rank	username	minecraft:mined/minecraft:orange_stained_glass_pane
1	beeperbeeper5	559
2	pintsizedrogue	539
3	Smoke____	417
4	SkateboardR6	146
5	m_be9	103
6	jacxhadow	75
7	BobDeBouwer1337	64
8	Winklepicker279	63
8	TheShyPig	63
10	Freak_Genius	31
11	Steelynan	27
12	Lez_	16
13	PeteO1995	15
13	Chromary	15
15	eitanzaki	13
15	Mattesco	13
17	oreee	12
17	LexMakesHistory	12
19	Onennon	9
20	Eraxa	8
21	UncreativeArtist	6
21	NomadicRobin_	6
21	PlasticOtari	6
24	Blackberry1310	5
24	Wowful	5
24	Blaiku	5
24	lordpipe	5
28	Dedalus36	4
28	Hpdinosaur	4
28	noam464	4
31	Arteriana	3
31	r123moore	3
31	gabriels543	3
31	MangoSalad316	3
35	Merv__	2
35	ShedJr_	2
35	PlasticPrinter	2
35	tobinwilliams	2
35	Rebytre	2
35	ToastedGamingYT	2
35	NameGenerat0r	2
35	Spenduh	2
35	Nicserso	2
35	HesDemonPants	2
35	jnp_gaming	2
35	Earlesstrain4	2
47	_Virify_	1
47	Historical_Sand	1
47	kekhon	1
47	pappaberg	1
47	Skylord_Luke	1
47	YahooScreen9000	1
47	sadvavilloso	1
47	2blox	1
