rank	username	minecraft:mined/minecraft:pink_banner
1	pretty_pink_reno	164
2	lordpipe	20
3	Ezekson	9
4	pintsizedrogue	5
5	Werbe	4
5	Pumpkin_P_Patch	4
7	ShedJr_	3
7	kekhon	3
7	robonya_	3
10	Incinere	2
10	eitanzaki	2
10	Huwulling	2
10	Lez_	2
10	bl1ss0	2
10	crashomon	2
10	Blu3beast	2
10	Eraxa	2
10	Kowcio_	2
10	mobunni	2
10	skitzxo	2
21	Alteriity	1
21	joethahobo	1
21	Blackberry1310	1
21	TheSecondLord	1
21	MattieHD	1
21	prizm_	1
21	Mattesco	1
21	goldyx	1
21	AlexxO_o	1
21	Tkraack	1
21	Tyrannosplart	1
21	The_slideV3	1
21	Buuck_	1
21	Spacewardharpy7	1
21	MakeHistory157	1
21	deleteduser3c11b	1
21	TheKingK_	1
21	SammiWolfGirl	1
21	Yamdalorian	1
