rank	username	minecraft:mined/minecraft:bamboo_planks
1	k_ce	1198
2	Fullbit_	360
3	Synthoum	227
4	Mr_Byzantine	70
5	akap47	59
6	Mr_Froxy	57
7	Napoleonpancake	53
8	Merv__	31
9	SpacesickPrism	30
10	Buuck_	24
10	FiguraDei	24
12	Werbe	19
12	Enderxz3	19
14	kalzor	14
15	TheWickedBird	13
16	pintsizedrogue	7
16	Yamdalorian	7
18	MAns_44	6
19	skitzxo	5
20	CLG_Kata	4
20	beeperbeeper5	4
20	Kowcio_	4
23	StarCookiees_	3
24	Lez_	2
24	cyuar	2
24	Mr_Sun15	2
24	lordpipe	2
24	Steelynan	2
24	Jimb0nat0r	2
30	KarlKaek	1
30	TheSecondLord	1
30	Secret_Canary	1
30	noam464	1
30	crashomon	1
30	Jackattack53	1
30	fragrantmonke444	1
30	Mattesco	1
30	EveryonesUncle	1
30	Bambuino	1
30	pixelviolin	1
