rank	username	minecraft:mined/minecraft:birch_fence_gate
1	HellsSponge	259
2	Yamdalorian	232
3	Di_infiri	132
4	TheShyPig	93
5	rarrq	92
6	Lez_	82
7	Mr_Byzantine	80
8	beeperbeeper5	64
9	Spacewardharpy7	61
10	pintsizedrogue	60
11	joethahobo	53
12	Akoot_	50
13	luseis	36
14	kekhon	34
15	eitanzaki	33
15	IamCL4SSY	33
17	IAmTheWalrus910	32
18	500am	28
18	Soplight	28
20	Legendosh	26
21	lordpipe	25
22	sp00ky_ghost977	24
22	_Mythic____	24
24	Sral7	22
25	Werbe	21
25	Buuck_	21
25	Ezekson	21
28	Bumpy419	19
29	Kynigito	18
30	shineh10	17
30	Mahoose	17
32	noam464	16
32	Spaghettatron	16
34	SaucyDark	15
35	PortlyPete69	14
36	jimintyy	12
36	Alteriity	12
36	Steelynan	12
39	Merv__	11
39	Jackattack53	11
39	Arceus1975	11
39	Meatlaugh	11
43	teslawolf38	10
43	milltesco	10
43	RoboTramp7865	10
46	TheDankPlatypus	9
47	MSK__	8
47	Ravenbie	8
47	_Cloverbelle_	8
47	djancak	8
51	skroobiez	7
51	Comma__	7
51	Zythose	7
51	Nicserso	7
55	thescout7	6
55	Onennon	6
55	MightyWertu	6
55	nagyvad	6
55	Kowcio_	6
55	FelixPSY375	6
61	UncreativeArtist	5
61	DisgruntledKoala	5
61	bl1ss0	5
61	legal_tax_evader	5
61	Mattesco	5
61	creatineshakes	5
61	07shiny	5
68	Krasnal1337	4
68	tuckerdoodle	4
68	301851	4
68	titanlax	4
68	thewindmillman	4
68	Hyp3rion_	4
68	Zielo2017PL	4
68	jewbacaman	4
68	doublemaki	4
68	CalebDHawk	4
68	EcksD	4
68	cichy096	4
68	TheWickedBird	4
81	AtlanticRobin	3
81	_witch_craft_	3
81	RustyKedel	3
81	oscminus	3
81	Tyrannosplart	3
81	claivin	3
81	E775	3
81	cutelilreno	3
81	UrbanPlanningEx	3
81	PlasticOtari	3
81	TwinTowerV2	3
81	diggydog67	3
93	InfernalMound	2
93	mwrty	2
93	eviltunix	2
93	intropass	2
93	craaaash	2
93	AJplaysMC_	2
93	PigDab	2
93	Blamphe	2
93	Fuad_R	2
93	Blaiku	2
93	SingedBread	2
93	Cocoamallows	2
93	Eczbek	2
93	OfficerAnvil	2
93	Quotary	2
93	AltnumberF4	2
93	00000000-0000-0000-0009-01fa5d833510	2
110	SpartanNamor	1
110	PizzaJake	1
110	EMC_	1
110	I_Am_Mushkin	1
110	Caribouse	1
110	Ryan_GEMS	1
110	ImpavidArcher	1
110	catandmoose	1
110	MattieHD	1
110	SoftSix	1
110	GingerNeutron	1
110	NotMeanttoChange	1
110	Motsaro	1
110	Stiar	1
110	Bolete	1
110	Giannism	1
110	burbankbuilder28	1
110	killmeiamtraitor	1
110	SirPiccardo	1
110	belly0_0	1
110	wx4z	1
110	epiksk8erduck	1
110	LilLizardWizard	1
110	Lord_Jord	1
110	DemTechAlpha	1
110	Manaateee	1
110	MAns_44	1
110	Twighst	1
110	FreakGenius	1
110	monky_irl	1
110	radioactv_jelly	1
110	TheKingK_	1
110	brofrickcheaters	1
110	ediballbearings	1
110	y0shik	1
110	BreadBacon	1
110	Jimb0nat0r	1
110	es0th	1
