rank	username	minecraft:mined/minecraft:exposed_copper
1	Kakolbus	268
2	Mr_Byzantine	175
3	MattieHD	170
4	XxCookiequeenxX	146
5	Manaateee	85
6	craaaash	69
7	EMC_	67
8	doublemaki	65
9	Nicserso	52
10	FormulaNewt3627	46
11	Olib3ar	41
12	Enderxz3	40
13	luseis	20
14	LuvLuvLove	19
15	PlasticOtari	18
16	pintsizedrogue	17
17	_witch_craft_	13
18	skroobiez	11
18	500am	11
18	Kowcio_	11
21	Dakar_	8
22	_Huge_Male_	6
22	pixelviolin	6
24	Reneedium	5
24	Pumpkin_P_Patch	5
26	Marbz_	4
26	Mattesco	4
26	Gus2005	4
26	mihimihimihi	4
30	beeperbeeper5	3
30	Juansinmiedo18	3
30	Mr_Sun15	3
30	StarCookiees_	3
30	TheBananaKat	3
35	Apollo_993	2
35	TheSecondLord	2
35	bl1ss0	2
35	Buuck_	2
35	Jimb0nat0r	2
40	Ryker	1
40	thewindmillman	1
40	SolarKar	1
40	Deathkob	1
40	shrimp_flips	1
40	weabis	1
40	Eraxa	1
40	ZoomieZoomie	1
40	Iamthejo	1
40	EcksD	1
40	00000000-0000-0000-0009-01ff0c3e5e4f	1
