rank	username	minecraft:mined/minecraft:polished_deepslate_wall
1	Mattesco	443
2	mihimihimihi	210
3	Buuck_	193
4	HUNTERmaun	177
5	Sleepy_Evelyn	144
6	TheSecondLord	124
7	TheBananaKat	106
8	Skylord_Luke	70
9	TAKrules	65
10	weabis	47
11	TheWildMateo	45
12	500am	40
13	StinkyDiplomat	35
14	PazinGaming	32
14	Legendosh	32
16	QuiCreans	29
17	Manaateee	21
18	Megarboh	16
19	skitzxo	15
20	YungMaki	13
21	pintsizedrogue	12
21	KarlKaek	12
21	JETrotter	12
24	Mr_Byzantine	11
24	Jimb0nat0r	11
26	Groovy_MoonBird	10
26	PigDab	10
26	Steelynan	10
29	EMC_	8
30	rarrq	7
30	Kowcio_	7
30	mobunni	7
33	kyouma777	6
34	ImpavidArcher	5
34	Killercatty78	5
34	nattybears	5
34	skroobiez	5
38	beeperbeeper5	4
38	ScootOfBoot	4
38	PlasticOtari	4
41	pretty_pink_reno	3
41	SvenskaHugo	3
43	myaccountwasgone	2
43	Mahoose	2
43	fade_emerge78823	2
43	emreknugrlu	2
43	StarCookiees_	2
43	Soplight	2
43	Nicserso	2
50	Niklas20114552	1
50	lorywithay	1
50	Alteriity	1
50	MSK__	1
50	fragrantmonke444	1
50	corpsecity	1
50	Hyp3rion_	1
50	XxCookiequeenxX	1
50	luseis	1
50	Thunder_bird4337	1
50	pixelviolin	1
50	Yamdalorian	1
