rank	username	minecraft:mined/minecraft:purple_stained_glass_pane
1	burbankbuilder28	378
2	00000000-0000-0000-0009-01ff0c3e5e4f	257
3	HellsSponge	199
4	jnp_gaming	180
5	TheShyPig	117
6	lordpipe	112
7	Dreamdbr14	68
8	Steelynan	46
9	jacxhadow	44
10	Kowcio_	35
11	Merv__	34
11	hanaryheatwave	34
11	NomadicRobin_	34
14	_i_ERROR_i_	21
15	heckface	18
16	pintsizedrogue	17
16	diamondgolem35	17
16	titanlax	17
19	ImpavidArcher	16
20	TheSecondLord	13
20	UncreativeArtist	13
20	Mattesco	13
23	Rumpletaezer	10
24	Jovaphobic	9
24	SmashingPump	9
26	Onennon	7
26	HesDemonPants	7
28	Lez_	6
28	ROY4LE	6
28	AnnieBathory	6
28	TheEnderMan548	6
28	jcool7	6
33	MakeHistory157	5
33	Segotep999	5
33	ConnorDanky_	5
36	livingdaydreams	4
36	noam464	4
36	_Boipl_	4
36	Soplight	4
36	Spenduh	4
41	Mahoose	3
41	FishyBoy3811	3
41	luseis	3
41	Ezekson	3
45	ZaneABrain	2
45	beeperbeeper5	2
45	LoboTheLobster	2
45	Chromary	2
45	bearlystraight	2
45	halfwayup	2
45	Wowful	2
45	420BreadLizard	2
45	masskedman	2
45	Racengan	2
45	SvenskaHugo	2
45	YungMaki	2
45	xzvu	2
45	TechnoNinja64	2
45	camando92	2
60	JohnnyFyes	1
60	6king6colt6	1
60	ColeSnyder	1
60	Fullut	1
60	thescout7	1
60	Di_infiri	1
60	oscminus	1
60	k1ngGilgamesh	1
60	El_Jalapeno	1
60	Blaiku	1
60	mihimihimihi	1
60	Kubeusz2010	1
60	LUICHA	1
