rank	username	minecraft:mined/minecraft:magenta_carpet
1	joethahobo	1117
2	jnp_gaming	1010
3	beeperbeeper5	107
4	Awyrlas	75
5	lordpipe	45
6	InfernalMound	44
6	noam464	44
8	awesomeoneme	41
9	Smoke____	36
10	AJplaysMC_	31
11	wrinkledpiglet	28
12	SaucyDark	26
13	PlasticOtari	24
14	titanlax	21
15	eitanzaki	18
15	KlausVonStiglitz	18
17	thewindmillman	17
17	Racengan	17
19	SoftSix	13
20	HellsSponge	12
20	oxfordschool	12
22	dopplexd	11
22	Ezekson	11
24	RebelAndroid	10
25	mwrty	7
26	lcvezra	6
26	Njensen7	6
26	Zoeyfortnite	6
29	Fullut	5
30	El_Jalapeno	4
30	Legendosh	4
30	TechnoNinja64	4
33	Mahoose	3
33	Swexti	3
33	TheSecondLord	3
33	pr33tu	3
33	PigDab	3
33	TheShyPig	3
33	claivin	3
40	Inbefour	2
40	lillips	2
40	IAmTheWalrus910	2
40	YungMaki	2
40	PlzNoBM	2
40	EcksD	2
46	Batman922	1
46	Jokerman369	1
46	Di_infiri	1
46	cedric72	1
46	KermitTheKripple	1
46	EcksDofficial	1
