rank	username	minecraft:mined/minecraft:warped_fence_gate
1	thewindmillman	2785
2	Snowflowe	605
3	joethahobo	135
4	Di_infiri	71
5	Apollo_993	57
6	EcksD	46
7	Lutres_	34
8	12Magner05	13
8	Arceus1975	13
10	PigDab	12
11	noam464	10
12	pintsizedrogue	8
12	Kowcio_	8
12	PlasticOtari	8
15	EngagedGrub41	7
16	Eraxa	5
17	rarrq	4
18	FishyBoy3811	3
19	diamondgolem35	2
19	IgnoredBee	2
19	TheSecondLord	2
19	Jackattack53	2
19	Rebytre	2
19	YungMaki	2
19	00000000-0000-0000-0009-01ff0c3e5e4f	2
26	teslawolf38	1
26	ShedJr_	1
26	_Dean_123	1
26	Hyp3rion_	1
26	Manaateee	1
26	FreakGenius	1
26	Spacewardharpy7	1
26	AdmiralSmoke	1
