rank	username	minecraft:mined/minecraft:oxidized_cut_copper_stairs
1	pintsizedrogue	59
2	Marbz_	43
3	Mattesco	35
4	Apollo_993	25
5	luseis	22
6	Manaateee	12
7	skitzxo	9
8	skroobiez	8
8	MattieHD	8
10	ImpavidArcher	7
11	Mr_Byzantine	6
11	_Huge_Male_	6
11	weabis	6
11	SpacesickPrism	6
15	Enderxz3	5
15	Jimb0nat0r	5
15	PlasticOtari	5
18	Juansinmiedo18	4
18	PaperCanvas	4
20	EMC_	2
20	beeperbeeper5	2
20	pixelviolin	2
20	Steelynan	2
24	KarlKaek	1
24	SuperPooch06	1
24	JETrotter	1
24	fluddd	1
24	TheWickedBird	1
