rank	username	minecraft:mined/minecraft:pink_shulker_box
1	lordpipe	3487
2	Mahoose	966
3	Hyp3rion_	741
4	Werbe	734
5	luseis	680
6	Manaateee	367
7	pintsizedrogue	340
8	Enderxz3	322
9	thescout7	282
10	beeperbeeper5	251
11	Kowcio_	245
12	500am	234
13	PhantomsGhost_	218
14	LexMakesHistory	196
15	YungMaki	170
16	Lez_	168
17	AdmiralSmoke	164
18	lcvezra	157
19	Myszoaz	153
20	HellsSponge	149
21	burbankbuilder28	145
21	Spenduh	145
23	MyNameIsJobo	130
24	SmashingPump	123
25	TheDankPlatypus	109
26	Maenara	105
27	kekhon	97
28	censorsheep	95
29	Xalithia	84
29	MakeHistory157	84
31	Tyrannosplart	77
32	Ecplosive	70
33	Jimb0nat0r	68
34	MOSS000	62
34	Steelynan	62
36	noam464	60
36	Shogunite	60
38	Chromary	55
39	Jiminbub	53
40	1442	51
41	fade_emerge78823	48
42	Mattesco	47
43	ImpavidArcher	45
43	set67	45
43	ConnorDanky_	45
46	fluddd	42
47	Huwulling	41
47	Skippeh	41
47	EcksD	41
50	Eraxa	40
51	Awyrlas	39
51	IamCL4SSY	39
51	anbbang	39
54	titanlax	37
55	Bumpy419	36
56	Jackattack53	35
57	Yatitay	34
57	DanTheBuilderino	34
59	F_Uhre	33
60	thewindmillman	31
60	Njensen7	31
62	eitanzaki	30
62	jnp_gaming	30
64	Iamthejo	29
65	Blaiku	28
66	SellyZ	27
66	r123moore	27
66	AlexxO_o	27
69	stellarjay	26
69	PlasticOtari	26
71	pr33tu	25
71	corvidpartyfor6	25
71	Fullut	25
71	gcaisawesome	25
75	NomadicRobin_	24
75	fffMike	24
77	Secret_Canary	23
77	Snowflowe	23
77	NameGenerat0r	23
77	SingedBread	23
77	Spacewardharpy7	23
77	sp00ky_ghost977	23
83	Di_infiri	22
83	Aezekial	22
85	4774	21
85	mwrty	21
87	TooManyDuck	20
87	joethahobo	20
87	Akoot_	20
87	Nicky19	20
91	6king6colt6	19
91	Alteriity	19
91	Smashic	19
91	yheece	19
95	Tjhodskins19	18
95	XboxPanda	18
97	T045RTY	17
97	xxPipperDipperxx	17
99	EMC_	16
99	Frozil20	16
99	monky_irl	16
99	Eczbek	16
103	rarrq	15
104	TheShyPig	14
105	MixerDixer	13
105	OG_Songsee	13
105	AssFullaCum	13
108	ssleepless	12
108	SaucyDark	12
108	Swexti	12
108	Crowman1	12
108	MinttyFressh	12
113	Segotep999	11
113	NATE_the_HALO	11
113	alderban107	11
116	Zaridey	10
116	Deathkob	10
116	lillips	10
116	Nicserso	10
120	jessewegottacook	9
120	BobDeBouwer1337	9
120	Nycteus_	9
120	Dogcorn69420	9
120	CalebDHawk	9
120	little_dUki	9
126	Hpdinosaur	8
126	MoistMicrowave	8
126	Da_Boss_Rani	8
126	TheSecondLord	8
126	SteveCraftBlocks	8
126	surfinggiraffejp	8
126	wwwwinnebagoooo	8
126	iSammael	8
126	mountaingirl311	8
135	peach0s	7
135	Lor1113	7
135	Inbefour	7
135	MAns_44	7
139	emrekn	6
139	SuperPooch06	6
139	PigDab	6
139	Travka100	6
139	mihimihimihi	6
139	MineMaster0012	6
145	Mr_Byzantine	5
145	chipklip	5
145	Historical_Sand	5
145	MattieHD	5
145	Fuad_R	5
145	Blu3beast	5
145	ZeroKraken	5
145	AltnumberF4	5
145	TechnoNinja64	5
154	RoskobiOne	4
154	KarlKaek	4
154	Euclidoris	4
154	Scathra	4
154	oscminus	4
154	LeonelSalamanca	4
154	claivin	4
154	Soplight	4
154	MilleGrug	4
154	K_a__a_n	4
154	CattSoup	4
165	teslawolf38	3
165	lorpus	3
165	olliebollie48	3
165	Groundler	3
165	Razzgriz	3
165	SvenskaHugo	3
165	SammiWolfGirl	3
165	FishisTTV	3
165	h2p_emrld	3
174	xfemboyx	2
174	Badenbeele	2
174	jushykins	2
174	poopybh	2
174	_Dean_123	2
174	eviltunix	2
174	Marbz_	2
174	Jonafrog99	2
174	Eczbox	2
174	Felenov	2
174	k1ngGilgamesh	2
174	Drewen24	2
174	ese_wn_po	2
174	EveryonesUncle	2
174	Veillax135	2
174	YungWali	2
174	rezi	2
174	AshleySpiritHawk	2
174	xolstoi	2
193	ItsGrayWolf	1
193	SaphLaseer	1
193	Merv__	1
193	Ailmast	1
193	Dumkii	1
193	asian_man_soggy	1
193	hm947	1
193	Incinere	1
193	nattybears	1
193	Saul_Goodman_Rup	1
193	Prodiginus	1
193	CliffEmAll	1
193	_HoneySlime_	1
193	Kkanot	1
193	Inchef	1
193	Windo_licker	1
193	Malware_Mara	1
193	xambsam	1
193	hanaryheatwave	1
193	corpsecity	1
193	Zythose	1
193	pappaberg	1
193	bearlystraight	1
193	Eerini	1
193	groofles	1
193	_Karmaa	1
193	Lord_Doob	1
193	sadvavilloso	1
193	Superdays	1
193	Goldiethebear03	1
193	UCP_TheKingK	1
193	Fizznut909	1
193	PortlyPete69	1
193	SkinnyBois	1
193	obzii	1
193	HAruSAme14	1
193	_3Stump_	1
193	bulitproof	1
193	Cpietr0	1
193	Legendosh	1
193	camando92	1
193	Kateesaur	1
