rank	username	minecraft:mined/minecraft:orange_glazed_terracotta
1	Steelynan	342
2	FreakGenius	297
3	Merv__	243
4	Di_infiri	176
5	Lez_	161
6	eitanzaki	158
7	lordpipe	139
7	skitzxo	139
9	Inbefour	105
10	kekhon	101
11	Spacewardharpy7	99
12	Bumpy419	60
12	Legendosh	60
14	YungMaki	54
15	noam464	49
16	Mahoose	48
16	Yamdalorian	48
18	Soplight	43
19	luseis	41
20	Frozil20	39
21	j5ylim	28
22	MyNameIsJobo	26
23	RatatJuice	25
24	Blaiku	24
25	audiocracked	21
25	MakeHistory157	21
27	ImpavidArcher	19
28	Archsam	18
29	Kubelz	17
30	CarltheCuck	15
30	El_Jalapeno	15
32	crashomon	14
33	bl1ss0	13
34	NameGenerat0r	12
35	beeperbeeper5	10
35	ROY4LE	10
35	PaperCanvas	10
38	Sabby65	9
38	Kowcio_	9
40	Snowflowe	8
40	emreknugrlu	8
42	Hahaa_0	7
42	monky_irl	7
44	Eraxa	6
45	TheShyPig	5
45	Enderxz3	5
47	thedhub	3
47	DairyNickel756	3
49	fanofbands101	2
49	himak1	2
49	Roenfire	2
49	Manaateee	2
49	Gus2005	2
49	sp00ky_ghost977	2
49	jnp_gaming	2
49	00000000-0000-0000-0009-01ffc2d8cf2a	2
57	SugarMyNuggets	1
57	MSK__	1
57	Whiterooster001	1
57	Tjhodskins19	1
57	TheDankPlatypus	1
57	trixterrx	1
57	Windo_licker	1
57	Hyp3rion_	1
57	Krowuss	1
57	fxiryglitch	1
57	thgrocks	1
57	KlausVonStiglitz	1
57	LexMakesHistory	1
57	Airem_Core	1
57	ItsDeltaMC	1
57	Razzgriz	1
57	ElectricDragon81	1
57	__tomato	1
57	Skippeh	1
57	Ezekson	1
