rank	username	minecraft:mined/minecraft:grass_block
1	EveryonesUncle	250910
2	joethahobo	186989
3	beeperbeeper5	173800
4	Di_infiri	119101
5	Spacewardharpy7	102534
6	HellsSponge	99786
7	Freak_Genius	93835
8	Smoke____	93434
9	YungMaki	81193
10	LordSpeed37	79341
11	TheShyPig	73901
12	noam464	72501
13	PigDab	61474
14	Skylord_Luke	61184
15	awesomeoneme	57618
16	El_Jalapeno	53254
17	Kakolbus	52328
18	Blackberry1310	48775
19	pintsizedrogue	47586
20	Sral7	47144
21	Frozil12	44189
22	Mahoose	43324
23	Ezekson	42635
24	gcaisawesome	42216
25	thescout7	41427
26	Werbe	41369
27	burbankbuilder28	41309
28	FelixPSY375	36743
29	kekhon	35991
30	ApophisNova	35927
30	MyNamaSheff	35927
32	Legendosh	35916
33	eitanzaki	35308
34	Menthas	35058
35	sebastiensaborio	33761
36	Arceus1975	33308
37	CoffeeNoir	33105
38	Cowison	33013
39	m_be9	32805
40	Lord_Jord	32540
41	lordpipe	30636
42	BlancoFlaco	30592
43	Blu3beast	29425
44	cedric72	27418
45	PlasticOtari	27180
46	Blaiku	26996
47	ROY4LE	26259
48	12Magner05	24776
49	_Karmaa	24203
50	rarrq	23750
51	Inchef	23649
52	TheSecondLord	22998
53	Deathkob	22434
54	Miko_Fullbuster	21785
55	set67	21405
56	Merv__	20940
57	Quincannon	19750
58	500am	19447
59	stahouo	18755
60	EcksD	18501
61	Winklepicker279	18161
62	Enderslayerxz3	17823
63	jnp_gaming	17478
64	emrekn	16954
65	Racengan	16827
66	Jovaphobic	16498
67	_Dean_123	15821
68	ImpavidArcher	15820
69	Mewar	15637
70	mwrty	15495
71	EMC_	15181
72	hcb238	14948
73	TooManyDuck	14899
74	thewindmillman	14413
75	TechnoNinja64	14195
76	himak1	14127
77	Inbefour	14106
78	ProfessorBee	14086
79	EcksDofficial	14041
80	lcvezra	14001
81	MightyWertu	13866
82	MyNameIsJobo	13390
83	Onennon	13207
84	ExtraDumb	13181
85	SuperPooch06	13132
86	Snowflowe	13129
87	xxPipperDipperxx	12652
88	Hermanni__	12555
89	Jackattack53	12546
90	NoChumpChange	12122
91	Spenduh	12118
92	vandmanden	12028
93	Lutres_Torane	11342
94	Hyp3rion_	11011
95	picardred	10997
96	Warlord324	10979
97	RodSerlingCringe	10680
98	Kowcio_	10567
99	Zythose	10228
100	SkateboardR6	10193
101	lillips	9943
102	Sheldor097	9874
103	Hisiste	9794
104	mawileite	9614
105	Soplight	9600
106	Akoot_	9470
107	ShedJr_	9368
108	teslawolf38	9203
109	DTwenty	9171
110	Bumpy419	9160
111	Shogunite	8979
112	Wooptey	8848
113	WyngGoy	8821
114	Winston_Ingram	8687
115	cog	8686
116	titanlax	8654
117	Historical_Sand	8463
118	Rumpletaezer	8428
119	SSytex_X	8342
120	Groovy_MoonBird	8273
121	RebelAndroid	8070
122	DemTechAlpha	8039
123	oxfordschool	8001
124	diggydog67	7880
125	Rebytre	7757
126	bigstankyy	7626
127	q_wq	7623
128	T045RTY	7513
129	Kryktal	7481
130	Incinere	7448
131	Dusk_95	7408
132	Kubelz	7366
133	TheBiggestFeller	7246
134	NameGenerat0r	7204
135	anbbang	7104
136	Eraxa	7096
137	Swexti	7050
138	fffMike	6938
139	Nicserso	6909
140	PlzNoBM	6801
141	Darkgon	6755
142	K_a__a_n	6710
143	audiocracked	6521
144	Cortexia	6456
145	jacxhadow	6413
146	FishyBoy3811	6407
147	crying_wolf_13	6371
148	_NieToksikpl_	6294
149	XxCookiequeenxX	6199
150	Mistruth	6146
151	censorsheep	6131
152	Euclidoris	6047
153	Ssor69	6024
154	Bandito_Roamer	5983
155	DanTheBuilderino	5963
156	AlphaWolfPlaysMC	5925
157	ogoa	5919
158	ayqq	5906
159	NomadicRobin_	5858
160	_8man	5846
161	fluddd	5835
162	sp00ky_ghost977	5834
163	claivin	5769
164	OfficerAnvil	5758
165	Fullut	5679
166	VentiHilton	5639
167	TheDankPlatypus	5606
168	Truckoss	5513
169	HesDemonPants	5462
170	LordAurum	5431
171	KarlKaek	5405
172	XboxPanda	5345
173	CalebDHawk	5327
174	GingerNeutron	5314
175	wezzzi	5266
176	r123moore	5248
177	pixelviolin	5212
178	Quotary	5209
179	epiksk8erduck	5193
180	PortlyPete69	5179
181	RadarHz	5148
182	6king6colt6	5108
183	Awyrlas	5050
184	_Cloverbelle_	5041
185	M_Patata	5036
186	Luigipunch989	5024
187	chipklip	4976
188	MasterNueve	4951
189	Sky_light_KING	4939
190	The_slideV3	4890
191	__tomato	4866
192	gabriels543	4785
193	theonlymagikarp	4760
194	loveseeker	4715
195	Soul_Atreus	4673
196	UncreativeArtist	4636
197	egglapras	4577
198	Jackster03	4572
199	PeteO1995	4554
200	Jiminie	4504
201	Xovalt_	4341
202	Deodorante	4299
203	wobn	4222
204	Yatitay	4218
205	DarkS0L	4198
206	Njensen7	4132
207	CharlieButt	4090
208	h2p_emrld	4081
209	fkGrim	4043
210	YoshikageBites	3968
211	MilleGrug	3958
212	Harotio	3957
213	I_Am_Mushkin	3916
214	Russiancat1	3904
215	Dreamdbr14	3900
216	Sqwishy	3854
217	firesgal3116	3823
218	SammiWolfGirl	3799
219	IAmTheWalrus910	3766
220	_Bguette_	3731
221	seanitoo	3637
222	Marbz_	3619
223	Nach0Bear	3579
224	CaptainDeadBread	3571
225	Kateesaur	3570
226	Serval2000	3565
227	KlausVonStiglitz	3563
228	Syropatathe	3539
229	WET_WET_WET	3496
230	Skippeh	3492
231	DarlaMeow	3461
232	MyNameIsDakar	3452
233	jcool7	3443
234	youhjjhhhjj	3430
235	ATrojansLegend	3394
236	AuroraValkyrie	3373
237	avalan64	3363
238	Strangemonkey71	3360
239	RobotMinion101	3345
240	djancak	3287
241	TheThomas69	3244
242	PhantomsGhost_	3165
243	Chromary	3152
244	H72l9w	3149
245	bloodbiter	3143
246	Zoeyfortnite	3140
247	The11thDoctor	3137
248	Lowjinx	3102
249	CrookedKaptain	3086
250	1442	3082
251	SpaceGrenadier	3080
252	the__Reaper4999	3069
253	Cocoamallows	3029
254	zorin123	2971
255	purpolepickle	2970
256	diamondgolem35	2957
257	Frxnkz	2952
258	JESS_THE_RERE	2947
259	masskedman	2917
260	Myszoaz	2889
261	Nycteus_	2870
262	Steven1282598	2851
263	Typadopoulos	2848
264	Malorn_Aetherius	2834
265	impossibleteapot	2831
266	Froste131	2816
267	whoaluv	2799
267	Katsuragi0243218	2799
269	mariominejedi	2797
270	EfficientC52	2787
271	Groundler	2783
272	surfinggiraffejp	2759
273	Prodiginus	2758
274	SaucyDark	2734
275	2blox	2706
276	NebulousBadger	2699
276	Kiki_Majiki	2699
278	NinjaKnifeKill	2657
279	RoskobiOne	2628
280	Tolhart	2622
281	eiC_	2608
282	stavgod	2598
283	KeruNatsema	2586
284	garrykasparow	2575
285	Fuhrer_Teemo	2561
286	Mowelan	2557
287	UrbanPlanner1978	2541
288	Scathra	2503
289	Optiprimus	2494
290	IWorkAtIkea	2487
291	07shiny	2457
292	NormanFetus	2430
293	trexgb	2429
294	Kamflame10	2396
295	eviltunix	2388
296	SexcMf	2386
297	FlashMigma	2368
298	Kymarmalade	2366
299	platinumzero	2353
300	Kferno	2346
