rank	username	minecraft:mined/minecraft:gray_carpet
1	joethahobo	4269
2	Mattesco	1321
3	PlasticOtari	1069
4	noam464	543
5	kekhon	431
6	FreakGenius	291
7	YungMaki	288
8	500am	272
9	mihimihimihi	235
10	Frozil20	213
11	Merv__	209
12	Mahoose	173
13	JETrotter	109
14	Groundler	104
15	Enderxz3	98
16	AdmiralSmoke	95
17	Manaateee	83
18	Quaintster	82
19	MovingFish7	79
20	Ezekson	78
21	CattSoup	72
22	Apollo_993	71
22	EcksD	71
24	Lez_	66
25	eitanzaki	65
26	Quotary	63
27	Hyp3rion_	54
28	pintsizedrogue	52
29	Historical_Sand	51
29	beeperbeeper5	51
31	mwrty	50
32	RoskobiOne	48
32	Meme25327	48
34	TheShyPig	47
35	groofles	46
36	Crowman1	44
37	CLG_Kata	43
37	TheSecondLord	43
37	XxCookiequeenxX	43
40	thewindmillman	39
41	r123moore	37
42	KingMatthew506	35
43	Eraxa	34
44	Soplight	33
45	Reamdin	32
45	Njensen7	32
47	Blackberry1310	28
47	Onennon	28
49	Racengan	26
49	SammiWolfGirl	26
51	SSytex_X	25
52	xzvu	23
53	ECstardust	22
53	rarrq	22
53	BumbleBeever	22
53	Spacewardharpy7	22
57	Akoot_	20
58	lillips	18
59	Groovy_MoonBird	17
59	k_ce	17
59	Jakobo1337	17
59	Di_infiri	17
59	NameGenerat0r	17
59	EngagedGrub41	17
65	6king6colt6	15
65	RebelAndroid	15
65	Blaiku	15
68	titanlax	14
68	xxPipperDipperxx	14
70	Swexti	13
71	jessewegottacook	12
72	Huwulling	11
72	Rumpletaezer	11
72	luseis	11
75	SaintJosie	10
75	starbits140	10
77	Ryan_GEMS	9
77	Avrelion	9
77	Marbz_	9
77	Kouridragon	9
77	IamCL4SSY	9
77	MAns_44	9
77	Shin69	9
84	Secret_Canary	8
84	Arceus1975	8
84	TheTommyGun63	8
87	Legendosh	7
88	Da_Boss_Rani	6
88	ratglock	6
88	El_Jalapeno	6
88	Nycteus_	6
88	jcool7	6
88	00000000-0000-0000-0009-01ff0c3e5e4f	6
94	Eraza	5
94	cedric72	5
94	Leyna3	5
94	Meatlaugh	5
94	HellsSponge	5
94	_Mythic____	5
94	Kowcio_	5
94	ConnorDanky_	5
102	MintyTuna	4
102	xXxSebastianLxXx	4
102	himak1	4
102	Spenduh	4
102	TechnoNinja64	4
107	SmashingPump	3
107	pr33tu	3
107	Jackattack53	3
107	Krowuss	3
107	TheWildMateo	3
107	ougstur	3
107	ogoa	3
107	Inbefour	3
107	wwwwinnebagoooo	3
107	Segotep999	3
107	non089	3
107	Hermanni__	3
107	MirielThePastor	3
107	Biites	3
121	teslawolf38	2
121	T045RTY	2
121	ShedJr_	2
121	heckface	2
121	Scathra	2
121	lorpus	2
121	olliebollie48	2
121	Zorin_Blitz	2
121	Snowflowe	2
121	ApophisNova	2
121	fw3xy74	2
121	sankrs	2
121	SvenskaHugo	2
121	UCP_TheKingK	2
121	lcvezra	2
121	Winston_Ingram	2
121	Steelynan	2
121	MyNamaSheff	2
139	BPTY4618	1
139	squigglybones	1
139	PazinGaming	1
139	EMC_	1
139	diamondgolem35	1
139	Gundam_Steven	1
139	doveslol	1
139	Incinere	1
139	Myszoaz	1
139	H72l9w	1
139	bloodbiter	1
139	MinttyFressh	1
139	Megarboh	1
139	Lumien_	1
139	slkiey	1
139	Pineapplesugr	1
139	Touched_Bread	1
139	M_Patata	1
139	SecretSH	1
139	hanaryheatwave	1
139	Rebytre	1
139	Werbe	1
139	RobotMinion101	1
139	LeGold	1
139	sammidk	1
139	FishyBoy3811	1
139	thgrocks	1
139	GooseWithin	1
139	Wowful	1
139	LeonelSalamanca	1
139	NomadicRobin_	1
139	EveryonesUncle	1
139	MinuteMira	1
139	LexMakesHistory	1
139	ewpunk	1
139	Blu3beast	1
139	fluddd	1
139	SingedBread	1
139	THEKINGLyric10	1
139	lordpipe	1
139	MasterNueve	1
139	sadvavilloso	1
139	Zetsey	1
139	CACTUSLAD	1
139	__tomato	1
139	obzii	1
139	MilleGrug	1
139	ZoomieZoomie	1
139	jnp_gaming	1
139	00000000-0000-0000-0009-01fc796cc078	1
139	00000000-0000-0000-0009-01f358e1a055	1
