rank	username	minecraft:mined/minecraft:infested_stone_bricks
1	HellsSponge	409
2	Jiminie	154
3	AssFullaCum	102
4	Miko_Fullbuster	93
5	chipklip	81
6	MyNameIsJobo	41
7	TheSecondLord	38
8	Fullut	32
9	Maenara	23
9	plato2066	23
11	Blu3beast	22
12	Wowful	21
13	kekhon	20
14	thewindmillman	18
14	Racengan	18
16	33sudo	17
17	Di_infiri	15
17	Onennon	15
19	Ezekson	13
20	Freak_Genius	12
21	CaptainDeadBread	11
22	Steelynan	10
23	Frozil12	9
23	OfficerAnvil	9
25	Drlzyy	8
26	RefluxRatio	7
26	Spacewardharpy7	7
26	WyngGoy	7
26	Eraxa	7
30	m_be9	6
30	whoaluv	6
32	eitanzaki	5
32	joethahobo	5
32	Zaridey	5
32	kars0n	5
32	aec9	5
32	iSammael	5
32	EcksD	5
32	Enderslayerxz3	5
40	FirsTimeGamingTV	4
40	MattieHD	4
40	epiksk8erduck	4
40	Jimi7hits	4
40	Lightfulwolf	4
40	jcool7	4
40	JayToe	4
47	Cats_Fly	3
47	MrKrabOnCoke	3
47	M_Patata	3
47	TheShyPig	3
47	Rasmanden	3
47	ChrisKyleST3	3
47	binman420	3
47	MasterNueve	3
47	UCP_TheKingK	3
56	nataliecool	2
56	diamondgolem35	2
56	Mahoose	2
56	12Magner05	2
56	himak1	2
56	pappaberg	2
56	RobotMinion101	2
56	fred870d	2
56	balin55	2
56	JESS_THE_RERE	2
56	ProbsNotNova	2
67	pintsizedrogue	1
67	Menthas	1
67	Merv__	1
67	Lukeee33	1
67	Hpdinosaur	1
67	livingdaydreams	1
67	youhjjhhhjj	1
67	beeperbeeper5	1
67	picardred	1
67	Kamflame10	1
67	noam464	1
67	ZeroAbyssTTV	1
67	gabriels543	1
67	Jackattack53	1
67	SuperPooch06	1
67	Rumpletaezer	1
67	Voxin2K	1
67	Mattesco	1
67	PigDab	1
67	Akoot_	1
67	NoChumpChange	1
67	misomon	1
67	Captain_Nasty	1
67	Nycteus_	1
67	Xclax101	1
67	Blaiku	1
67	Barlycorn	1
67	Warlord324	1
67	Hisiste	1
67	NotMeowMix	1
67	mihimihimihi	1
67	LordSpeed37	1
67	YungMaki	1
67	Soplight	1
67	Spenduh	1
67	anbbang	1
67	EcksDofficial	1
