rank	username	minecraft:mined/minecraft:purple_concrete_powder
1	mwrty	254
2	AnnieBathory	47
3	MakeHistory157	41
4	jnp_gaming	30
5	ApophisNova	23
5	MyNamaSheff	23
7	TheShyPig	22
8	lillips	20
9	Smoke____	19
10	rarrq	17
11	LordSpeed37	16
12	TheSecondLord	12
12	Steelynan	12
14	mihimihimihi	10
14	starbits140	10
16	EMC_	8
16	HellsSponge	8
16	jcool7	8
19	thewindmillman	7
20	lordpipe	6
21	MattieHD	5
21	ROY4LE	5
21	YungMaki	5
24	claivin	4
24	PortlyPete69	4
26	beeperbeeper5	2
26	WWWWMWWWWWWWWWWW	2
26	IamCL4SSY	2
26	WyngGoy	2
26	carbo_bro	2
26	mobunni	2
32	Notta	1
32	Fullut	1
32	set67	1
32	noam464	1
32	legal_tax_evader	1
32	Di_infiri	1
32	PigDab	1
32	thgrocks	1
32	Cyntrical	1
32	Spacewardharpy7	1
32	Leithz6	1
32	xzvu	1
32	KingMatthew506	1
32	EcksD	1
32	Nicserso	1
32	TechnoNinja64	1
