rank	username	minecraft:mined/minecraft:potted_white_tulip
1	miramyu	8
2	kekhon	6
2	corvidpartyfor6	6
4	Avocadogerms	5
5	pintsizedrogue	4
5	Mahoose	4
7	500am	3
7	Marbz_	3
7	PlasticOtari	3
10	Soplight	2
10	PeaceAndQuiet	2
12	Bandito_Roamer	1
12	6king6colt6	1
12	SaucyDark	1
12	elmer1234	1
12	_Dean_123	1
12	LeauVox4921	1
12	2Stout	1
12	r123moore	1
12	iTurbo	1
12	Mattesco	1
12	Akoot_	1
12	NomadicRobin_	1
12	Gryglu583	1
12	DarlaMeow	1
12	Xclax101	1
12	Druid95	1
12	Winston_Ingram	1
12	Njensen7	1
12	OfficerAnvil	1
12	LuvLuvLove	1
