rank	username	minecraft:mined/minecraft:iron_bars
1	HellsSponge	2143
2	beeperbeeper5	1147
3	burbankbuilder28	1024
4	Freak_Genius	844
5	joethahobo	828
6	TheShyPig	740
7	noam464	505
8	thewindmillman	501
9	stahouo	479
10	PlasticOtari	458
11	thescout7	449
12	Blackberry1310	447
13	Smoke____	425
14	EveryonesUncle	389
15	Di_infiri	380
16	eitanzaki	374
17	Mahoose	365
18	xxPipperDipperxx	345
19	Xclax101	334
20	m_be9	314
21	lordpipe	311
22	Merv__	299
23	cichy096	288
24	TheSecondLord	274
25	kyouma777	268
26	Werbe	261
26	AssEatrAndLicker	261
28	Chromary	229
29	1442	226
30	Eraxa	224
31	500am	210
32	EcksDofficial	199
33	jnp_gaming	198
34	Hermanni__	194
35	ROY4LE	187
36	kekhon	178
37	Lord_Jord	174
38	fffMike	142
39	Soplight	139
40	Comma__	138
41	chipklip	136
42	Nycteus_	133
43	T045RTY	132
44	Fullut	124
45	titanlax	119
46	MyNameIsJobo	116
46	Enderslayerxz3	116
48	Hyp3rion_	115
48	El_Jalapeno	115
48	sp00ky_ghost977	115
51	ImpavidArcher	110
52	MilleGrug	108
53	Inchef	102
53	Onennon	102
55	Blaiku	101
56	Spacewardharpy7	99
57	Sral7	98
58	Skippeh	97
59	TechnoNinja64	95
60	bloodbiter	89
60	Frozil12	89
62	pintsizedrogue	82
62	Akoot_	82
64	Ezekson	78
65	EMC_	76
65	Kowcio_	76
65	sebastiensaborio	76
65	Legendosh	76
69	MightyWertu	73
70	_Bguette_	71
70	33sudo	71
72	Sheldor097	69
73	JEWISHBadenBeele	68
73	CruncyIsTaken	68
75	claivin	67
75	pixelviolin	67
77	Kubeusz2010	66
78	AlphaWolfPlaysMC	65
79	mwrty	62
80	awesomeoneme	61
80	Sky_light_KING	61
82	DermeinUser	60
83	lcvezra	58
84	MyNameIsDakar	57
85	himak1	56
86	Dedalus36	53
87	SuperPooch06	52
87	Billious	52
87	Maenara	52
90	PhantomsGhost_	50
90	egglapras	50
92	pappaberg	49
93	BobDeBouwer1337	48
93	12Magner05	48
93	jewbacaman	48
93	KG1999	48
93	GlitchyPlate810	48
98	Jovaphobic	46
98	Incinere	46
98	ApophisNova	46
98	MyNamaSheff	46
102	SaucyDark	45
102	Tolhart	45
102	Winklepicker279	45
102	Snowflowe	45
102	Bumpy419	45
102	Blu3beast	45
102	TheEnderman548	45
102	YungMaki	45
110	fkGrim	43
110	Racengan	43
112	SquadMonster	42
112	cedric72	42
114	KarlKaek	40
114	AssFullaCum	40
116	q_wq	39
116	Dusk_95	39
118	Groundler	37
118	oxfordschool	37
120	LotusProject	35
120	r123moore	35
120	Skylord_Luke	35
120	plato2066	35
120	Quotary	35
120	Nicserso	35
126	Wooptey	34
127	Historical_Sand	33
127	SvenskaHugo	33
129	set67	32
129	Jackattack53	32
129	fluddd	32
129	brofrickcheaters	32
133	crying_wolf_13	31
134	NoChumpChange	30
134	IdeallyGrey	30
134	__tomato	30
134	obzii	30
138	Donutt	27
138	SkateboardR6	27
138	BlankityMcBlank	27
141	xXTheWolfmanXx	26
141	ShedJr_	26
141	zorin123	26
141	impossibleteapot	26
145	_Virify_	24
145	teslawolf38	24
145	sxc_	24
148	Cryptacity	22
148	Meatlaugh	22
148	The_slideV3	22
151	KliBeast21	21
152	Mr_Byzantine	20
152	rarrq	20
152	SteveCraftBlocks	20
152	Rumpletaezer	20
156	slkiey	19
156	_naturell	19
156	_Karmaa	19
159	Zaridey	18
160	Hpdinosaur	17
160	Swexti	17
160	Kubelz	17
160	benediktine1	17
160	Hoid_the_Roamer	17
160	RobotMinion101	17
160	GlitchMixed	17
160	djancak	17
160	EcksD	17
160	Powowowow	17
170	TooManyDuck	16
170	2Stout	16
170	gabriels543	16
170	DemTechAlpha	16
170	bruh072	16
175	valkam13	15
175	UrbanPlanner1978	15
177	FirsTimeGamingTV	14
177	NotMeanttoChange	14
177	DSYisDizzy	14
177	ooga47	14
177	PuFY	14
177	Hisiste	14
177	07shiny	14
184	CharlieButt	13
184	kars0n	13
184	MousePlays	13
187	MattieHD	12
187	Kamflame10	12
187	Xalithia	12
187	SellyZ	12
187	gcaisawesome	12
187	FishyBoy3811	12
187	audiocracked	12
187	NameGenerat0r	12
187	PortlyPete69	12
196	Groovy_MoonBird	11
196	Cowison	11
196	bigstankyy	11
196	RebelAndroid	11
196	InfernalMound	11
196	M_Patata	11
196	Shiirazuku	11
196	RodSerlingCringe	11
196	Fildyr	11
196	MasterNueve	11
206	nataliecool	10
206	6king6colt6	10
206	Auseawesome	10
206	jacxhadow	10
206	ProfessorDiaper	10
206	MovingFish7	10
206	Ze_BaronKrigler	10
206	Cocoamallows	10
206	ProbsNotNova	10
206	Yogscast_Manden	10
206	WYFYoyo	10
217	Bandito_Roamer	9
217	CoffeeNoir	9
217	Megarboh	9
217	_Nuf	9
217	MangoTheFish	9
217	CrateOfBoxes	9
217	selectrix	9
217	Factoroni	9
217	WyngGoy	9
217	MakeHistory157	9
217	OfficerAnvil	9
217	JohnPrice	9
229	Drlzyy	8
229	Stiar	8
229	Avermu	8
229	loveseeker	8
229	CarltheCuck	8
229	fred870d	8
229	TheTrueClipse	8
229	XxCookiequeenxX	8
229	layabout100	8
229	YoshikageBites	8
229	diggydog67	8
240	Myszoaz	7
240	wirelesstree	7
240	Wowful	7
240	NomadicRobin_	7
240	Shogunite	7
240	DeGodz4life	7
240	Nagasaki_Riku	7
240	Optiprimus	7
240	Luigipunch989	7
240	jcool7	7
240	2blox	7
240	h2p_emrld	7
252	Tommhh	6
252	_Razar	6
252	WarHammer3	6
252	roxycherry	6
252	PegLegPete93	6
252	NoxxxxiS	6
252	dendydoom	6
252	gustarbite	6
252	Jiminbub	6
252	the_russell1611	6
252	misomon	6
252	JESS_THE_RERE	6
252	monky_irl	6
252	SammiWolfGirl	6
252	_3Stump_	6
252	alderban107	6
252	anbbang	6
252	Tristankill	6
270	AshleeCW	5
270	BodaciousCake	5
270	Natty	5
270	fr0stss	5
270	Malorn_Aetherius	5
270	Zedducius	5
270	MinttyFressh	5
270	Awyrlas	5
270	xBaltaci	5
270	LAVA129	5
270	HAIRYCLOUD626	5
270	HyperCave	5
270	Skomo	5
270	yulgur1	5
270	stavgod	5
270	Spenduh	5
270	Dreamdbr14	5
270	Winston_Ingram	5
270	Yahrto	5
289	xyct	4
289	soundad	4
289	Ailmast	4
289	Umbre_19	4
289	Hormones	4
289	Ssor69	4
289	LoboTheLobster	4
