rank	username	minecraft:mined/minecraft:mangrove_propagule
1	Yamdalorian	416
2	TheWickedBird	318
3	pintsizedrogue	281
4	Smashic	206
5	Galactic_Badger	202
6	Mr_Byzantine	109
7	corvidpartyfor6	89
8	Kakolbus	79
9	Manaateee	78
10	Soplight	65
11	beeperbeeper5	49
12	EMC_	45
13	SpacesickPrism	44
14	Hyp3rion_	39
15	k_ce	38
16	crashomon	36
16	U_Mos_	36
18	luseis	31
19	Nicserso	30
20	PigDab	29
21	noam464	26
21	MAns_44	26
21	NATE_the_HALO	26
24	Pumpkin_P_Patch	25
25	AlexxO_o	23
26	RebytreGT	21
26	hermmm_	21
28	hanaryheatwave	19
28	Segotep999	19
30	Touched_Bread	18
31	Jackattack53	17
31	pixelviolin	17
33	Krowuss	16
33	Enderxz3	16
35	500am	15
35	EngagedGrub41	15
37	oscminus	14
38	Apollo_993	13
39	EveryonesUncle	12
40	excelsionprime	11
40	Marbz_	11
40	Aakvaa	11
43	SygnalX	10
43	_witch_craft_	10
43	Jimb0nat0r	10
43	00000000-0000-0000-0009-01ff0c3e5e4f	10
47	_Nat666	9
47	Mattesco	9
47	XxCookiequeenxX	9
50	Mahoose	8
50	MattieHD	8
50	Fuad_R	8
53	CaracolCxnt	7
54	ImpavidArcher	6
54	skroobiez	6
54	Pofen	6
57	myaccountwasgone	5
57	ebidy	5
57	T045RTY	5
60	j5ylim	4
60	12Magner05	4
60	philandr	4
60	thewindmillman	4
60	thebaddruid	4
60	robonya_	4
60	Steelynan	4
60	PlasticOtari	4
68	Lez_	3
68	FiguraDei	3
68	TheKingK_	3
68	DairyNickel756	3
72	CLG_Kata	2
72	KarlKaek	2
72	DinoDoctor_	2
72	lorywithay	2
72	ActualPatbaf	2
72	TheSecondLord	2
72	SteveCraftBlocks	2
72	Nach0Bear	2
72	Druid95	2
72	YungMaki	2
72	CalebDHawk	2
72	kaiwill0w	2
72	skitzxo	2
85	_Huge_Male_	1
85	Merv__	1
85	Alteriity	1
85	Huwulling	1
85	Secret_Canary	1
85	xxPipperDipperxx	1
85	olliebollie48	1
85	Di_infiri	1
85	Jonafrog99	1
85	EdGalbraith	1
85	Spacewardharpy7	1
85	mihimihimihi	1
85	Cache3	1
85	Thunder_bird4337	1
85	Moss_2006	1
85	calamariclam_I	1
