rank	username	minecraft:mined/minecraft:lily_pad
1	beeperbeeper5	669
2	joethahobo	578
3	Di_infiri	554
4	YungMaki	497
5	FreakGenius	446
6	Legendosh	434
7	kekhon	431
8	MoistMicrowave	425
9	mihimihimihi	385
10	pintsizedrogue	376
11	Decaying_Lotus	296
12	PazinGaming	264
13	TheWickedBird	244
14	gcaisawesome	242
15	diggydog67	233
16	noam464	225
17	Invintic	218
18	_Huge_Male_	216
19	Spacewardharpy7	210
20	burbankbuilder28	208
21	Skippeh	204
22	SaucyDark	186
23	Alteriity	185
24	PigDab	182
25	EMC_	181
26	Eraxa	174
27	Zaridey	170
28	El_Jalapeno	169
29	Mahoose	159
30	ImpavidArcher	149
31	HellsSponge	141
32	OfficerAnvil	138
33	Nicserso	133
34	GooseWithin	130
35	AlexxO_o	127
36	eitanzaki	125
37	Chaotic1s	121
38	Mr_Byzantine	118
39	500am	115
40	thescout7	114
41	jnp_gaming	108
42	Kakolbus	104
42	pi_E_	104
44	Huwulling	102
44	luseis	102
44	Manaateee	102
47	titanlax	97
47	Western_1	97
49	fanofbands101	93
49	Maenara	93
51	EveryonesUncle	91
52	ReflexCode	90
53	TheSecondLord	89
54	Steelynan	85
55	TheShyPig	84
56	Merv__	78
57	Snowflowe	76
58	Akoot_	75
58	IAmTheWalrus910	75
60	_Cloverbelle_	69
61	Quotary	68
62	Froste131	67
62	Dr0xzy	67
64	diamondgolem35	65
64	Incinere	65
66	eiC_	64
66	Hyp3rion_	64
68	Julmish	63
69	Groovy_MoonBird	57
69	hcb238	57
71	Myszoaz	55
71	bloomkieren	55
73	Batman922	54
74	_Karmaa	51
74	hermmm_	51
76	SteveCraftBlocks	50
77	SpacesickPrism	49
78	Harotio	48
78	intropass	48
78	Werbe	48
78	Njensen7	48
82	GravitySaint	47
83	Enderxz3	46
84	Russiancat1	45
85	Cowison	44
85	Frozil20	44
85	_TCARREIRA_	44
88	LordSpeed37	43
89	Rando1024	42
89	TheThomas69	42
91	Kkanot	41
91	Ristebraaten	41
93	EngagedGrub41	40
94	ScarmedLeft	39
94	Yamdalorian	39
96	Lutres_	38
97	Blackberry1310	37
97	miramyu	37
99	cheerytomato	36
99	Drewen24	36
99	avalan64	36
99	OG_Songsee	36
103	BadenStayFly	35
103	MonitorLizards	35
103	TechnoNinja64	35
106	Bandito_Roamer	34
106	Spenduh	34
106	EcksD	34
109	Segotep999	32
109	obzii	32
111	wezzzi	31
112	Aatronix	29
113	Ozixar	28
114	Lord_Doob	27
115	Mattesco	26
115	RaiaMala_	26
115	Apicomplexa	26
118	Hiryu27	25
118	lordpipe	25
118	Druid95	25
121	Wowful	24
121	fkGrim	24
121	Dakar_	24
121	pixelviolin	24
121	Jimb0nat0r	24
126	bigstankyy	23
126	ratglock	23
126	shrimp_flips	23
126	sp00ky_ghost977	23
130	RoskobiOne	22
130	ColeSnyder	22
130	mwrty	22
130	SeverianOfUrth	22
130	SvenskaSara	22
130	Skylord_Luke	22
130	CornOnTheCobalt	22
130	Nekomin0	22
138	Warlord324	21
138	PortlyPete69	21
140	12Magner05	20
140	Fullut	20
140	DanTheBuilderino	20
143	xyct	19
143	Kubelz	19
145	ChumpyCat	18
145	ShedJr_	18
145	Fullbit_	18
145	salvinia	18
145	Gus2005	18
150	Quaintster	17
150	2blox_	17
150	skitzxo	17
153	Motsaro	16
153	Windo_licker	16
153	oscminus	16
153	DeeDeeThonk	16
153	Klerick	16
153	StinkyDiplomat	16
159	dimondking777	15
159	heckface	15
159	Flowertone	15
159	DarlaMeow	15
159	07shiny	15
159	CattSoup	15
159	Biites	15
166	Zee_zey	14
166	PegLegPete93	14
166	Jackattack53	14
166	__tomato	14
166	calamariclam_I	14
171	Reamdin	13
171	Tiberonus	13
171	RebytreGT	13
171	TheSeismicDuck	13
171	Racengan	13
171	Matorz	13
171	RoboTramp7865	13
171	in2thenextportal	13
179	CoffeeNoir	12
179	Z3braYTIL	12
179	SellyZ	12
179	fallingemma	12
179	Krowuss	12
179	KeruNatsema	12
179	XxCookiequeenxX	12
186	DinoDoctor_	11
186	BlueishDEV	11
186	Rorrofighter	11
186	corvidpartyfor6	11
186	DTwenty	11
186	DemTechAlpha	11
186	SkateboardR6	11
186	EtherealEspresso	11
186	Deguns123	11
186	Nargotah	11
186	xorompole	11
186	JayToe	11
198	SOA1RR	10
198	TastyPorkchop	10
198	MattieHD	10
198	Awyrlas	10
198	Xalithia	10
198	olliebollie48	10
198	thewindmillman	10
198	Onennon	10
198	SavageRevolver99	10
198	Elastiq	10
198	Dabatha	10
198	Tyrannosplart	10
198	ItsJWolff	10
198	TheKingK_	10
198	SammiWolfGirl	10
198	tartanboy	10
198	PlasticOtari	10
215	ActualPatbaf	9
215	Notta	9
215	ProfessorBee	9
215	ConcretePirate	9
215	SuperPooch06	9
215	VTD	9
215	Y_A_N_N_I	9
215	aldplaysmc	9
215	bluefragmentt	9
215	Optiprimus	9
215	Kowcio_	9
215	nonarso	9
227	hollowww	8
227	Lez_	8
227	Chromary	8
227	Arceus1975	8
227	Bumpy419	8
227	Kubeusz2010	8
227	TheOuterCore	8
234	_Razaria	7
234	Base_Tempest	7
234	fragrantmonke444	7
234	jordanchohat	7
234	CaptainAvenger7	7
234	PaperCanvas	7
234	claivin	7
234	sq0id	7
234	Soul_Atreus	7
234	Bawbman	7
244	j4ck811	6
244	TildaAndrea	6
244	ECstardust	6
244	rarrq	6
244	DarkFisto	6
244	bloodbiter	6
244	Ravenbie	6
244	ROY4LE	6
244	Purplehere	6
244	AnnieBathory	6
244	S4tox	6
244	GamerDuck123	6
244	Invisie	6
244	LilLizardWizard	6
244	masskedman	6
244	Jaka_Saurus_715	6
244	VilsSwag	6
244	Shadow4381	6
244	SvenskaHugo	6
244	Soplight	6
264	Deu_Stew	5
264	SmashingPump	5
264	skroobiez	5
264	JCdaLeg3nd	5
264	teqilas	5
264	Crowman1	5
264	m_be9	5
264	2Stout	5
264	xxPipperDipperxx	5
264	SHAOBADMAN	5
264	BlueZabu	5
264	Crasswolf	5
264	ooga47	5
264	sufjanlover	5
264	kalzor	5
264	Blu3beast	5
264	vandmanden	5
281	marguang	4
281	cletemo	4
281	SlowMoNinja1994	4
281	RatatJuice	4
281	Natty	4
281	tsohomie	4
281	MinttyFressh	4
281	cyrusisntgay	4
281	M_Patata	4
