rank	username	minecraft:mined/minecraft:blue_bed
1	HellsSponge	115
2	Soplight	55
3	YungMaki	50
4	Paintz	43
5	Xclax101	42
6	12Magner05	36
7	Ezekson	30
8	4774	29
8	pixelviolin	29
10	SmashingPump	20
10	lcvezra	20
12	kekhon	19
13	33sudo	18
14	El_Jalapeno	17
14	Skippeh	17
16	Di_infiri	16
17	pintsizedrogue	15
17	teslawolf38	15
17	Legendosh	15
20	Inchef	14
20	Zythose	14
22	Merv__	13
22	Jackattack53	13
22	diggydog67	13
25	CloroxBleach385	12
25	SyntheticSurgeon	12
25	CharlieButt	12
25	luseis	12
25	FallenCorps	12
30	burbankbuilder28	11
31	Kkanot	10
31	Rumpletaezer	10
31	J4ko8_	10
31	Dreamdbr14	10
31	00000000-0000-0000-0009-01ff0c3e5e4f	10
36	_Nuf	9
36	TheShyPig	9
36	JESS_THE_RERE	9
36	OffWithTheirHead	9
40	Guillemet	8
40	ROY4LE	8
40	CarryLine	8
40	EveryonesUncle	8
40	Tyrannosplart	8
40	Steelynan	8
46	Vetral1	7
46	NomadicRobin_	7
46	Kowcio_	7
46	Enderxz3	7
46	Smoke____	7
51	NoHaHeHa	6
51	beeperbeeper5	6
51	xxPipperDipperxx	6
51	gabriels543	6
51	AuroraSkies	6
51	NYJ	6
51	Smiguli_	6
51	Soul_Atreus	6
51	MilleGrug	6
51	ZeroKraken	6
51	EngagedGrub41	6
62	Harotio	5
62	Flores991	5
62	Myszoaz	5
62	ratglock	5
62	mwrty	5
62	Motsaro	5
62	purpolepickle	5
62	thewindmillman	5
62	fw3xywashere	5
62	natajimi	5
62	RoofTyler	5
62	ReflexCode	5
62	gusstationwerker	5
62	Luigipunch989	5
62	ConnorDanky_	5
77	H0UNDFRMH3LL	4
77	soundad	4
77	rarrq	4
77	500am	4
77	thebest_daniela	4
77	noam464	4
77	GOOBERGABE04	4
77	fr_ser	4
77	vampgey	4
77	thebaddruid	4
77	Fatimus_	4
77	NNikitas	4
77	F_Uhre	4
77	Jimi7hits	4
77	binman420	4
77	Deathkob	4
77	MyNameIsDakar	4
77	MakeHistory157	4
77	SexcMf	4
77	SammiWolfGirl	4
77	OfficerAnvil	4
98	MuffinManzz	3
98	AshleeCW	3
98	diamondgolem35	3
98	JokoFiskare	3
98	maliraspberry	3
98	T045RTY	3
98	Jackster03	3
98	Mahoose	3
98	H72l9w	3
98	ccwildfire1	3
98	TheSecondLord	3
98	Ardennes	3
98	TableTim	3
98	Solar_Power	3
98	The11thDoctor	3
98	Sharkbyte0	3
98	bearlystraight	3
98	FishyBoy3811	3
98	LilLizardWizard	3
98	ZA07	3
98	Rasmanden	3
98	Akoot_	3
98	Meepcraft	3
98	DarlaMeow	3
98	The_slideV3	3
98	MAns_44	3
98	QueenShuvi	3
98	Blu3beast	3
98	fluddd	3
98	Blaiku	3
98	Racengan	3
98	wwwwinnebagoooo	3
98	AvaRosey	3
98	fffMike	3
98	BreadBacon	3
98	TechnoNinja64	3
134	MunkaKris	2
134	Killercatty78	2
134	TAKrules	2
134	Historical_Sand	2
134	Bowba123	2
134	FirsTimeGamingTV	2
134	Sparky_KT	2
134	Dragonfest	2
134	Smashic	2
134	Xalithia	2
134	hcb238	2
134	olliebollie48	2
134	Winklepicker279	2
134	LAVA129	2
134	CaptainDeadBread	2
134	TheWildMateo	2
134	Mattesco	2
134	HyperCave	2
134	MonitorLizards	2
134	Elastiq	2
134	TheTrueClipse	2
134	Roikdean	2
134	Russiancat1	2
134	ori0le	2
134	Lifedy	2
134	Shogunite	2
134	weabis	2
134	FreakGenius	2
134	CatchmyGrenade28	2
134	GoofySilly	2
134	Groundler	2
134	LordAurum	2
134	Bonzaidalek	2
134	voiding_	2
134	SSytex_X	2
134	NATE_the_HALO	2
134	Dogcorn69420	2
134	Rainaldus	2
134	mountaingirl311	2
173	gary_	1
173	SaltineDream	1
173	Tobinator_007	1
173	Runic_Owl	1
173	Ze1ig	1
173	FroggoTheDoggo	1
173	Mocha_Mug	1
173	ImpavidArcher	1
173	LoganDSA	1
173	Jagyeol	1
173	TooManyDuck	1
173	Sabby65	1
173	nattybears	1
173	_Frepp_	1
173	Huwulling	1
173	fr0stss	1
173	m_be9	1
173	Fullut	1
173	Masssonnn	1
173	thescout7	1
173	IforgotCS_Source	1
173	fade_emerge78823	1
173	surfinggiraffejp	1
173	Tjhodskins19	1
173	LeauVox4921	1
173	NoxxxxiS	1
173	Kubelz	1
173	SharperReaper	1
173	ReverendSmith	1
173	PuustaKauasPdnt	1
173	MyNameIsJobo	1
173	Snowflowe	1
173	Parcc	1
173	Jeteight	1
173	BronkerBrum	1
173	Sheellky	1
173	iElijah	1
173	Moofyman	1
173	dnlksl	1
173	mehen_hokker	1
173	halfwayup	1
173	bpmm	1
173	masskedman	1
173	JoeSaysBingBong	1
173	LoFPS	1
173	Mister3z	1
173	fkGrim	1
173	IsabellasOF	1
173	Fuhrer_Teemo	1
173	_Bguette_	1
173	madderfall	1
173	lillips	1
173	NameGenerat0r	1
173	Quaintster	1
173	TheMiddayMoon	1
173	LargeCarl	1
173	ItsJWolff	1
173	Spacewardharpy7	1
173	toos1esl1de	1
173	LeadenKey	1
173	StreetLouis	1
173	Juh1s	1
173	y0shik	1
173	SunsetwolfGG	1
173	TheOuterCore	1
173	EcksD	1
173	AltnumberF4	1
173	PlasticOtari	1
173	bladeefan2009	1
173	the_cocos	1
173	Kateesaur	1
