rank	username	minecraft:mined/minecraft:respawn_anchor
1	noam464	38
2	PlasticOtari	28
3	thewindmillman	6
3	Manaateee	6
5	Apollo_993	5
6	eitanzaki	4
6	fade_emerge78823	4
6	HellsSponge	4
9	beeperbeeper5	3
10	Winklepicker279	2
10	Rebytre	2
10	YahooScreen9000	2
10	LeonelSalamanca	2
10	Blaiku	2
10	Eraxa	2
16	pintsizedrogue	1
16	Ryan_GEMS	1
16	hm947	1
16	RebelAndroid	1
16	T045RTY	1
16	Mahoose	1
16	ShedJr_	1
16	Historical_Sand	1
16	rarrq	1
16	Fullut	1
16	shadowthemonkey	1
16	Jackattack53	1
16	FreakGenius	1
16	Enderxz3	1
