rank	username	minecraft:mined/minecraft:brown_shulker_box
1	m_be9	439
2	kekhon	418
3	Mahoose	367
4	Skippeh	310
5	Groundler	306
6	Smoke____	284
7	Frozil12	250
8	Dedalus36	208
9	Historical_Sand	178
10	EveryonesUncle	151
11	YungMaki	136
12	Fullut	126
13	MattieHD	119
14	Akoot_	115
15	HellsSponge	111
15	El_Jalapeno	111
17	Xclax101	109
18	Awyrlas	102
19	6king6colt6	96
20	500am	93
21	Myszoaz	90
22	lordpipe	86
23	mwrty	83
24	Enderslayerxz3	78
25	Kubeusz2010	76
25	Sral7	76
27	yulgur1	75
28	Bumpy419	73
29	TheSecondLord	70
30	Euclidoris	69
31	oxfordschool	68
32	bloodbiter	67
32	Hisiste	67
34	beeperbeeper5	64
35	TheShyPig	62
36	thewindmillman	61
37	ApophisNova	57
37	NameGenerat0r	57
37	MyNamaSheff	57
40	EcksD	55
41	Xalithia	54
42	_Virify_	51
43	OtariCharlie	48
44	Quaintster	44
45	pintsizedrogue	42
45	Skylord_Luke	42
47	MakeHistory157	39
48	cedric72	38
49	Karbl	37
49	jnp_gaming	37
51	ImpavidArcher	34
52	pixelviolin	32
53	Nach0Bear	31
54	SellyZ	28
55	gabriels543	26
55	Shogunite	26
57	noam464	25
58	PhantomsGhost_	24
59	Jackattack53	22
59	sp00ky_ghost977	22
61	Blackberry1310	21
61	Werbe	21
61	AssEatrAndLicker	21
64	Snowflowe	20
64	LexMakesHistory	20
64	Blaiku	20
64	Kyrum2169	20
64	jcool7	20
69	Hpdinosaur	19
70	Ecplosive	18
70	Eczbek	18
72	_Karmaa	17
73	Rumpletaezer	16
73	Hyp3rion_	16
73	stahouo	16
73	Nicserso	16
77	eitanzaki	14
77	r123moore	14
77	TechnoNinja64	14
80	Di_infiri	13
81	pappaberg	12
81	k1ngGilgamesh	12
83	Ezekson	11
84	joethahobo	10
84	MangoTheFish	10
84	Soplight	10
84	Dogcorn69420	10
88	Cryptacity	9
88	SteveCraftBlocks	9
90	fred870d	8
90	claivin	8
90	SammiWolfGirl	8
93	teslawolf38	7
93	rarrq	7
93	lillips	7
93	KSI	7
93	Cocoamallows	7
98	Groovy_MoonBird	6
98	Queen_Jalapeno	6
98	DarlaMeow	6
98	Blu3beast	6
98	sebastiensaborio	6
98	MissCeleste7	6
104	thescout7	5
104	loveseeker	5
104	wezzzi	5
104	MightyWertu	5
108	AuroraValkyrie	4
108	TooManyDuck	4
108	nocturne78	4
108	Maenara	4
108	Deathkob	4
108	Steven1282598	4
108	Razzgriz	4
108	sadvavilloso	4
108	vandmanden	4
117	Merv__	3
117	_Nuf	3
117	Kkanot	3
117	PigDab	3
117	The_slideV3	3
117	OG_Songsee	3
123	Houstonion	2
123	YungJakobo	2
123	ROY4LE	2
123	Zythose	2
123	Racengan	2
123	KG1999	2
123	h2p_emrld	2
130	diamondgolem35	1
130	SpaceGrenadier	1
130	Ssor69	1
130	jushykins	1
130	WET_WET_WET	1
130	Arceus1975	1
130	RobotMinion101	1
130	Bl1tzFX	1
130	audiocracked	1
130	Inbefour	1
130	Xovalt_	1
130	Eraxa	1
130	TheOuterCore	1
130	Kateesaur	1
