rank	username	minecraft:mined/minecraft:dark_oak_fence_gate
1	Snowflowe	2136
2	Hiryu27	400
3	HellsSponge	303
4	pintsizedrogue	160
5	Historical_Sand	140
6	Winklepicker279	127
7	Smoke____	82
8	beeperbeeper5	72
9	Mahoose	67
10	joethahobo	58
10	TheShyPig	58
12	Merv__	55
13	Fullut	52
14	stahouo	41
15	500am	40
16	thewindmillman	39
17	Werbe	37
17	AssEatrAndLicker	37
19	Paintz	33
19	audiocracked	33
19	Groundler	33
22	Soplight	31
23	m_be9	29
23	EcksDofficial	29
25	MyNameIsDakar	25
26	rarrq	23
27	ImpavidArcher	20
28	SaucyDark	19
28	Di_infiri	19
28	KingMatthew506	19
28	Skippeh	19
32	eitanzaki	17
32	Spacewardharpy7	17
32	Dusk_95	17
35	Blackberry1310	16
35	Freak_Genius	16
35	anbbang	16
38	M_Patata	15
38	Onennon	15
38	chipklip	15
38	MasterNueve	15
42	_NieToksikpl_	14
42	PigDab	14
44	YungJakobo	13
44	xxPipperDipperxx	13
46	6king6colt6	12
46	GingerNeutron	12
46	brycepants	12
46	FishyBoy3811	12
46	XxCookiequeenxX	12
51	TheSecondLord	11
52	burbankbuilder28	10
52	Jiminie	10
52	Eraxa	10
52	Powowowow	10
52	Sral7	10
57	Sleek_Storm_721	9
57	intropass	9
57	OtariCharlie	9
57	Leyna3	9
57	Ezekson	9
62	kekhon	8
62	Stiar	8
62	censorsheep	8
62	Frozil12	8
62	Hisiste	8
67	I_Am_Mushkin	7
67	oxfordschool	7
67	EcksD	7
67	jnp_gaming	7
71	Kynigito	6
71	BlankityMcBlank	6
73	orxngejuice	5
73	SingedBread	5
73	bruh072	5
73	lcvezra	5
73	Legendosh	5
78	Drlzyy	4
78	EMC_	4
78	RatatJuice	4
78	heckface	4
78	noam464	4
78	Wowful	4
78	Russiancat1	4
78	Deguns123	4
78	mountaingirl311	4
87	Incinere	3
87	BobDeBouwer1337	3
87	thescout7	3
87	r123moore	3
87	Rumpletaezer	3
87	NormanFetus	3
87	DTwenty	3
87	BumbleBeever	3
87	SammiWolfGirl	3
87	Enderslayerxz3	3
97	dabloons	2
97	rachcl	2
97	Dedalus36	2
97	SquadMonster	2
97	titanlax	2
97	Frxnkz	2
97	Notta	2
97	Ravenbie	2
97	MattieHD	2
97	benediktine1	2
97	TheDankPlatypus	2
97	DebbieBrunswick	2
97	dezxalo	2
97	wezzzi	2
97	AlphaWolfPlaysMC	2
97	Shogunite	2
97	Warlord324	2
97	LordSpeed37	2
97	Ridh	2
97	CalebDHawk	2
97	cichy096	2
97	YoshikageBites	2
97	JayToe	2
120	teslawolf38	1
120	bigstankyy	1
120	NatrixxddxYT	1
120	C0by3llis	1
120	viziqs	1
120	Swexti	1
120	Ssor69	1
120	Cortexia	1
120	SwiftyPlayz__	1
120	pr33tu	1
120	minersam1	1
120	slkiey	1
120	MindyDooWho	1
120	eviltunix	1
120	SuperPooch06	1
120	Chromary	1
120	420BreadLizard	1
120	Inbefour	1
120	The_slideV3	1
120	claivin	1
120	Nycteus_	1
120	fluddd	1
120	lordpipe	1
120	pixelviolin	1
120	djancak	1
120	sebastiensaborio	1
120	LeeMcGee30	1
120	ImWhiteJesus	1
120	Kubeusz2010	1
120	TheOuterCore	1
120	TheOnlyRake	1
120	Lowjinx	1
120	TechnoNinja64	1
