rank	username	minecraft:mined/minecraft:end_stone
1	12Magner05	35296
2	mwrty	22459
3	PigDab	17482
4	Smoke____	15932
5	WET_WET_WET	8933
6	NomadicRobin_	8900
7	MilleGrug	8095
8	lordpipe	7057
9	Rumpletaezer	6113
10	gcaisawesome	5310
11	El_Jalapeno	4897
12	Blaiku	4725
13	chipklip	4259
14	TooManyDuck	3893
15	Blu3beast	3860
16	TheShyPig	3769
17	m_be9	3675
18	brofrickcheaters	3585
19	__TheNorseMan__	3448
20	claivin	3205
21	thewindmillman	3181
22	ProbablyNick	3128
23	yulgur1	2732
24	sxc_	2451
25	DarkS0L	2313
26	Xclax101	2225
27	Di_infiri	2162
28	Mewar	2160
29	Mahoose	2067
30	Myszoaz	1923
31	Ezekson	1877
32	YungMaki	1852
33	Zaridey	1840
34	TheEnderman548	1794
35	beeperbeeper5	1762
36	MinttyFressh	1675
37	Spacewardharpy7	1516
38	avalan64	1426
39	Racengan	1382
40	SuperPooch06	1315
41	masskedman	1304
42	Strangemonkey71	1272
43	set67	1247
44	Ender_Souls	1229
45	iHuntWeeaboos	1152
46	6king6colt6	1110
47	501g	1055
48	crying_wolf_13	1047
49	Eraxa	1041
50	jnp_gaming	1020
51	Blackberry1310	979
52	Freak_Genius	927
53	HellsSponge	914
54	r123moore	899
55	Kowcio_	876
56	Incinere	866
57	TheSecondLord	835
58	ImpavidArcher	830
59	eitanzaki	814
60	ROY4LE	811
61	fanofbands101	810
62	Akoot_	801
63	_Karmaa	787
64	PlasticOtari	765
65	elicobnoah	743
66	bigstankyy	701
67	rarrq	694
68	pintsizedrogue	683
69	NameGenerat0r	662
70	Hpdinosaur	660
71	AuroraSkies	659
72	500am	653
73	Segotep999	650
74	Avermu	597
75	Enderslayerxz3	587
76	TechnoNinja64	552
77	Quaintster	551
77	ItsJWolff	551
79	Razzgriz	548
80	ElectricDragon81	543
81	Bumpy419	540
82	TheTrueClipse	523
83	MissCeleste7	520
84	PhantomsGhost_	513
85	PegLegPete93	502
86	Arceus1975	493
87	RobotMinion101	480
88	Kijiki	475
89	SwooshBoi	474
90	laron58	466
91	I_Am_Mushkin	434
92	ssleepless	431
93	voiding_	417
94	ShedJr_	410
95	peach0s	404
96	TheDankPlatypus	399
97	RebelAndroid	398
98	zorin123	384
99	Historical_Sand	383
100	_Razar	363
101	eiC_	361
102	Zythose	349
103	diggydog67	347
104	Marbz_	343
105	SaucyDark	328
106	Hisiste	315
107	Iagoku	314
108	noam464	311
108	ooga47	311
110	Katthaj	302
111	Dedalus36	300
112	dabloons	289
113	Donutt	285
114	oxfordschool	276
115	lizardfightclub	273
116	sp00ky_ghost977	268
116	striker90333	268
118	Sky_light_KING	261
119	Kubeusz2010	258
120	MovingFish7	257
121	himak1	254
122	Legendosh	239
123	Gary_	234
124	ZaneABrain	230
124	Jackattack53	230
126	SellyZ	225
127	Covalents	223
128	T045RTY	221
129	_k2x	220
129	Nicserso	220
131	fkGrim	215
132	Hermanni__	213
133	DemTechAlpha	207
133	Chuglyfe	207
135	MightyWertu	206
136	SvenskaHugo	205
137	Nagasaki_Riku	203
138	ToastedGamingYT	200
139	Bobby808	193
140	MyNameIsJobo	188
141	SkateboardR6	186
142	EcksDofficial	185
143	mariominejedi	174
143	Nycteus_	174
145	livingdaydreams	173
145	lcvezra	173
147	gabriels543	169
148	Kakolbus	164
148	stahouo	164
150	JuuustYeet	163
151	Maenara	160
152	33sudo	159
153	Captain_Nasty	154
154	SamZombie	153
155	FirsTimeGamingTV	141
156	Awyrlas	140
156	AlphaWolfPlaysMC	140
158	Batman922	135
158	stellarjay	135
160	UrbanPlanner1978	134
161	jimintyy	133
162	geekbird	130
163	ediballbearings	128
164	bloodbiter	126
164	JayToe	126
166	HesDemonPants	124
167	SingedBread	122
168	Barlycorn	118
169	Onennon	114
169	Winston_Ingram	114
171	GOOBERGABE04	112
172	MustaLoordi	111
173	kekhon	109
173	Hiryu27	109
175	oreee	107
176	MattieHD	106
177	fluddd	104
178	Steelynan	102
179	ProfessorBee	97
180	Deodorante	91
180	1442	91
182	Windo_licker	90
183	MustardDrinker	89
184	AssFullaCum	88
185	audiocracked	87
186	Groovy_MoonBird	85
186	djancak	85
188	Physics_Breaker	82
189	pixelviolin	81
190	Frozil12	76
191	AuroraValkyrie	71
191	surfinggiraffejp	71
193	Lotheburgh	69
194	fw3xywashere	68
195	Xalithia	65
196	JESS_THE_RERE	63
197	SailiXX	62
198	awesomeoneme	61
198	alderban107	61
200	Hyp3rion_	60
200	fred870d	60
202	Zoeyfortnite	58
203	Ecplosive	57
203	DAD_1996	57
203	WeebleSock	57
206	Ze_BaronKrigler	55
207	groofles	54
207	PortlyPete69	54
209	thescout7	53
210	Rebytre	50
211	chimpmunker	49
212	Vizzoid	46
212	Dusk_95	46
212	_TCARREIRA_	46
215	Corbsman	45
216	Fullut	43
216	LilyNova	43
216	Inbefour	43
216	vandmanden	43
220	ayqq	42
221	ibarker21	40
222	stuy9	39
223	Comma__	38
223	platinumzero	38
223	TheWildMateo	38
226	Merv__	37
226	TheSeismicDuck	37
228	Jiminie	36
229	Prodiginus	35
230	SharpDev	34
230	Jij0	34
230	ProbsNotNova	34
233	ehunt54	32
234	HoldThatPee	31
235	tortillatitan	28
235	whoaluv	28
235	wwwwinnebagoooo	28
235	Fizznut909	28
239	Avrelion	27
239	loveseeker	27
239	Soplight	27
242	Ailmast	25
242	Euclidoris	25
244	KomputerDude	24
244	Njensen7	24
244	kinas45y5	24
247	Wowful	23
247	EveryonesUncle	23
247	Serval2000	23
250	Arteriana	22
250	MOSS000	22
250	seramalen	22
250	xof_on_microwave	22
254	stavgod	21
254	MusicMe1005	21
256	Menthas	20
256	Swexti	20
256	SammiWolfGirl	20
259	XxCookiequeenxX	19
259	Kyrum2169	19
261	__tomato	18
262	DTwenty	17
262	tartanboy	17
264	Sleek_Storm_721	16
264	Godspirit249	16
266	Lepthymo	15
266	Motsaro	15
266	_naturell	15
269	ILoveCarrot	14
270	nataliecool	13
270	Sheldor097	13
270	TheALV	13
273	Bandito_Roamer	12
273	picardred	12
273	Frxnkz	12
273	jushykins	12
273	GoigeFZ	12
273	MousePlays	12
273	jcool7	12
273	Powowowow	12
281	_Bguette_	11
282	gaziter10	10
282	redikul	10
282	Snowflowe	10
282	Russiancat1	10
282	FelixPSY375	10
287	Rich_Kat	9
287	xxPipperDipperxx	9
287	2blox	9
290	Da_Boss_Rani	8
290	gilesmcriles	8
290	jiggywraps	8
290	Inchef	8
294	Jovaphobic	7
294	The11thDoctor	7
294	Sral7	7
294	h2p_emrld	7
298	Alteriity	6
298	MangoSalad316	6
298	Skippeh	6
