rank	username	minecraft:mined/minecraft:nether_brick_fence
1	BobDeBouwer1337	1008
2	vandmanden	862
3	El_Jalapeno	855
4	thewindmillman	845
5	HellsSponge	541
6	Frozil12	506
7	TheShyPig	454
8	Skippeh	350
9	ApophisNova	319
9	MyNamaSheff	319
11	burbankbuilder28	296
12	RoboTramp7865	267
13	PigDab	259
14	Cowison	242
15	YungMaki	238
16	eitanzaki	187
17	Bumpy419	177
18	_Nuf	168
19	Vorlice	157
20	joethahobo	145
21	m_be9	131
22	Eraxa	127
23	Racengan	95
23	Spacewardharpy7	95
25	kekhon	82
26	Di_infiri	78
27	Northernrabbit	77
28	ebanana	74
29	Paint	73
29	Freak_Genius	73
31	Groundler	72
32	SellyZ	66
32	eiC_	66
34	beeperbeeper5	63
35	500am	59
36	Onennon	56
37	OfficerAnvil	51
38	livingdaydreams	48
38	crying_wolf_13	48
40	SaucyDark	47
41	Ssor69	43
42	wobn	41
43	DermeinUser	39
43	TechnoNinja64	39
45	yulgur1	38
45	djancak	38
47	ShedJr_	37
48	Snowflowe	36
48	DanTheBuilderino	36
48	anbbang	36
51	Hyp3rion_	34
52	Jovaphobic	32
52	6king6colt6	32
52	epiksk8erduck	32
52	Xclax101	32
56	loveseeker	31
57	mimbo1211	30
57	OtariCharlie	30
57	PortlyPete69	30
60	Groovy_MoonBird	28
60	MyNameIsDakar	28
62	Quincannon	27
62	lcvezra	27
64	MissCeleste7	24
65	Blackberry1310	22
65	stavgod	22
67	Bandito_Roamer	21
67	CaptainDeadBread	21
67	The11thDoctor	21
70	Akoot_	20
70	MustaLoordi	20
70	mawileite	20
70	Enderslayerxz3	20
74	Smoke____	19
75	Gundam_Steven	18
75	Mahoose	18
75	fallingemma	18
75	Arceus1975	18
75	Blu3beast	18
80	ImpavidArcher	17
80	SingedBread	17
82	dudcreeper	16
82	noam464	16
82	wezzzi	16
82	Strangemonkey71	16
82	Legendosh	16
87	MattieHD	15
87	lordpipe	15
89	MyNameIsJobo	14
90	Reamdin	13
90	gaziter10	13
90	mwrty	13
90	Zaridey	13
90	JESS_THE_RERE	13
90	MilleGrug	13
96	301851	12
96	XboxPanda	12
96	lizardfightclub	12
96	Maenara	12
96	Nicky19	12
96	AlphaWolfPlaysMC	12
96	chipklip	12
96	WyngGoy	12
104	hm947	11
104	fkGrim	11
104	jnp_gaming	11
107	Incinere	10
107	M_Patata	10
107	Drewen24	10
107	MasterNueve	10
107	MakeHistory157	10
107	Ezekson	10
113	DepressedCubic	9
113	Rasmanden	9
113	Sky_light_KING	9
113	claivin	9
113	Barlycorn	9
113	TheEnderman548	9
113	pixelviolin	9
113	BreadBacon	9
113	2blox	9
122	pintsizedrogue	8
122	T045RTY	8
122	Master_Kol	8
122	thescout7	8
122	Freeman666	8
122	SuperPooch06	8
122	AnnieBathory	8
122	_Karmaa	8
122	sebastiensaborio	8
131	Vizzoid	7
131	Winklepicker279	7
131	Kynigito	7
131	censorsheep	7
131	Soplight	7
131	RadarHz	7
131	adiccting01	7
138	ROY4LE	6
138	Rumpletaezer	6
138	PabloGonza02	6
138	EcksD	6
142	Ardennes	5
142	_Crimson_Legate	5
142	NomadicRobin_	5
142	fluddd	5
142	Fildyr	5
142	MovingFish7	5
142	Kowcio_	5
149	Base_Tempest	4
149	rarrq	4
149	egglapras	4
149	Kubelz	4
149	ImDisconnected_	4
149	pappaberg	4
149	tobinwilliams	4
149	Leyna3	4
149	SwooshBoi	4
149	__tomato	4
149	SammiWolfGirl	4
149	striker90333	4
161	TooManyDuck	3
161	TheSecondLord	3
161	Fullut	3
161	set67	3
161	fr_ser	3
161	QueenHearts	3
161	Zythose	3
161	Kouridragon	3
161	_naturell	3
161	RodSerlingCringe	3
161	Wowful	3
161	EveryonesUncle	3
161	DarlaMeow	3
161	Nycteus_	3
161	Blaiku	3
161	GlitchyPlate810	3
177	PhantomsGhost_	2
177	teslawolf38	2
177	EMC_	2
177	TheMilkerOfCats	2
177	bigstankyy	2
177	RebelAndroid	2
177	CoffeeNoir	2
177	FirsTimeGamingTV	2
177	picardred	2
177	dopplexd	2
177	CliffEmAll	2
177	ABUSNA1996	2
177	SharpDev	2
177	Covalents	2
177	CharlieButt	2
177	TheDankPlatypus	2
177	FennYuzuna	2
177	WET_WET_WET	2
177	Donutt	2
177	Werbe	2
177	fred870d	2
177	Kim_Jong_eel	2
177	ADEXTV	2
177	TheSeismicDuck	2
177	sufjanlover	2
177	AssEatrAndLicker	2
177	BumbleBeever	2
177	419mmurphy	2
177	LetsDoItLive	2
177	Winston_Ingram	2
177	JayToe	2
177	diggydog67	2
209	TheBiggestFeller	1
209	Merv__	1
209	Wolf_Mauler_73	1
209	Hpdinosaur	1
209	KomputerDude	1
209	Arteriana	1
209	MSK__	1
209	SquadMonster	1
209	Paranoidlemon	1
209	Comma__	1
209	ProfessorBee	1
209	Guillemet	1
209	BilboBaggins23	1
209	PegLegPete93	1
209	Mewar	1
209	eviltunix	1
209	IceYoung	1
209	Kakolbus	1
209	gabriels543	1
209	Queen_Jalapeno	1
209	SamZombie	1
209	Hiryu27	1
209	CruncyIsTaken	1
209	Sqwishy	1
209	sxc_	1
209	LibertyMutual	1
209	Syropatathe	1
209	DASH_X7	1
209	Typadopoulos	1
209	monky_irl	1
209	Zetsey	1
209	SSytex_X	1
209	Sral7	1
209	trexgb	1
209	h2p_emrld	1
