rank	username	minecraft:mined/minecraft:quartz_pillar
1	lordpipe	1117
2	EveryonesUncle	1094
3	Di_infiri	766
4	xolstoi	764
5	shineh10	736
6	FreakGenius	721
7	Merv__	629
8	wwwwinnebagoooo	607
9	alderban107	558
10	Rumpletaezer	510
11	beeperbeeper5	467
12	Xclax101	444
13	HellsSponge	387
14	kekhon	363
15	Lez_	359
16	The_slideV3	327
17	Eraxa	314
18	Lord_Jord	311
19	himak1	273
20	Legendosh	269
21	Mewar	251
22	Snowflowe	243
23	ImpavidArcher	234
24	Eczbek	216
25	Groundler	193
26	KarlKaek	189
27	m_be9	179
28	TheShyPig	172
29	Akoot_	169
29	YungMaki	169
31	Lutres_Torane	163
32	500am	160
33	Frozil20	157
34	Spacewardharpy7	152
35	Soplight	150
36	Optiprimus	148
37	EMC_	133
38	Barlycorn	130
39	cedric72	127
40	Fuad_R	120
41	Comma__	119
42	_Karmaa	118
43	Tyrannosplart	117
44	NomadicRobin_	115
45	Jackster03	101
45	sp00ky_ghost977	101
47	Ezekson	100
48	Cowison	98
48	MirielThePastor	98
50	Werbe	96
51	pintsizedrogue	89
51	Mr_Byzantine	89
51	AltnumberF4	89
54	Kowcio_	85
55	Hyp3rion_	83
56	Incinere	82
56	paranoid_plant	82
58	MakeHistory157	81
59	SSytex_X	79
60	noam464	77
60	SexcMf	77
62	KliBeast21	75
63	NameGenerat0r	72
64	Inbefour	69
64	jnp_gaming	69
66	PlasticOtari	64
67	Mahoose	62
68	Jackattack53	61
68	xzvu	61
70	rarrq	60
70	Marbz_	60
70	Elastiq	60
70	Nicserso	60
74	lillips	55
75	bearlystraight	54
76	soundad	51
77	bloomkieren	47
78	eitanzaki	46
78	Smoke____	46
80	Deerfoot	45
80	Skippeh	45
82	El_Jalapeno	44
83	Blaiku	42
84	F_Uhre	41
84	_Bguette_	41
84	K_a__a_n	41
87	Groovy_MoonBird	39
87	SaucyDark	39
89	EcksD	38
90	Huwulling	37
91	Wolverine4302	31
92	joethahobo	30
93	Nycteus_	29
94	RobotMinion101	28
95	pappaberg	25
96	epiksk8erduck	24
96	FishyBoy3811	24
98	Skylord_Luke	23
98	Maenara	23
100	Rocco_Lane	22
100	RoofTyler	22
102	PazinGaming	21
102	ITDV	21
102	Swexti	21
102	Zaridey	21
106	gabriels543	20
106	SammiWolfGirl	20
106	The_SlideV5	20
109	Blackberry1310	19
109	fluddd	19
111	Fullut	18
111	MovingFish7	18
113	titanlax	17
113	MattieHD	17
113	emrekn	17
113	TechnoNinja64	17
117	xxPipperDipperxx	16
117	Blu3beast	16
119	thescout7	15
120	Billious	14
120	Steelynan	14
122	Donutt	13
122	SaintJosie	13
124	TheSecondLord	12
124	r123moore	12
124	Deathkob	12
124	Enderxz3	12
128	luseis	11
128	ConnorDanky_	11
130	MyNameIsJobo	10
130	AJplaysMC_	10
130	tobinwilliams	10
133	SyntheticSurgeon	9
133	Myszoaz	9
133	Arceus1975	9
133	The11thDoctor	9
133	Moofyman	9
133	yulgur1	9
139	CoffeeNoir	8
139	ShedJr_	8
139	Crowman1	8
142	Jovaphobic	7
142	ColeSnyder	7
142	Ardennes	7
142	Avrelion	7
142	Mythic1130	7
147	NatalieTW	6
147	Sabby65	6
147	mwrty	6
147	Doom_melon	6
147	__tomato	6
147	Sral7	6
147	trexgb	6
154	_Virify_	5
154	MightyWertu	5
154	jcool7	5
154	FelixPSY375	5
158	Whiterooster001	4
158	lorpus	4
158	thewindmillman	4
158	_Boipl_	4
158	ooga47	4
158	StinkyDiplomat	4
158	MineMaster0012	4
158	ZeroKraken	4
158	88Hazza88	4
158	EngagedGrub41	4
168	Historical_Sand	3
168	pr33tu	3
168	PegLegPete93	3
168	burbankbuilder28	3
168	LexMakesHistory	3
168	SlinkyPinky	3
168	claivin	3
168	Zetsey	3
176	Bandito_Roamer	2
176	FazeObama69	2
176	_Huge_Male_	2
176	Healthing	2
176	bigstankyy	2
176	Hpdinosaur	2
176	jimintyy	2
176	shdesolt	2
176	Chickenchaser2	2
176	ProfessorBee	2
176	SteveCraftBlocks	2
176	NotTrixi	2
176	CharlieButt	2
176	Chromary	2
176	Bumpy419	2
176	ApophisNova	2
176	Kouridragon	2
176	PigDab	2
176	MousePlays	2
176	Ender_Souls	2
176	Drewen24	2
176	GooseWithin	2
176	fw3xywashere	2
176	binman420	2
176	ItzWqlfy	2
176	TheEnderMan548	2
176	gusstationwerker	2
176	Hermanni__	2
176	MyNamaSheff	2
176	bladeefan2009	2
176	00000000-0000-0000-0009-01ff0c3e5e4f	2
207	PhantomsGhost_	1
207	ssleepless	1
207	T045RTY	1
207	Natty	1
207	Paranoidlemon	1
207	Zedducius	1
207	bloodbiter	1
207	_Dean_123	1
207	fade_emerge78823	1
207	NotMeanttoChange	1
207	Septemb3r	1
207	fr_ser	1
207	Smussa	1
207	Onennon	1
207	ougstur	1
207	KeruNatsema	1
207	CuzIm2Kev	1
207	MS_Pryxx	1
207	Kura2218	1
207	Dreamdbr14	1
207	ScarmedLeft	1
207	FishisTTV	1
