rank	username	minecraft:mined/minecraft:enchanting_table
1	HellsSponge	47
2	Snowflowe	35
3	noam464	31
4	Kubeusz2010	26
5	HAruSAme14	25
6	claivin	15
7	_Karmaa	11
8	Batman922	9
8	silverpopcorn	9
10	rarrq	8
10	Ezekson	8
12	peach0s	7
12	m_be9	7
12	12Magner05	7
12	500am	7
12	thescout7	7
12	Di_infiri	7
12	ApophisNova	7
12	El_Jalapeno	7
12	censorsheep	7
12	MyNamaSheff	7
22	pintsizedrogue	6
22	roxycherry	6
22	o0z	6
22	mwrty	6
22	Kakolbus	6
22	Kynigito	6
22	Enderslayerxz3	6
29	Jovaphobic	5
29	awesomeoneme	5
29	Euclidoris	5
29	TheDankPlatypus	5
29	fr_ser	5
29	BRRRN179	5
29	07shiny	5
29	Soplight	5
29	SSytex_X	5
29	WYFYoyo	5
39	Merv__	4
39	xXTheWolfmanXx	4
39	Frxnkz	4
39	TheSecondLord	4
39	KGTV	4
39	SharpDev	4
39	ROY4LE	4
39	__TheNorseMan__	4
39	CollinMH06	4
39	Rumpletaezer	4
39	burbankbuilder28	4
39	tobinwilliams	4
39	ItsAki_	4
39	fred870d	4
39	wezzzi	4
39	wobn	4
39	fluddd	4
39	Racengan	4
39	LordSpeed37	4
58	seanitoo	3
58	KarlKaek	3
58	diamondgolem35	3
58	joethahobo	3
58	gaziter10	3
58	ccwildfire1	3
58	Kamflame10	3
58	Irko	3
58	Inchef	3
58	Kubelz	3
58	Hyp3rion_	3
58	pappaberg	3
58	MustardDrinker	3
58	Corbsman	3
58	TheWildMateo	3
58	epiksk8erduck	3
58	TheShyPig	3
58	Maenara	3
58	Akoot_	3
58	XxCookiequeenxX	3
58	Xclax101	3
58	MightyWertu	3
58	RedcatVII	3
58	Warlord324	3
58	NotMeowMix	3
58	sp00ky_ghost977	3
58	Razzgriz	3
58	IvarEXE	3
58	stellarjay	3
58	Ir0npack	3
58	Steelynan	3
58	Rainaldus	3
58	laron58	3
58	mobunni	3
58	OfficerAnvil	3
58	Wolverine4302	3
58	PlasticOtari	3
58	Yahrto	3
58	Northernrabbit	3
97	Mr_Worthless	2
97	Drlzyy	2
97	TildaAndrea	2
97	6king6colt6	2
97	MikeIsSalty	2
97	hm947	2
97	wickedword	2
97	eitanzaki	2
97	Natty	2
97	Jackster03	2
97	Mahoose	2
97	ShedJr_	2
97	dopplexd	2
97	Upstro10	2
97	Malorn_Aetherius	2
97	ratglock	2
97	Comma__	2
97	jacxhadow	2
97	Ardennes	2
97	MattieHD	2
97	Xalithia	2
97	Diavri	2
97	SpicyMeatballs	2
97	XboxPanda	2
97	Zaridey	2
97	ReverendSmith	2
97	yaboo88	2
97	MangoTheFish	2
97	Skylord_Luke	2
97	CaptainDeadBread	2
97	selectrix	2
97	ClemenPine	2
97	Rasmanden	2
97	RodSerlingCringe	2
97	ogoa	2
97	masskedman	2
97	Lord_Zacler	2
97	chipklip	2
97	Blu3beast	2
97	Bloo2406	2
97	Blaiku	2
97	Hisiste	2
97	bruh072	2
97	Omar_Alone	2
97	PabloGonza02	2
97	voiding_	2
97	Kowcio_	2
97	AssFullaCum	2
97	ediballbearings	2
97	tsitrawhy	2
97	lcvezra	2
97	SpicyDuckMan	2
97	Eczbek	2
97	Skippeh	2
97	Miko_Fullbuster	2
97	oxfordschool	2
97	EcksD	2
97	Quotary	2
97	cichy096	2
97	Legendosh	2
97	EcksDofficial	2
97	coobert42	2
97	remmisrat	2
97	00000000-0000-0000-0009-01ff0c3e5e4f	2
97	00000000-0000-0000-0009-01f898304150	2
162	Gary_	1
162	Bandito_Roamer	1
162	Paint	1
162	soundad	1
162	BigBootyHudge	1
162	q_wq	1
162	Frozil20	1
162	bigstankyy	1
162	ExtraDumb	1
162	ssleepless	1
162	SaucyDark	1
162	Tolhart	1
162	Hpdinosaur	1
162	KiRemon77	1
162	Ryker	1
162	CoffeeNoir	1
162	Reamdin	1
162	Prismyst	1
162	MOSS000	1
162	MSK__	1
162	301851	1
162	IWorkAtIkea	1
162	Da_Boss_Rani	1
162	beeperbeeper5	1
162	Ssor69	1
162	TheFlfthHorseman	1
162	Stynxy	1
162	Ozixar	1
162	TinMaster	1
162	SDMNAEK	1
162	shdesolt	1
162	ThePoliteG	1
162	kekhon	1
162	Aatronix1	1
162	Austine6698	1
162	wiqor	1
162	Fullut	1
162	Tmb1	1
162	crying_wolf_13	1
162	GLLogan2	1
162	Gingayy	1
162	orxngejuice	1
162	Mewar	1
162	intropass	1
162	LeauVox4921	1
162	Patwannabegamer	1
162	xxPipperDipperxx	1
162	KingEgg1	1
162	platinumzero	1
162	CharlieButt	1
162	drunkeeez	1
162	ZeroAbyssTTV	1
162	RustyKedel	1
162	fallingemma	1
162	toj__	1
162	Avermu	1
162	__Fanda__	1
162	SuperStreetCat	1
162	MyNameIsJobo	1
162	Jackattack53	1
162	killmeiamtraitor	1
162	AnnieBathory	1
162	CrateOfBoxes	1
162	WarMachina	1
162	domagawha	1
162	kars0n	1
162	SokaOtaku	1
162	Donutt	1
162	grislgrobl	1
162	Voxin2K	1
162	Werbe	1
162	Kouridragon	1
162	Shiirazuku	1
162	Mattesco	1
162	HAPPYfaceO1	1
162	jewbacaman	1
162	TeenMomTom	1
162	ToastedGamingYT	1
162	LilLizardWizard	1
162	Sky_light_KING	1
162	420BreadLizard	1
162	Katsuragi0243218	1
162	Gryglu583	1
162	NoChumpChange	1
162	Jiminbub	1
162	Russiancat1	1
162	sufjanlover	1
162	Toiton	1
162	proxivitoid	1
162	MyNameIsDakar	1
162	Quincannon	1
162	DanTheBuilderino	1
162	FlashMigma	1
162	Groundler	1
162	Th6masss	1
162	DarkLawD	1
162	Matorz	1
162	Airem_Core	1
162	SUN_DREAM	1
162	ElKaySVK	1
162	Dusk_95	1
162	CheifJumbo	1
162	ItsDeltaMC	1
162	33sudo	1
162	stavgod	1
162	Decaying_Lotus	1
162	Shin69	1
162	SvenskaHugo	1
162	Zetsey	1
162	ReyTheLegend	1
162	underscore_2	1
162	Goldiethebear03	1
162	BlankityMcBlank	1
162	SammiWolfGirl	1
162	Nekomin0	1
162	ARCTICxLORD	1
162	PlzNoBM	1
162	Glumb0	1
162	TheNobleOstrich	1
162	gaming4Naming	1
162	Dreamdbr14	1
162	mawileite	1
162	Njensen7	1
162	_3Stump_	1
162	Hermanni__	1
162	tartanboy	1
162	Nicserso	1
162	FelixPSY375	1
162	little_dUki	1
162	UrbanPlanner1978	1
162	TechnoNinja64	1
162	kinas45y5	1
162	Earlesstrain4	1
162	Smoke____	1
162	Faart	1
162	00000000-0000-0000-0009-01fbab7ea71d	1
