rank	username	minecraft:mined/minecraft:magenta_glazed_terracotta
1	EMC_	331
2	joethahobo	271
3	_Virify_	65
4	beeperbeeper5	60
5	Merv__	51
6	lordpipe	38
7	Smoke____	28
8	_Boipl_	23
9	YungMaki	19
10	SingedBread	15
11	fluddd	13
12	Fuad_R	8
12	Ezekson	8
14	ImpavidArcher	7
15	Spenduh	5
16	Arceus1975	4
16	StinkyDiplomat	4
16	mobunni	4
19	Di_infiri	3
19	Inbefour	3
21	xxPipperDipperxx	2
21	Onennon	2
21	Spacewardharpy7	2
24	Bandito_Roamer	1
24	eitanzaki	1
24	Mahoose	1
24	Fullut	1
24	thescout7	1
24	noam464	1
24	TheShyPig	1
24	Blaiku	1
24	ItzWqlfy	1
24	pixelviolin	1
