rank	username	minecraft:mined/minecraft:potted_poppy
1	kekhon	22
2	Blackberry1310	9
3	Akoot_	8
4	Cambo5000	7
5	WyngGoy	6
6	fallingemma	5
6	Zythose	5
6	TheShyPig	5
6	PlasticOtari	5
10	tramizu	4
10	dopplexd	4
12	squigglybones	3
12	KarlKaek	3
12	RatatJuice	3
12	NomadicRobin_	3
12	ChocolatePepsi	3
12	Xclax101	3
12	_3Stump_	3
12	cichy096	3
20	Groovy_MoonBird	2
20	Merv__	2
20	Tommhh	2
20	Sleek_Storm_721	2
20	eitanzaki	2
20	Mahoose	2
20	Chromary	2
20	TruGuire	2
20	xorompole	2
20	adiccting01	2
20	EcksDofficial	2
31	pintsizedrogue	1
31	Cowison	1
31	AuroraValkyrie	1
31	6king6colt6	1
31	SaucyDark	1
31	youhjjhhhjj	1
31	Swexti	1
31	beeperbeeper5	1
31	elmer1234	1
31	titanlax	1
31	Cryptacity	1
31	Cortexia	1
31	500am	1
31	Fullut	1
31	Smashic	1
31	mwrty	1
31	thescout7	1
31	egglapras	1
31	Inchef	1
31	Kubelz	1
31	TableTim	1
31	Ecplosive	1
31	Marbz_	1
31	SuperPooch06	1
31	Rumpletaezer	1
31	burbankbuilder28	1
31	Hiryu27	1
31	The11thDoctor	1
31	_Cloverbelle_	1
31	CarryLine	1
31	mehen_hokker	1
31	dezxalo	1
31	RodSerlingCringe	1
31	EveryonesUncle	1
31	MyNameIsDakar	1
31	HellsSponge	1
31	MAns_44	1
31	Freak_Genius	1
31	Blu3beast	1
31	MovingFish7	1
31	Dusk_95	1
31	NebulousBadger	1
31	Eraxa	1
31	YungMaki	1
31	UCP_TheKingK	1
31	tsitrawhy	1
31	lcvezra	1
31	jcool7	1
31	ImWhiteJesus	1
31	Ezekson	1
31	Legendosh	1
31	Oxygen16	1
31	TechnoNinja64	1
31	kinas45y5	1
