rank	username	minecraft:mined/minecraft:prismarine_brick_slab
1	HellsSponge	3891
2	beeperbeeper5	1778
3	Ezekson	1359
4	EngagedGrub41	410
5	SammiWolfGirl	325
6	NatalieTW	252
7	lizardfightclub	224
8	noam464	209
9	diggydog67	187
10	Kakolbus	181
11	Frozil20	178
12	AdmiralSmoke	177
13	TheShyPig	172
14	ImpavidArcher	163
15	Hyp3rion_	146
16	Eraxa	144
17	MilleGrug	131
18	diamondgolem35	127
19	Spacewardharpy7	115
20	pintsizedrogue	113
21	PigDab	109
22	Merv__	95
23	Maenara	93
24	Jackattack53	82
24	Steelynan	82
26	joethahobo	81
27	Paintz	76
28	LittleBug562	70
29	Mr_Byzantine	68
30	500am	59
31	eitanzaki	56
31	YungMaki	56
33	Enderxz3	53
34	ConnorDanky_	47
35	Barlycorn	44
35	EcksD	44
37	Groundler	40
38	Kowcio_	38
38	Legendosh	38
40	Comma__	37
41	Hiryu27	28
42	Mahoose	26
43	xDraggin	25
44	Skippeh	23
45	obzii	22
46	Arceus1975	19
47	m_be9	17
47	Zaridey	17
49	PortlyPete69	16
50	Chromary	14
51	gcaisawesome	13
51	Bumpy419	13
51	xzvu	13
51	jcool7	13
55	Mattesco	12
56	Vorlice	11
57	ITDV	10
58	luseis	9
58	tsitrawhy	9
60	SmashingPump	7
60	CoffeeNoir	7
60	himak1	7
63	Fullut	6
63	thescout7	6
65	TheSecondLord	5
65	kekhon	5
65	MightyWertu	5
65	PlasticOtari	5
69	rarrq	4
69	Blu3beast	4
69	Blaiku	4
69	CattSoup	4
73	Groovy_MoonBird	3
73	ShedJr_	3
73	M_Patata	3
73	TheWildMateo	3
73	The_slideV3	3
73	Racengan	3
73	MasterNueve	3
73	stavgod	3
73	Soplight	3
73	ZoomieZoomie	3
73	Powowowow	3
84	Apollo_993	2
84	gren_ben	2
84	Hpdinosaur	2
84	Werbe	2
84	Nycteus_	2
84	ZoharGoldMine	2
90	KarlKaek	1
90	CliffEmAll	1
90	thewindmillman	1
90	ApophisNova	1
90	dartwaffle	1
90	LexMakesHistory	1
90	SingedBread	1
90	__Auspicious	1
90	lcvezra	1
90	MyNamaSheff	1
90	Nicserso	1
90	TechnoNinja64	1
90	The_SlideV5	1
90	xolstoi	1
