rank	username	minecraft:mined/minecraft:brown_bed
1	obzii	40
2	Chromary	26
3	Onennon	18
4	noam464	16
4	Shogunite	16
6	eitanzaki	12
6	MirielThePastor	12
8	EcksD	11
9	groofles	9
10	Ryan_GEMS	7
11	Mahoose	6
11	Hyp3rion_	6
11	Kynigito	6
11	fffMike	6
15	LeGold	5
16	Soul_Atreus	4
17	kekhon	3
17	MineMaster0012	3
17	Spenduh	3
20	pintsizedrogue	2
20	teslawolf38	2
20	beeperbeeper5	2
20	MyNameIsJobo	2
20	Werbe	2
25	peachfuzz1267	1
25	Badenbeele	1
25	Lez_	1
25	jessewegottacook	1
25	Cryptacity	1
25	TheSecondLord	1
25	500am	1
25	TableTim	1
25	prizm_	1
25	burbankbuilder28	1
25	Hiimdeath	1
25	Leyna3	1
25	560cool	1
25	Hisiste	1
25	Ma_name_alex	1
25	UCP_TheKingK	1
