rank	username	minecraft:mined/minecraft:raw_copper_block
1	Yamdalorian	51
2	pintsizedrogue	45
3	dartwaffle	37
4	corvidpartyfor6	35
5	thewindmillman	26
6	Enderxz3	21
7	j5ylim	15
8	Legendosh	14
9	Mr_Byzantine	10
9	EMC_	10
9	Soplight	10
12	12Magner05	8
12	500am	8
12	Ezekson	8
15	Heisenbberrg	7
16	Miroryk	6
17	Mahoose	5
17	Hyp3rion_	5
19	JitteryJared2	3
20	ECstardust	2
20	q_wq	2
20	crashomon	2
20	Marbz_	2
20	Malware_Mara	2
20	Krowuss	2
20	Samificator	2
20	AuroraSkies	2
20	Manaateee	2
20	Toriankel	2
20	YungMaki	2
20	underscore_2	2
20	Eczbek	2
20	PlasticOtari	2
34	k_ce	1
34	Apollo_993	1
34	Saltymart	1
34	_Razaria	1
34	joethahobo	1
34	QuiCreans	1
34	Touched_Bread	1
34	Gzrdy	1
34	hanaryheatwave	1
34	Silvo614	1
34	AlexxO_o	1
34	GooseWithin	1
34	EmrotoL	1
34	EcksD	1
34	Jimb0nat0r	1
34	00000000-0000-0000-0009-01ff0c3e5e4f	1
