rank	username	minecraft:mined/minecraft:sign
1	grislgrobl	12
2	SlowMoNinja1994	10
3	LilLizardWizard	6
4	GingerNeutron	4
5	OfficerAnvil	3
6	2xil2	1
6	byFlixxx	1
6	DAD_1996	1
6	Blackerstons	1
6	atz513v2	1
6	Russiancat1	1
6	ihomango	1
6	NeoJordache	1
6	Guestify	1
6	OnlyOfficial	1
6	5712	1
