rank	username	minecraft:mined/minecraft:deepslate_redstone_ore
1	Hyp3rion_	6098
2	500am	3887
3	fade_emerge78823	2644
4	pintsizedrogue	2505
5	corvidpartyfor6	1462
6	EMC_	1397
7	xPixelRainx	897
8	Njensen7	895
9	LeauVox4921	839
10	Segotep999	773
11	Jiminie	594
12	Marbz_	585
13	groofles	583
14	RebelAndroid	547
15	Smashic	466
16	thewindmillman	437
17	Touched_Bread	398
18	Smoke____	389
19	Enderslayerxz3	367
20	SvenskaHugo	365
21	RoskobiOne	361
22	gcaisawesome	359
23	SingedBread	346
24	Jimi7hits	334
25	PlasticOtari	325
26	Sharkbyte0	306
27	beeperbeeper5	300
28	Kakolbus	292
29	masskedman	278
30	JitteryJared2	276
31	MAns_44	271
32	fw3xywashere	242
33	Mahoose	232
34	tsitrawhy	229
35	00000000-0000-0000-0009-01f898304150	227
36	Sleepy_Time_	212
37	tuckerdoodle	210
38	crying_wolf_13	195
39	MinttyFressh	193
40	Ryker	192
41	ZaneABrain	188
42	Soplight	185
43	Huwulling	179
44	Lord_Doob	172
45	infiniteQuery	170
45	mobunni	170
47	Alteriity	169
47	Prismyst	169
49	Lutres_Torane	156
50	prizm_	150
51	SvenskaAlvar	141
52	MSK__	139
53	nut_e	137
54	coobert42	129
55	Khelvoryk	128
56	mrnosetackle	127
57	Crowman1	125
57	AuroraSkies	125
59	Kubelz	124
60	dartwaffle	122
61	Miko_Fullbuster	118
62	ToastedGamingYT	111
63	Da_Boss_Rani	108
64	AlexxO_o	105
64	BungalowBeet	105
66	Fuad_R	100
67	Ev0luti0nz	99
67	Megarboh	99
69	Moofyman	94
70	PhantomBionic	93
70	Solar_Power	93
72	AltnumberF4	91
73	wwwwinnebagoooo	89
73	Steelynan	89
75	pixelviolin	86
76	The_Fulgurator	85
77	TAKrules	80
78	Flores991	78
79	Sheldor097	75
80	KGTV	74
81	Legendosh	73
82	Weepingbiel	71
83	dimondking777	69
84	TheWildMateo	65
85	rarrq	64
85	TheDankPlatypus	64
87	TJawesome09	63
88	Toriankel	62
89	Masssonnn	61
89	kyouma777	61
89	Spenduh	61
92	YungMaki	60
93	Enigma0251	57
94	SuperPooch06	55
95	Timfinity4	53
96	Lez_	50
96	IdeallyGrey	50
98	Steven1282598	47
99	EtherealSilveon	44
99	Kowcio_	44
99	Hermanni__	44
99	EcksD	44
103	joethahobo	42
104	Myszoaz	41
104	Freak_Genius	41
106	chrolus	39
107	smarticuno	38
107	Th6masss	38
109	ItsDeltaMC	37
110	FlirtingWithBoys	35
110	12Magner05	35
110	StinkyDiplomat	35
113	ImpavidArcher	32
113	ccwildfire1	32
113	noam464	32
113	_Karmaa	32
113	Vegvisir	32
113	GlitchyPlate810	32
113	TheALV	32
120	tlal002	30
120	Mookle96	30
120	MyNameIsDakar	30
120	shrimp_flips	30
124	RoBe__	29
125	Chickenchaser2	28
125	HoltGrim	28
125	Jackattack53	28
125	Rebytre	28
125	Wowful	28
130	LeGold	27
131	KingEgg1	26
131	Winklepicker279	26
131	Skylord_Luke	26
131	underscore_2	26
135	Jeteight	25
135	Aryamanee	25
137	_stets	24
137	shineh10	24
137	Toasty_Tom	24
137	MilleGrug	24
141	MrKrabOnCoke	23
141	BronkerBrum	23
141	Mattesco	23
141	NATE_the_HALO	23
145	diamondgolem35	22
145	hcb238	22
145	Vicemaniac	22
148	Lord_Zacler	21
149	iHuntWeeaboos	20
150	Mr_Byzantine	19
150	breadbowlgamer	19
152	hm947	18
152	TerraVl	18
152	ApophisNova	18
152	MyNamaSheff	18
152	obtusely	18
157	EtherealEspresso	17
158	LitoDelvito	16
158	noful	16
158	Hail_the_wombat	16
158	fluddd	16
162	ChampPog_	15
162	Ithaca_GC	15
162	EveryonesUncle	15
162	Methalox1	15
162	ATurtle4936	15
162	EricAurum	15
168	Lumien_	14
168	Inchef	14
168	Deathkob	14
171	T045RTY	13
171	Koffeeinz	13
171	CyrusIsTired	13
171	UCP_TheKingK	13
175	Xalithia	12
175	Veillax135	12
175	alderban107	12
175	Xi_J1nping	12
175	BiggieDawg	12
180	Drlzyy	11
180	NieToksikpl	11
180	floodjon	11
180	Zackran	11
180	Ghemmah	11
180	microcrisp	11
180	jcool7	11
187	q_wq	10
187	ShedJr_	10
187	_HoneySlime_	10
187	BINKENSTOCK	10
187	ConJaBz	10
187	verynothing	10
187	2blox	10
194	CoffeeNoir	9
194	BenPenguin	9
194	TheOuterCore	9
197	dimitri0s	8
197	cwartzo	8
197	Dan_Scha	8
197	Human_Resource	8
197	critNoxx	8
197	Umbreon900	8
197	00000000-0000-0000-0009-01fbab7ea71d	8
204	nataliecool	7
204	egglapras	7
204	iElijah	7
204	calamariclam_I	7
208	strongman951753	6
208	SquadMonster	6
208	kekhon	6
208	Awyrlas	6
208	_Boipl_	6
208	PigDab	6
208	Jonte0599	6
208	HolyVenom	6
208	MinuteMira	6
208	HellsSponge	6
208	Sepulcro	6
208	SpacesickPrism	6
208	athereall	6
208	WYFYoyo	6
222	TheSecondLord	5
222	91stCataclysm	5
222	lizardfightclub	5
222	lillips	5
222	lordpipe	5
222	Ze_BaronKrigler	5
222	Ossem	5
229	itburb	4
229	Valoth	4
229	Joestra	4
229	ChronoSounds	4
229	Ezekson	4
229	_Dri_	4
235	SBean737	3
235	benediktine1	3
235	KeruNatsema	3
235	DolphinLaugh	3
239	Merv__	2
239	neurotic_a	2
239	Begformurrcy	2
239	VG_RDF	2
239	eitanzaki	2
239	KaptainKornhole	2
239	ROY4LE	2
239	Glowhetic	2
239	DubDoesGams	2
239	NameGenerat0r	2
239	Yahir091	2
239	sp00ky_ghost977	2
239	Meeerkat	2
252	rachcl	1
252	_themselves	1
252	Alfred603	1
252	xxPipperDipperxx	1
252	Rocco_Lane	1
252	Lord_Jord	1
252	Nycteus_	1
252	Racengan	1
252	Spacewardharpy7	1
252	TheEnderman548	1
252	Kekoo	1
252	00000000-0000-0000-0009-01ff0c3e5e4f	1
