rank	username	minecraft:mined/minecraft:twisting_vines_plant
1	thewindmillman	149
2	Spacewardharpy7	145
3	Smoke____	130
4	Arceus1975	84
5	Enderslayerxz3	82
6	DarlaMeow	78
7	Fullut	75
8	BlancoFlaco	72
9	Winklepicker279	69
10	Luigipunch989	67
11	Kubelz	66
12	EveryonesUncle	55
13	pintsizedrogue	47
14	Mahoose	42
14	Blackberry1310	42
16	YungMaki	39
17	TheSecondLord	37
17	Awyrlas	37
17	ZeroKraken	37
20	masskedman	35
20	SammiWolfGirl	35
22	Decaying_Lotus	31
23	mwrty	30
23	lizardfightclub	30
25	CarltheCuck	29
25	TheEnderman548	29
27	joethahobo	27
28	T045RTY	25
29	Paint	23
29	12Magner05	23
29	noam464	23
32	CliffEmAll	20
32	sebastiensaborio	20
34	djancak	18
35	Dusk_95	17
35	Kowcio_	17
37	Hermanni__	15
38	2blox	14
39	_NieToksikpl_	13
39	Marbz_	13
39	MyNameIsDakar	13
39	Ezekson	13
39	diggydog67	13
44	MrExplorer	12
44	500am	12
46	CoffeeNoir	11
46	HellsSponge	11
46	monky_irl	11
49	rarrq	10
50	titanlax	9
50	Kakolbus	9
50	Chromary	9
50	Freak_Genius	9
50	Soplight	9
55	kekhon	7
55	Di_infiri	7
55	Kubeusz2010	7
58	beeperbeeper5	6
58	Enigma0251	6
58	pumpfonzo	6
58	TheShyPig	6
58	lordpipe	6
63	Cowison	5
63	eitanzaki	5
63	SuperPooch06	5
63	trexgb	5
67	TheDankPlatypus	4
68	_Virify_	3
68	fanofbands101	3
68	Tommhh	3
68	KarlKaek	3
68	NomadicRobin_	3
68	DemTechAlpha	3
68	Vorlice	3
68	07shiny	3
76	teslawolf38	2
76	Nesquiczek	2
76	Rasplinn	2
76	PhantomBionic	2
76	ShedJr_	2
76	MSK__	2
76	Xalithia	2
76	__TheNorseMan__	2
76	gcaisawesome	2
76	whoaluv	2
76	cwartzo	2
76	BasedEphex	2
76	ooga47	2
76	sp00ky_ghost977	2
76	MineMaster0012	2
76	MilleGrug	2
76	PlasticOtari	2
93	Flegneh	1
93	bigstankyy	1
93	JingleLizi	1
93	Hpdinosaur	1
93	_Razar	1
93	livingdaydreams	1
93	MrAdamant209	1
93	Historical_Sand	1
93	bloodbiter	1
93	YungJakobo	1
93	Ardennes	1
93	r123moore	1
93	gabriels543	1
93	Hyp3rion_	1
93	Snowflowe	1
93	burbankbuilder28	1
93	bee_gorl	1
93	PigDab	1
93	LexMakesHistory	1
93	Blaiku	1
93	Eraxa	1
93	PortlyPete69	1
93	_Yonk_	1
93	Winston_Ingram	1
93	anbbang	1
93	TechnoNinja64	1
