rank	username	minecraft:mined/minecraft:waxed_weathered_copper_bulb
1	Buuck_	10
1	Spaghettatron	10
3	Secret_Canary	6
4	CLG_Kata	3
4	thewindmillman	3
6	MattieHD	2
6	oscminus	2
6	pixelviolin	2
9	MyMawgDonaldsGon	1
9	net_flex	1
9	TheKingK_	1
9	Eczbek	1
