rank	username	minecraft:mined/minecraft:wall_torch
284	Hoid_the_Roamer	124
284	Jiminbub	124
286	Prodiginus	123
286	Fildyr	123
286	Rainaldus	123
286	Zoeyfortnite	123
290	_stets	122
290	SvenskaHugo	122
292	theonlymagikarp	121
292	MelodyGaysharks	121
294	MunkaKris	120
294	AuroraValkyrie	120
294	Purplehere	120
294	mariominejedi	120
294	DanielMmm	120
294	masskedman	120
300	RedcatVII	119
