rank	username	minecraft:mined/minecraft:stripped_oak_log
1	_Virify_	3212
2	eitanzaki	2162
3	Mahoose	1475
4	EMC_	1325
5	EveryonesUncle	1112
6	Steelynan	798
7	HellsSponge	760
8	Di_infiri	723
9	m_be9	688
10	PlasticOtari	657
11	pintsizedrogue	558
12	UCP_TheKingK	545
13	Lutres_	540
14	Kowcio_	476
15	Werbe	470
16	Zythose	436
17	TheShyPig	432
18	500am	410
19	luseis	402
20	burbankbuilder28	376
21	H0UNDFRMH3LL	337
22	theonlymagikarp	329
23	Blackberry1310	322
24	Sleepy_Time_	308
25	weabis	300
26	fkGrim	295
27	AdmiralSmoke	259
28	rarrq	257
29	Manaateee	250
30	Nicserso	245
31	ItsMrRamen	224
32	eiC_	223
33	emrekn	219
34	_Dean_123	211
35	Smashic	197
36	ratglock	192
37	Quotary	191
38	titanlax	190
39	thescout7	185
40	Segotep999	182
41	Mr_Byzantine	179
42	Whiterooster001	178
43	OffWithTheirHead	177
44	fffMike	176
45	Onennon	170
46	MightyWertu	165
47	Merv__	164
48	kekhon	160
49	CoffeeNoir	150
50	Krowuss	146
51	beeperbeeper5	142
52	Legendosh	141
53	wobn	140
53	AltnumberF4	140
55	PazinGaming	136
56	fw3xy74	128
57	ShedJr_	117
58	cheerytomato	115
59	Dakar_	113
59	MovingFish7	113
61	DarkS0L	112
62	Cryptacity	109
63	MattieHD	104
64	Ozixar	102
65	El_Jalapeno	99
65	anbbang	99
67	Leyna3	93
68	FreakGenius	92
69	CattSoup	90
70	TheSecondLord	89
71	Slapface522	88
72	noam464	87
73	ImpavidArcher	83
74	Snowflowe	82
75	Sleek_Storm_721	81
75	Burge_r	81
77	EcksD	80
78	Jakobo1337	79
79	set67	78
80	M_Patata	74
81	Racengan	73
81	07shiny	73
83	TheMaster972	70
83	prizm_	70
85	jnp_gaming	69
86	bluefragmentt	68
87	Huwulling	67
88	TheWildMateo	66
89	Skylord_Luke	61
90	CarltheCuck	60
91	Fullut	58
92	IamCL4SSY	57
92	Inbefour	57
92	SpacesickPrism	57
95	Felenov	56
96	excelsionprime	54
97	Deathkob	53
98	G1ldor	52
98	Rebytre	52
98	Meatlaugh	52
101	_Huge_Male_	49
101	shineh10	49
103	r123moore	48
103	CalebDHawk	48
105	bloodbiter	47
105	Ravenbie	47
105	EfficientC52	47
108	Enderxz3	46
109	joethahobo	44
109	Malorn_Aetherius	44
111	_Bguette_	43
111	Soplight	43
113	Alteriity	41
113	ApophisNova	41
113	OfficerAnvil	41
113	MyNamaSheff	41
117	KowcioJr	40
117	blimpeey	40
119	Truckoss	39
120	Spenduh	37
121	Gryglu583	36
122	SquadMonster	35
122	PigDab	35
124	Fildyr	34
124	Spacewardharpy7	34
124	ConnorDanky_	34
127	JitteryJared2	33
127	DanTheBuilderino	33
127	00000000-0000-0000-0009-01ff0c3e5e4f	33
130	himak1	32
130	PegLegPete93	32
130	ehunt54	32
130	smogfrog	32
134	Awyrlas	31
135	Azmodan_246	30
136	SammiWolfGirl	29
137	MineMaster0012	28
137	xolstoi	28
139	KarlKaek	27
139	TheThomas69	27
139	mihimihimihi	27
139	Luigipunch989	27
139	KingMatthew506	27
144	Myrosia	26
145	Mattesco	25
145	ougstur	25
145	tyraxxx	25
145	Katsuragi0243218	25
145	Freedrik	25
150	MyNameIsJobo	24
150	Rumpletaezer	24
150	ogoa	24
153	Travasaur	23
153	T045RTY	23
153	AlexxO_o	23
153	iSammael	23
157	Historical_Sand	21
157	whoaluv	21
157	lcvezra	21
157	00000000-0000-0000-0009-01fc3bb26159	21
161	Icyyyyy	20
161	Solar_Power	20
161	Blu3beast	20
161	Dogcorn69420	20
165	Groovy_MoonBird	19
165	NatalieTW	19
165	nattybears	19
165	Jackattack53	19
165	stellarjay	19
170	Cowison	18
170	Soap_Bender	18
170	NameGenerat0r	18
173	BlancoFlaco	17
173	ImDisconnected_	17
173	Avocadogerms	17
173	Jimb0nat0r	17
177	AuroraValkyrie	16
177	diamondgolem35	16
177	Upstro10	16
177	gcaisawesome	16
177	HeraclesOGU	16
177	Dan_Scha	16
177	Akoot_	16
177	lordpipe	16
177	Eczbek	16
177	TechnoNinja64	16
187	Xalithia	15
187	CarryLine	15
187	SvenskaHugo	15
190	mwrty	14
190	Winklepicker279	14
190	Skippeh	14
193	Bandito_Roamer	13
193	SteveCraftBlocks	13
193	FishisTTV	13
196	Megarboh	12
196	Warlord324	12
196	yatsuta	12
199	marguang	11
199	6king6colt6	11
199	Btabtab	11
199	zToasty69z	11
199	Tyrannosplart	11
199	Nycteus_	11
199	Xclax101	11
199	Winston_Ingram	11
207	jessewegottacook	10
207	Secret_Canary	10
207	LeauVox4921	10
207	SingedBread	10
207	BlankityMcBlank	10
207	SSytex_X	10
213	Pineapplesugr	9
213	okCrypto	9
213	GooseWithin	9
213	Lord_Jord	9
213	Lord_Zacler	9
213	jaimshae	9
219	ssleepless	8
219	Ssor69	8
219	CharlieButt	8
219	HAIRYCLOUD626	8
219	Darkgon	8
219	_Karmaa	8
219	AvaRosey	8
219	Eraxa	8
219	Smaldo	8
219	diggydog67	8
229	ccwildfire1	7
229	StanceTB	7
229	hcb238	7
229	XboxPanda	7
229	TableTim	7
229	CollinMH06	7
229	Jonafrog99	7
229	LetsDoItLive	7
229	non089	7
238	chipklip	6
238	Frozil20	6
238	Myszoaz	6
238	Jokerman369	6
238	Masssonnn	6
238	ROY4LE	6
238	Stiar	6
238	Arceus1975	6
238	Cavetorch	6
238	ItsDeltaMC	6
238	Pickel_Lord	6
238	Oxygen16	6
250	awsomedude5	5
250	livingdaydreams	5
250	TinMaster	5
250	ThePoliteG	5
250	slkiey	5
250	LILI_G_F_2007	5
250	kars0n	5
250	Kouridragon	5
250	The_Cruncy	5
250	F_Uhre	5
250	Kynigito	5
250	zeki123	5
250	sp00ky_ghost977	5
250	Kura2218	5
250	YungMaki	5
250	Kijiki	5
250	Ezekson	5
250	Powowowow	5
268	PhantomsGhost_	4
268	Mowelan	4
268	fanofbands101	4
268	Creativebuilder2	4
268	ColeSnyder	4
268	_Razaria	4
268	RebelAndroid	4
268	Batman922	4
268	Sebaschan__	4
268	Lez_	4
268	301851	4
268	ccormacs	4
268	Mercadies	4
268	GLLogan2	4
268	Dali1465	4
268	SPUDonSTEROIDS	4
268	drunkeeez	4
268	Kakolbus	4
268	toj__	4
268	ibarker21	4
268	DanielMmm	4
268	thgrocks	4
268	Luminad3	4
268	Thomez_	4
268	MAns_44	4
268	cog	4
268	Optiprimus	4
268	PabloGonza02	4
268	tsitrawhy	4
268	Celeste_121	4
268	al626win52	4
268	ZoomieZoomie	4
268	Aryamanee	4
