rank	username	minecraft:mined/minecraft:chiseled_quartz_block
1	Lutres_	682
2	wwwwinnebagoooo	584
3	Hyp3rion_	507
4	Di_infiri	484
5	fade_emerge78823	302
6	lordpipe	284
7	The_slideV3	223
8	Blackberry1310	185
9	Xclax101	176
10	beeperbeeper5	132
11	Lez_	120
12	FreakGenius	116
13	Legendosh	99
14	ActualPatbaf	95
15	Akoot_	91
16	Blaiku	81
17	Merv__	74
17	Mewar	74
19	ApophisNova	71
19	MyNamaSheff	71
21	MilleGrug	70
21	TheSandwhich_	70
23	skitzxo	65
24	ImpavidArcher	61
25	Eraxa	59
26	j5ylim	55
26	kekhon	55
28	Kowcio_	53
29	MattieHD	52
29	Lord_Jord	52
31	m_be9	48
32	himak1	41
33	Soplight	40
34	NameGenerat0r	39
35	Mahoose	38
36	Incinere	34
37	Comma__	31
37	Inbefour	31
39	noam464	29
40	U_Mos_	28
41	TheShyPig	27
42	xxPipperDipperxx	25
43	Krowuss	24
44	Jovaphobic	23
44	KarlKaek	23
46	Napoleonpancake	22
46	eitanzaki	22
46	HellsSponge	22
46	Optiprimus	22
46	The_SlideV5	22
51	SaucyDark	20
51	Marbz_	20
51	Jackattack53	20
51	Ezekson	20
55	MovingFish7	19
56	Werbe	16
56	luseis	16
56	MakeHistory157	16
59	_Huge_Male_	15
59	FishyBoy3811	15
61	Racengan	14
62	Rumpletaezer	13
63	Moofyman	12
63	PaperCanvas	12
63	elliebelle107	12
66	Frozil20	11
66	Barlycorn	11
68	hanaryheatwave	10
68	Maenara	10
70	StinkyDiplomat	9
70	TechnoNinja64	9
70	Yamdalorian	9
73	joethahobo	8
73	titanlax	8
73	shadowthemonkey	8
73	Onennon	8
73	KliBeast21	8
73	YungMaki	8
73	xzvu	8
73	Jimb0nat0r	8
81	Spacewardharpy7	7
81	Enderxz3	7
81	Sral7	7
84	NatrixxddxYT	6
84	MyNameIsJobo	6
84	RobotMinion101	6
84	_i_ERROR_i_	6
84	mobunni	6
89	shineh10	5
89	T045RTY	5
89	Historical_Sand	5
89	rarrq	5
89	tobinwilliams	5
89	Razzgriz	5
89	Skippeh	5
96	pintsizedrogue	4
96	Alteriity	4
96	Huwulling	4
96	Fullut	4
96	burbankbuilder28	4
96	NomadicRobin_	4
96	AspenLightVT	4
96	SammiWolfGirl	4
96	CattSoup	4
96	jnp_gaming	4
96	FishisTTV	4
96	TheWickedBird	4
108	Mr_Byzantine	3
108	Jackster03	3
108	Tyrannosplart	3
108	Manaateee	3
108	MrShojo	3
108	ConnorDanky_	3
114	DiscardedCE	2
114	EMC_	2
114	Sabby65	2
114	NotMeanttoChange	2
114	Mookle96	2
114	Arceus1975	2
114	F_Uhre	2
114	LexMakesHistory	2
114	Groundler	2
114	_Mythic____	2
114	Winston_Ingram	2
114	EcksD	2
126	Groovy_MoonBird	1
126	k_ce	1
126	Hpdinosaur	1
126	Ssor69	1
126	TheSecondLord	1
126	Tiberonus	1
126	catandmoose	1
126	pr33tu	1
126	thescout7	1
126	Tjhodskins19	1
126	CharlieButt	1
126	thewindmillman	1
126	The11thDoctor	1
126	Mattesco	1
126	Ender_Souls	1
126	Drewen24	1
126	GooseWithin	1
126	fw3xy74	1
126	420BreadLizard	1
126	radioactv_jelly	1
126	TheEnderMan548	1
126	Spenduh	1
126	jcool7	1
126	KamFurnace	1
126	PlasticOtari	1
126	camando92	1
