rank	username	minecraft:mined/minecraft:green_concrete
1	Snowflowe	3714
2	Smoke____	2417
3	beeperbeeper5	1735
4	TheShyPig	863
5	lordpipe	748
6	TheSecondLord	461
7	Spacewardharpy7	453
8	HellsSponge	423
9	Nicserso	360
10	Optiprimus	353
11	YungMaki	338
12	stellarjay	256
12	Sral7	256
14	teslawolf38	196
14	noam464	196
16	SolicitedPuma101	163
17	jnp_gaming	157
18	Soplight	152
19	Deathkob	133
20	mobunni	112
21	Steelynan	88
22	Hiryu27	77
23	oxfordschool	69
24	ROY4LE	67
24	MakeHistory157	67
26	TheBiggestFeller	66
27	Notta	65
28	chipklip	64
28	YoshikageBites	64
30	burbankbuilder28	54
31	epiksk8erduck	45
32	EMC_	44
32	PlasticOtari	44
34	Kowcio_	39
35	Groovy_MoonBird	38
36	WyngGoy	32
37	pintsizedrogue	31
38	Di_infiri	29
39	Vegvisir	27
40	500am	26
41	thewindmillman	25
42	Euclidoris	18
42	mwrty	18
44	6king6colt6	14
45	Lord_Jord	12
45	VentiHilton	12
47	Ezekson	11
48	ProfessorBee	10
49	SuperPooch06	9
50	Prismyst	8
50	Kim_Jong_eel	8
50	fluddd	8
50	Blaiku	8
50	starbits140	8
50	Legendosh	8
56	LexMakesHistory	7
57	WET_WET_WET	6
58	Rumpletaezer	4
58	obzii	4
60	Mahoose	3
60	PigDab	3
60	The_slideV3	3
60	Xovalt_	3
64	The_SlideV5	2
64	Umbreon900	2
66	Merv__	1
66	ColeSnyder	1
66	Humpcat	1
66	Gooberkid223	1
66	Auseawesome	1
66	CarltheCuck	1
66	MousePlays	1
66	Inbefour	1
66	stahouo	1
66	CalebDHawk	1
