rank	username	minecraft:mined/minecraft:tuff_bricks
1	Enderxz3	15031
2	Secret_Canary	3736
3	thewindmillman	3478
4	Buuck_	2580
5	pixelviolin	1251
6	CLG_Kata	675
7	k_ce	478
8	MyMawgDonaldsGon	452
9	Spaghettatron	337
10	Yamdalorian	284
11	oscminus	276
12	TheKingK_	108
13	net_flex	102
14	LeCavalier636	97
15	_Mythic____	93
16	Merv__	92
17	00000000-0000-0000-0009-01fe065167f0	84
18	MAns_44	58
19	Mr_Byzantine	55
20	beeperbeeper5	45
21	Eczbek	34
22	MattieHD	28
22	Soplight	28
24	Umprella	24
25	lpinfinity	23
26	Werbe	20
27	Pumpkin_P_Patch	11
28	GGabrielSauce	6
29	cutelilreno	4
29	KamFurnace	4
31	Steelynan	2
32	Lorcout	1
32	nev_s	1
