rank	username	minecraft:mined/minecraft:dead_brain_coral_block
1	PlasticOtari	179
2	Legendosh	174
3	eitanzaki	86
4	Onennon	47
5	fkGrim	44
6	H0UNDFRMH3LL	37
7	diamondgolem35	23
7	thewindmillman	23
7	PortlyPete69	23
10	PazinGaming	20
11	groofles	19
12	Blu3beast	15
13	luseis	11
14	pintsizedrogue	10
15	lorpus	9
15	EcksD	9
17	kekhon	6
17	500am	6
19	longappendage	5
19	Eerini	5
21	Lez_	4
21	Archsam	4
21	Di_infiri	4
21	SuperPooch06	4
21	burbankbuilder28	4
21	LeonelSalamanca	4
21	El_Jalapeno	4
21	Kura2218	4
29	_Huge_Male_	3
29	HellsSponge	3
31	ImpavidArcher	2
31	Batman922	2
31	Frxnkz	2
31	Jackattack53	2
31	Werbe	2
31	balin55	2
31	pixelviolin	2
31	YungMaki	2
31	BlankityMcBlank	2
31	Segotep999	2
31	Ezekson	2
42	hollowww	1
42	SaucyDark	1
42	Huwulling	1
42	jessewegottacook	1
42	beeperbeeper5	1
42	Euclidoris	1
42	bloodbiter	1
42	Guillemet	1
42	Arceus1975	1
42	Hyp3rion_	1
42	Krowuss	1
42	oscminus	1
42	ItsAki_	1
42	TheShyPig	1
42	Karbl	1
42	Manaateee	1
42	Soap_Bender	1
42	_Karmaa	1
42	NameGenerat0r	1
42	claivin	1
42	FreakGenius	1
42	TheTommyGun63	1
42	Kowcio_	1
42	bloomkieren	1
42	ConnorDanky_	1
42	Quotary	1
42	Nicserso	1
42	Jimb0nat0r	1
42	FishisTTV	1
