rank	username	minecraft:mined/minecraft:cyan_shulker_box
1	Zythose	1177
2	Mahoose	996
3	pintsizedrogue	849
4	Legendosh	727
5	Akoot_	663
6	500am	602
7	Hyp3rion_	495
8	TheShyPig	457
9	YungMaki	437
10	joethahobo	411
11	Merv__	363
12	rarrq	321
13	beeperbeeper5	295
14	PlasticOtari	253
15	Xalithia	249
16	yulgur1	221
17	Enderslayerxz3	193
18	Fullut	187
19	ApophisNova	172
19	MyNamaSheff	172
21	mwrty	167
22	Ezekson	159
23	sp00ky_ghost977	141
24	fw3xywashere	133
25	jnp_gaming	130
26	Eraxa	129
27	claivin	121
28	Snowflowe	117
29	CoffeeNoir	107
30	kekhon	98
31	Groundler	97
32	Spacewardharpy7	95
33	SammiWolfGirl	91
34	jcool7	85
35	Blackberry1310	83
36	Historical_Sand	78
36	pixelviolin	78
38	Comma__	73
39	fade_emerge78823	71
40	Marbz_	70
41	_NieToksikpl_	69
42	12Magner05	68
43	KingMatthew506	66
44	HellsSponge	65
44	Cyntrical	65
46	HolyVenom	63
47	lillips	62
47	SingedBread	62
49	ClemenPine	60
50	Smoke____	59
51	Hisiste	53
52	Jackattack53	51
52	fluddd	51
54	livingdaydreams	50
55	DanTheBuilderino	48
56	Sky_light_KING	46
57	oxfordschool	45
58	Bandito_Roamer	44
59	h2p_emrld	41
60	TheSecondLord	40
61	Di_infiri	38
62	MilleGrug	37
63	whoaluv	36
64	eclipseboi	34
64	paranoid_plant	34
64	NameGenerat0r	34
67	El_Jalapeno	32
68	Dogcorn69420	31
68	EcksD	31
70	abramgray	30
71	ToastedGamingYT	29
72	Hpdinosaur	24
73	Lukeee33	22
74	PhantomsGhost_	21
74	KartivGal	21
74	Jiminie	21
77	EveryonesUncle	19
78	CalebDHawk	18
79	lordpipe	17
79	stahouo	17
81	Jiminbub	16
81	Steelynan	16
83	IronArshXS	15
83	Hoid_the_Roamer	15
83	The_slideV3	15
83	Th6masss	15
87	titanlax	14
87	MightyWertu	14
89	EMC_	13
89	thescout7	13
89	lizardfightclub	13
89	Vegvisir	13
93	SaucyDark	12
93	m_be9	12
93	Ecplosive	12
93	fred870d	12
97	Razzgriz	11
98	Werbe	10
98	tsitrawhy	10
100	xxPipperDipperxx	9
100	sxc_	9
100	Blaiku	9
100	ZeroKraken	9
104	k1ngGilgamesh	8
104	LexMakesHistory	8
106	emrekn	7
106	thewindmillman	7
106	Mattesco	7
106	KSI	7
106	sadvavilloso	7
111	eitanzaki	6
111	MSK__	6
111	H72l9w	6
111	Euclidoris	6
111	MattieHD	6
111	noam464	6
111	_Bguette_	6
118	Foof13	5
118	jushykins	5
118	MinttyFressh	5
118	ROY4LE	5
118	wezzzi	5
118	Shogunite	5
118	Freak_Genius	5
118	anbbang	5
126	MixerDixer	4
126	Houstonion	4
126	Huwulling	4
126	NomadicRobin_	4
126	Vorlice	4
126	Soplight	4
132	AuroraValkyrie	3
132	ZaneABrain	3
132	_Frepp_	3
132	Awyrlas	3
132	dartwaffle	3
132	Smiguli_	3
138	_Virify_	2
138	Ev0luti0nz	2
138	ImpavidArcher	2
138	Octatrack	2
138	r123moore	2
138	fr_ser	2
138	Skylord_Luke	2
138	Voxin2K	2
138	audiocracked	2
138	Inbefour	2
138	Deodorante	2
138	Deathkob	2
138	MakeHistory157	2
138	OG_Songsee	2
138	EcksDofficial	2
153	seanitoo	1
153	KarlKaek	1
153	T045RTY	1
153	Myszoaz	1
153	shyshyannne	1
153	SteveCraftBlocks	1
153	NotTrixi	1
153	gcaisawesome	1
153	hotdogdude23	1
153	Rocketlaunchers	1
153	gabriels543	1
153	xambsam	1
153	Rumpletaezer	1
153	pappaberg	1
153	Bumpy419	1
153	PigDab	1
153	DominusBeryl	1
153	Jimi7hits	1
153	Lord_Jord	1
153	masskedman	1
153	Fuhrer_Teemo	1
153	_Karmaa	1
153	SlinkyPinky	1
153	Frozil12	1
153	silverpopcorn	1
153	SvenskaHugo	1
153	Kowcio_	1
153	BlankityMcBlank	1
153	Segotep999	1
153	obzii	1
153	ZoomieZoomie	1
153	x86assembly	1
153	TechnoNinja64	1
153	diggydog67	1
