rank	username	minecraft:mined/minecraft:cut_copper
1	Jeteight	94
2	beeperbeeper5	76
3	pixelviolin	46
4	jessewegottacook	43
5	weabis	42
6	UCP_TheKingK	41
7	Steelynan	27
8	LeauVox4921	15
8	RoofTyler	15
10	luseis	11
11	thewindmillman	8
11	Mattesco	8
13	k_ce	7
14	Winklepicker279	6
14	Moofyman	6
14	Nycteus_	6
14	PlasticOtari	6
14	Smoke____	6
19	12Magner05	4
19	Jimb0nat0r	4
21	H0UNDFRMH3LL	3
21	Lez_	3
21	Kubelz	3
21	thebaddruid	3
21	Lord_Jord	3
21	StinkyDiplomat	3
21	Soplight	3
21	calamariclam_I	3
29	Mr_Byzantine	2
29	TheSecondLord	2
31	_stets	1
31	500am	1
31	Kowcio_	1
31	00000000-0000-0000-0009-01ff0c3e5e4f	1
