rank	username	minecraft:mined/minecraft:jungle_wood
1	Pumpkin_P_Patch	182
2	Onennon	104
3	lordpipe	70
4	Kferno	58
5	Yamdalorian	51
6	SvenskaHugo	47
7	Hyp3rion_	36
8	Kowcio_	24
9	CollinMH06	23
9	Mattesco	23
11	hanaryheatwave	17
12	MyMawgDonaldsGon	15
13	xxPipperDipperxx	14
13	Bumpy419	14
15	pintsizedrogue	13
15	Merv__	13
15	Spaghettatron	13
18	Maenara	12
18	Buuck_	12
20	Lekol	11
21	ConnorDanky_	10
22	Franco093	9
22	Airem_Core	9
22	KingMatthew506	9
25	Prodiginus	8
25	Cryptacity	8
25	TheSecondLord	8
25	epiksk8erduck	8
29	Mahoose	7
30	ShedJr_	6
30	thescout7	6
32	Inbefour	5
32	HellsSponge	5
34	Gregward_Smith	4
34	Krowuss	4
34	robonya_	4
37	Incinere	3
37	Michaelelelelele	3
37	rarrq	3
37	SteveCraftBlocks	3
37	MyNameIsJobo	3
37	BronkerBrum	3
43	SaucyDark	2
43	InfernalMound	2
43	Saucepeh	2
43	RobotMinion101	2
43	Manaateee	2
43	Nicserso	2
43	jnp_gaming	2
50	_Virify_	1
50	beeperbeeper5	1
50	noam464	1
50	Jackattack53	1
50	Jimb0nat0r	1
