rank	username	minecraft:mined/minecraft:red_sandstone_slab
1	Groovy_MoonBird	60
2	xolstoi	37
3	Legendosh	20
4	Steelynan	16
5	ImpavidArcher	13
6	RatatJuice	6
6	ProfessorBee	6
8	TheShyPig	5
9	Mahoose	4
10	kekhon	2
10	asspharte	2
12	pintsizedrogue	1
12	Frozil20	1
12	FreakGenius	1
