rank	username	minecraft:mined/minecraft:green_terracotta
1	EMC_	1028
2	pintsizedrogue	942
3	TheSecondLord	919
4	AltnumberF4	709
5	MyNameIsJobo	362
6	Eczbek	353
7	ApophisNova	304
7	MyNamaSheff	304
9	Freak_Genius	296
10	PortlyPete69	279
11	Wooptey	269
12	TheShyPig	258
12	EveryonesUncle	258
14	titanlax	255
15	rarrq	235
16	Legendosh	210
17	epiksk8erduck	193
18	Rebytre	185
19	ProfessorBee	180
20	Strangemonkey71	178
21	sebastiensaborio	160
22	lordpipe	141
23	Merv__	136
24	SuperPooch06	122
25	joethahobo	117
26	Mahoose	99
26	Awyrlas	99
28	H72l9w	96
29	Sral7	86
30	Kim_Jong_eel	72
31	RefluxRatio	66
32	Syropatathe	60
33	Rumpletaezer	59
34	Werbe	55
35	cog	54
36	bloodbiter	52
37	PlasticOtari	51
38	CalebDHawk	37
39	CarltheCuck	34
40	XxCookiequeenxX	33
41	kekhon	29
42	CruncyIsTaken	28
42	Frozil12	28
44	thewindmillman	27
44	oxfordschool	27
46	Jiminie	22
47	fluddd	18
47	Pickel_Lord	18
47	yatsuta	18
50	mwrty	17
51	Soplight	15
52	noam464	11
53	eitanzaki	10
53	Blu3beast	10
53	stahouo	10
53	Enderslayerxz3	10
57	egglapras	9
57	WET_WET_WET	9
59	Groovy_MoonBird	8
59	WyngGoy	8
59	Ezekson	8
62	SteveCraftBlocks	7
62	PigDab	7
62	Barlycorn	7
65	mimbo1211	6
65	BlankityMcBlank	6
67	Incinere	5
67	Deathkob	5
67	_Bguette_	5
70	Nostrom	4
70	Diavri	4
70	jcool7	4
70	Quotary	4
70	Smoke____	4
75	SellyZ	3
75	Di_infiri	3
75	Jackattack53	3
75	Inbefour	3
75	EcksD	3
75	jnp_gaming	3
75	TechnoNinja64	3
82	hm947	2
82	500am	2
82	Skylord_Luke	2
82	LexMakesHistory	2
82	NameGenerat0r	2
82	claivin	2
82	Spacewardharpy7	2
82	kinas45y5	2
90	CoffeeNoir	1
90	Myszoaz	1
90	beeperbeeper5	1
90	Ssor69	1
90	ratglock	1
90	ROY4LE	1
90	Karetoko	1
90	chipklip	1
90	OtherAnimus	1
90	_Karmaa	1
90	MAns_44	1
90	ATurtle4936	1
90	Kowcio_	1
90	lcvezra	1
90	alderban107	1
