rank	username	minecraft:mined/minecraft:blackstone_slab
1	thewindmillman	8530
2	luseis	1892
3	ECstardust	1746
4	Mr_Byzantine	600
5	lordpipe	571
6	pintsizedrogue	546
7	Enderxz3	318
8	Mahoose	193
9	fffMike	179
10	TheSecondLord	171
11	Yamdalorian	159
12	set67	98
13	EveryonesUncle	96
14	Werbe	88
15	ogoa	85
16	Lord_Jord	82
17	soundad	56
18	Kowcio_	55
19	Mattesco	50
20	Spenduh	49
21	jacxhadow	38
21	KartivGal	38
23	4774	34
23	CalebDHawk	34
25	BadenStayFly	33
26	KarlKaek	32
27	HUNTERmaun	31
28	Blackberry1310	29
29	Xalithia	27
29	FreakGenius	27
31	Awyrlas	26
31	skitzxo	26
33	PazinGaming	24
33	beeperbeeper5	24
35	gustarlep	23
36	bigstankyy	22
37	PigDab	21
38	rarrq	20
38	Eraxa	20
40	Kubeusz2010	19
41	Snowflowe	18
42	_Dean_123	17
42	hanaryheatwave	17
42	ApophisNova	17
42	MyNamaSheff	17
46	ImpavidArcher	15
46	drunkeeez	15
48	HyperCave	14
49	bl1ss0	12
49	Jackattack53	12
49	Manaateee	12
52	Apollo_993	11
52	eitanzaki	11
52	ShedJr_	11
52	lorpus	11
56	noam464	10
57	joethahobo	9
57	fragrantmonke444	9
57	lizardfightclub	9
60	skroobiez	8
60	mwrty	8
60	cichy096	8
63	Hyp3rion_	7
63	TheKingK_	7
65	jnp_gaming	6
66	Paint	5
66	MattieHD	5
66	Fullut	5
66	xxPipperDipperxx	5
66	U_Mos_	5
66	Fuad_R	5
66	MAns_44	5
66	wwwwinnebagoooo	5
66	YungMaki	5
66	Legendosh	5
76	Frozil20	4
76	titanlax	4
76	Soplight	4
76	EcksD	4
80	Merv__	3
80	myaccountwasgone	3
80	RebelAndroid	3
80	Alteriity	3
80	Marbz_	3
80	Hahaa_0	3
80	EdGalbraith	3
80	Druid95	3
88	Cowison	2
88	Huwulling	2
88	500am	2
88	excelsionprime	2
88	Di_infiri	2
88	Lord_Zacler	2
88	Quinasin	2
88	fluddd	2
88	pixelviolin	2
88	Winston_Ingram	2
88	RadarHz	2
88	AltnumberF4	2
88	FishisTTV	2
88	diggydog67	2
102	ItsGrayWolf	1
102	livingdaydreams	1
102	Historical_Sand	1
102	SquadMonster	1
102	Hydro___________	1
102	kekhon	1
102	Secret_Canary	1
102	ROY4LE	1
102	benediktine1	1
102	Kakolbus	1
102	shadowthemonkey	1
102	Jonafrog99	1
102	Zythose	1
102	Silvo614	1
102	Galactic_Badger	1
102	Jekyll	1
102	oscminus	1
102	Wowful	1
102	DarlaMeow	1
102	bluefragmentt	1
102	Spacewardharpy7	1
102	Razzgriz	1
102	SammiWolfGirl	1
102	jcool7	1
102	hermmm_	1
102	taengoos	1
102	trexgb	1
