rank	username	minecraft:mined/minecraft:andesite_slab
1	Legendosh	3575
2	_Dean_123	894
3	Lord_Jord	711
4	Mahoose	675
5	EcksDofficial	592
6	EveryonesUncle	573
7	PlasticOtari	412
8	Cryptacity	379
9	HellsSponge	374
10	Hyp3rion_	232
11	Kakolbus	221
12	TheShyPig	204
13	Historical_Sand	170
14	joethahobo	162
15	pintsizedrogue	155
16	Freak_Genius	139
17	sebastiensaborio	131
18	oreee	85
19	I_Am_Mushkin	83
20	FishyBoy3811	64
21	ColeSnyder	62
22	TheSecondLord	54
22	kekhon	54
24	Shiirazuku	52
25	epiksk8erduck	50
26	Snowflowe	49
27	Ezekson	47
28	Hermanni__	46
29	Jackattack53	40
29	ApophisNova	40
29	MyNamaSheff	40
32	Stiar	38
33	cog	37
33	Enderslayerxz3	37
35	rarrq	35
36	soundad	33
37	set67	32
37	KnightmareD	32
39	NotMeowMix	31
40	500am	30
41	Malorn_Aetherius	29
41	m_be9	29
43	YungMaki	28
44	EcksD	26
45	Sky_light_KING	25
46	Smoke____	23
47	Ardennes	22
48	noam464	21
49	Racengan	20
49	Eraxa	20
49	ReyTheLegend	20
52	Blackberry1310	19
52	GravitySaint	19
54	CharlieButt	18
55	mawileite	17
56	Arceus1975	16
57	ogoa	14
57	Cyntrical	14
59	claivin	13
60	Cowison	12
60	KingFaenor	12
60	numbra	12
60	ImpavidArcher	12
60	LibertyMutual	12
65	CruncyIsTaken	11
65	fkGrim	11
67	Merv__	10
67	Onennon	10
67	anbbang	10
70	heckface	9
70	Xalithia	9
70	Jiminie	9
70	Meatlaugh	9
70	The_slideV3	9
70	07shiny	9
70	YoshikageBites	9
70	trexgb	9
78	Groovy_MoonBird	8
78	SquadMonster	8
78	Nycteus_	8
78	SvenskaHugo	8
78	Quotary	8
83	MunkaKris	7
83	Fullut	7
83	himak1	7
83	burbankbuilder28	7
83	yulgur1	7
83	Warlord324	7
83	kyouma777	7
83	PortlyPete69	7
83	FelixPSY375	7
92	Inchef	6
92	SkateboardR6	6
92	IdeallyGrey	6
92	annoyingenderman	6
96	Ssor69	5
96	SteveCraftBlocks	5
96	xxPipperDipperxx	5
96	gcaisawesome	5
96	Quincannon	5
101	T045RTY	4
101	Di_infiri	4
101	cedric72	4
104	Sleek_Storm_721	3
104	ExtraDumb	3
104	IWorkAtIkea	3
104	TheMaster972	3
104	GLLogan2	3
104	Akoot_	3
104	LexMakesHistory	3
104	Blaiku	3
104	ayamefag	3
104	Shin69	3
104	MilleGrug	3
104	tartanboy	3
116	Crowvens	2
116	diamondgolem35	2
116	beeperbeeper5	2
116	Cambo5000	2
116	DScatgirls	2
116	Inbefour	2
116	XxCookiequeenxX	2
116	DemTechAlpha	2
116	MyNameIsDakar	2
116	Soap_Bender	2
116	Deerfoot	2
116	Frozil12	2
116	lordpipe	2
116	starbits140	2
116	__tomato	2
116	smogfrog	2
116	2blox	2
116	h2p_emrld	2
134	livingdaydreams	1
134	Natty	1
134	CoffeeNoir	1
134	Arteriana	1
134	ROY4LE	1
134	Covalents	1
134	SecretSH	1
134	FetteMutter	1
134	Chromary	1
134	iTurbo	1
134	Bumpy419	1
134	Maenara	1
134	_Bguette_	1
134	Karbl	1
134	Blu3beast	1
134	Bloo2406	1
134	Barlycorn	1
134	Matorz	1
134	MakeHistory157	1
134	OG_Songsee	1
134	Conrad139	1
134	layabout100	1
134	Kowcio_	1
134	SammiWolfGirl	1
134	CalebDHawk	1
134	Sheldor097	1
134	Nargotah	1
134	MineCryptian	1
134	Zoeyfortnite	1
