rank	username	minecraft:mined/minecraft:detector_rail
1	noam464	320
2	Jackattack53	213
3	eitanzaki	127
3	ConnorDanky_	127
5	pixelviolin	109
6	fffMike	108
7	HellsSponge	102
8	thewindmillman	72
8	Spacewardharpy7	72
10	Di_infiri	70
10	censorsheep	70
12	StinkyDiplomat	68
13	PigDab	59
14	thescout7	56
15	Hyp3rion_	50
16	EMC_	47
16	oscminus	47
18	mihimihimihi	45
19	ProbsNotNova	43
20	joethahobo	39
20	PlzNoBM	39
22	Hiryu27	38
23	EcksD	35
24	non089	31
25	Spenduh	30
26	yatsuta	27
27	FreakGenius	25
28	ECstardust	24
29	GooseWithin	23
30	Enderxz3	21
31	j5ylim	20
32	Historical_Sand	19
32	Manaateee	19
32	SkateboardR6	19
32	Yamdalorian	19
36	Alteriity	18
37	Nicky_H225	17
38	kalzor	16
38	_Mythic____	16
40	Rasmanden	15
41	andy_rex	14
41	FishisTTV	14
43	Snowflowe	13
44	MattieHD	12
44	MightyWertu	12
44	BumbleBeever	12
47	ProfessorBee	11
48	Bumpy419	10
48	PortlyPete69	10
48	skitzxo	10
51	FreddyFart	9
51	Warlord324	9
51	Druid95	9
51	YungMaki	9
55	Jovaphobic	8
55	Merv__	8
55	SteveCraftBlocks	8
55	Werbe	8
55	Deathkob	8
60	MyNameIsJobo	7
60	masskedman	7
60	__tomato	7
60	MilleGrug	7
64	groofles	6
65	Apollo_993	5
65	RobotMinion101	5
65	AlexxO_o	5
65	Groundler	5
65	DolphinLaugh	5
65	WyngGoy	5
65	TheKingK_	5
65	taengoos	5
73	Comma__	4
73	slkiey	4
73	HolyVenom	4
73	Meatlaugh	4
73	Racengan	4
73	MakeHistory157	4
73	Strangemonkey71	4
73	07shiny	4
73	Kyrum2169	4
73	RadarHz	4
83	pintsizedrogue	3
83	beeperbeeper5	3
83	12Magner05	3
83	RIPB0ZO	3
83	Onennon	3
83	Drewen24	3
83	Lord_Jord	3
83	sp00ky_ghost977	3
83	Kowcio_	3
83	NATE_the_HALO	3
83	mawileite	3
83	HesDemonPants	3
83	jnp_gaming	3
83	vandmanden	3
83	TechnoNinja64	3
83	The_SlideV5	3
99	Groovy_MoonBird	2
99	SmashingPump	2
99	carloselpapii	2
99	Blackberry1310	2
99	TheSecondLord	2
99	NotMeanttoChange	2
99	PegLegPete93	2
99	Kubelz	2
99	Arceus1975	2
99	RebytreGT	2
99	Akoot_	2
99	audiocracked	2
99	Fuad_R	2
99	MAns_44	2
99	Gus2005	2
99	Hisiste	2
99	ayamefag	2
99	FadedSpade82	2
99	Soplight	2
118	Mr_Byzantine	1
118	chipklip	1
118	Frozil20	1
118	tuckerdoodle	1
118	livingdaydreams	1
118	Mahoose	1
118	Malorn_Aetherius	1
118	m_be9	1
118	eviltunix	1
118	eiC_	1
118	Kakolbus	1
118	shadowthemonkey	1
118	hanaryheatwave	1
118	kars0n	1
118	Mattesco	1
118	Samificator	1
118	Fuhrer_Teemo	1
118	Darkgon	1
118	JESS_THE_RERE	1
118	Quincannon	1
118	El_Jalapeno	1
118	Blaiku	1
118	Factoroni	1
118	Steelynan	1
118	OfficerAnvil	1
118	KamFurnace	1
