rank	username	minecraft:mined/minecraft:pink_petals
1	Apollo_993	1243
2	Alteriity	407
3	Buuck_	401
4	TheSecondLord	379
5	Enderxz3	295
6	mymayowasgone	285
7	milltesco	217
8	SteveCraftBlocks	182
9	Krowuss	172
10	11Brewer	152
11	HUNTERmaun	149
12	Kakolbus	144
13	wwwwinnebagoooo	139
14	Sleepy_Evelyn	138
14	U_Mos_	138
16	Athenaeaen	119
17	RatatJuice	117
18	lorywithay	111
19	theonlymagikarp	110
20	TheWickedBird	108
21	MAns_44	99
22	powercas_gamer	96
22	PercivalCaduceus	96
24	Merv__	91
25	Jackattack53	88
26	robonya_	80
27	Huwulling	76
28	Hyp3rion_	72
29	Kowcio_	70
30	LuvLuvLove	68
31	Mr_Byzantine	67
32	pintsizedrogue	60
33	EveryonesUncle	57
34	royal_2	47
34	Gus2005	47
36	Tersea_	46
37	k_ce	45
38	Lazy_geniusig	42
38	hydrothebot	42
40	12Magner05	40
40	XxCookiequeenxX	40
42	ee_echo_oo	39
42	Moofyman	39
44	Napoleonpancake	38
45	shineh10	37
46	Nach0Bear	36
46	Galactic_Badger	36
48	ECstardust	35
49	PazinGaming	33
50	Reneedium	32
51	corvidpartyfor6	31
51	NATE_the_HALO	31
53	lcn	29
53	Lez_	29
55	oscminus	26
55	ScootOfBoot	26
57	hanaryheatwave	25
57	SvenskaSara	25
59	tuckerdoodle	23
59	LovableFemboy	23
59	Rebytre	23
62	MustardSquid	22
62	Steelynan	22
64	Hahaa_0	21
65	beeperbeeper5	15
65	cuddlyMonster	15
67	pixelviolin	14
68	MattieHD	12
68	Manaateee	12
68	Synthoum	12
71	j5ylim	11
72	CLG_Kata	10
73	Mattesco	9
73	StarCookiees_	9
75	KarlKaek	8
76	WoofWare	7
76	Arivana	7
76	Hoid_the_Roamer	7
76	luseis	7
76	SpacesickPrism	7
76	00000000-0000-0000-0009-01f26ea966c4	7
82	mikiagent025	6
82	lordpipe	6
84	Secret_Canary	5
84	Pumpkin_P_Patch	5
86	gren_ben	3
86	Fullut	3
86	Strats__	3
86	Taco_Cat898	3
86	Soplight	3
91	Frigzy_	2
91	_Huge_Male_	2
91	QuiCreans	2
91	philandr	2
91	_witch_craft_	2
91	excelsionprime	2
91	Mr_Sun15	2
91	PaperCanvas	2
91	Cache3	2
91	Spenduh	2
101	lunaticusx	1
101	BPTY4618	1
101	_Destina_	1
101	Hetti301	1
101	Roenfire	1
101	Hashises	1
101	bl1ss0	1
101	obzkon	1
101	Jekyll	1
101	ParadoxProYT	1
101	Tropiicant	1
101	cokcandbals	1
101	AstreaTSS	1
101	TheKingK_	1
101	alanbleachdemon	1
101	MisfitsMike	1
101	TheBananaKat	1
101	DairyNickel756	1
101	KamFurnace	1
101	00000000-0000-0000-0009-01fe065167f0	1
