rank	username	minecraft:mined/minecraft:orange_terracotta
1	MilleGrug	25352
2	Spacewardharpy7	18460
3	oxfordschool	18140
4	lordpipe	8566
5	Inbefour	7973
6	TheShyPig	6629
7	mariominejedi	5172
8	Hermanni__	5139
9	Rumpletaezer	4796
10	Snowflowe	4631
11	Steelynan	4173
12	RebelAndroid	3651
13	KingMatthew506	3189
14	gabriels543	2856
15	EMC_	2744
16	__tomato	2503
17	Xalithia	2444
18	joethahobo	2353
19	ROY4LE	2247
20	Karbl	2228
21	Hoid_the_Roamer	2137
22	tuckerdoodle	2096
23	PhantomsGhost_	2019
24	beeperbeeper5	2001
25	Dusk_95	2000
26	Freak_Genius	1987
27	Nicserso	1870
28	Deerfoot	1863
29	_Karmaa	1765
30	Blaiku	1571
31	Sral7	1540
32	Steven1282598	1502
33	RatatJuice	1482
34	diggydog67	1473
35	SvenskaHugo	1359
36	SDMNAEK	1339
37	Werbe	1285
38	_8man	1238
39	Mahoose	1118
40	Kakolbus	1053
41	the_russell1611	1038
42	mwrty	1030
43	Syropatathe	988
44	TheSecondLord	945
45	Barlycorn	928
46	CoffeeNoir	917
47	set67	817
48	EcksD	782
49	gcaisawesome	780
50	Onennon	768
51	Parcc	760
52	noam464	741
53	fred870d	736
54	SuperPooch06	726
55	Hyp3rion_	701
56	YungMaki	697
57	bloodbiter	676
58	QueenShuvi	663
59	thewindmillman	629
60	_Nuf	523
61	NomadicRobin_	492
62	UrbanPlanner1978	476
63	DarlaMeow	449
64	cog	444
65	AuroraValkyrie	443
66	MeetTheWollo	441
67	wirelesstree	437
68	Merv__	418
69	djancak	417
70	NameGenerat0r	390
71	Jackattack53	387
72	EcksDofficial	373
73	ApophisNova	363
74	EveryonesUncle	339
75	Swexti	336
76	Frozil12	332
77	Blackberry1310	322
78	XxCookiequeenxX	294
79	El_Jalapeno	270
80	Nyxiom_	260
81	Kamflame10	258
82	MovingFish7	255
83	Smoke____	254
84	kekhon	252
85	Di_infiri	249
86	chipklip	245
87	Fullut	243
88	TechnoNinja64	242
89	pintsizedrogue	232
90	censorsheep	227
91	MyNameIsJobo	223
92	audiocracked	210
93	Lord_Jord	209
94	Enderslayerxz3	206
95	error10101	205
96	Blu3beast	193
97	Kowcio_	161
98	eitanzaki	160
99	theonlymagikarp	158
100	500am	156
101	BobDeBouwer1337	150
102	Nycteus_	146
103	livingdaydreams	133
104	ooga47	119
105	Groovy_MoonBird	117
106	mimbo1211	109
107	RoskobiOne	108
108	ImpavidArcher	106
109	Skylord_Luke	103
109	MyNamaSheff	103
111	ProfessorBee	96
112	soundad	90
112	loveseeker	90
114	yatsuta	83
115	Euclidoris	77
116	TooManyDuck	76
116	Zaridey	76
118	LotusProject	74
119	AltnumberF4	72
120	rarrq	71
120	TheSeismicDuck	71
122	SammiWolfGirl	67
123	T045RTY	65
124	Juk3b0x	64
125	Weepingbiel	62
126	monky_irl	57
127	ImDisconnected_	56
128	SpookyDraggin	53
129	TheMilkerOfCats	52
129	Noah_Bez	52
131	Shogunite	51
132	Rebytre	50
132	MightyWertu	50
134	Sabby65	48
135	thgrocks	46
136	Mr_Byzantine	45
137	stahouo	44
138	Notta	42
138	himak1	42
138	Soplight	42
141	Nicky19	41
142	FreddyFart	40
142	jcool7	40
144	yulgur1	39
145	ZeroKraken	38
146	ShedJr_	37
147	_Virify_	36
147	Moofyman	36
147	PlasticOtari	36
150	Hpdinosaur	35
150	_naturell	35
150	Akoot_	35
153	fanofbands101	34
154	Marbz_	33
154	stavgod	33
156	Jovaphobic	31
156	fxiryglitch	31
158	DepressedCubic	30
158	SteveCraftBlocks	30
160	nocturne78	27
160	Kubelz	27
160	StylesK	27
163	Natty	26
164	Thaumatarge	25
164	_Bguette_	25
166	2Stout	24
167	Bumpy419	23
167	selectrix	23
