rank	username	minecraft:mined/minecraft:stripped_acacia_wood
1	beeperbeeper5	113
2	noam464	112
3	Manaateee	98
4	MattieHD	93
5	Mattesco	46
6	Yamdalorian	42
7	Mr_Byzantine	40
8	_Huge_Male_	34
9	Merv__	15
9	MyNameIsJobo	15
11	Nicserso	14
12	luseis	12
13	Jimb0nat0r	7
14	Soplight	6
15	Megarboh	5
16	Groovy_MoonBird	4
16	fkGrim	4
18	Groundler	3
19	TheSecondLord	2
19	TheShyPig	2
19	pixelviolin	2
19	Kowcio_	2
23	eitanzaki	1
23	Mahoose	1
23	bl1ss0	1
23	Winklepicker279	1
23	TheALV	1
23	Mikael_Kuningas	1
23	skitzxo	1
