rank	username	minecraft:mined/minecraft:spruce_fence_gate
1	m_be9	253
2	Eraxa	251
3	Merv__	206
4	Mahoose	176
5	MyNameIsJobo	131
6	pintsizedrogue	126
7	Skylord_Luke	114
8	Ezekson	110
9	Winklepicker279	93
10	beeperbeeper5	89
11	TheShyPig	85
11	PlasticOtari	85
13	Onennon	82
14	eitanzaki	78
15	joethahobo	77
16	stahouo	70
17	PortlyPete69	64
18	Freak_Genius	61
19	500am	59
20	RobotMinion101	58
21	EveryonesUncle	50
22	Zythose	49
23	Drlzyy	47
23	Cryptacity	47
23	Steelynan	47
23	Enderslayerxz3	47
27	Di_infiri	46
28	Smoke____	45
29	jcool7	43
30	Frozil20	42
31	Soplight	38
32	ImpavidArcher	37
32	HesDemonPants	37
34	_Dean_123	36
35	EcksDofficial	34
36	ZoomieZoomie	31
37	_stets	28
37	Comma__	28
37	Cortexia	28
37	oxfordschool	28
41	rachcl	25
41	fkGrim	25
43	Jackster03	22
43	kekhon	22
43	Arceus1975	22
43	RodSerlingCringe	22
47	Jiminie	21
47	anbbang	21
49	Jackattack53	20
49	Racengan	20
51	rarrq	19
51	TheSecondLord	19
51	lordpipe	19
54	obzii	17
54	Soffbord	17
56	El_Jalapeno	16
56	CalebDHawk	16
58	PazinGaming	15
58	Bumpy419	15
60	Fullut	14
60	burbankbuilder28	14
60	_Karmaa	14
60	lcvezra	14
64	Meatlaugh	13
65	Blackberry1310	12
65	Chromary	12
65	Jeteight	12
65	DemTechAlpha	12
65	pixelviolin	12
70	Tommhh	11
70	RatatJuice	11
70	Inchef	11
70	Deathkob	11
70	freya__b	11
70	OfficerAnvil	11
76	dopplexd	10
76	4774	10
76	Groundler	10
76	JoCoLi	10
76	diggydog67	10
81	MattieHD	9
81	chipklip	9
81	ayamefag	9
81	The_SlideV5	9
85	Jovaphobic	8
85	Kakolbus	8
85	ApophisNova	8
85	Jimi7hits	8
85	ChocolatePepsi	8
85	MAns_44	8
85	UCP_TheKingK	8
85	MyNamaSheff	8
85	Legendosh	8
94	Tolhart	7
94	Historical_Sand	7
94	M_Patata	7
94	Akoot_	7
94	HellsSponge	7
94	SammiWolfGirl	7
94	EngagedGrub41	7
94	Skippeh	7
102	Malorn_Aetherius	6
102	orxngejuice	6
102	xxPipperDipperxx	6
102	noam464	6
102	MangoTheFish	6
102	CarryLine	6
102	rotten_mango	6
102	PartyPhoenix	6
102	claivin	6
102	wwwwinnebagoooo	6
102	AvaRosey	6
102	Eczbek	6
102	Sral7	6
115	diamondgolem35	5
115	RebelAndroid	5
115	Joestra	5
115	LexMakesHistory	5
115	iSammael	5
115	Njensen7	5
121	Sleepy_Time_	4
121	jacxhadow	4
121	pr33tu	4
121	John6970	4
121	Werbe	4
121	groofles	4
121	_Bguette_	4
121	MyNameIsDakar	4
121	StinkyDiplomat	4
121	SkateboardR6	4
121	MasterNueve	4
121	Quotary	4
133	SDMNAEK	3
133	Guillemet	3
133	Masssonnn	3
133	Laykon	3
133	thescout7	3
133	Rumpletaezer	3
133	Hyp3rion_	3
133	Donutt	3
133	Felenov	3
133	epiksk8erduck	3
133	PigDab	3
133	Shavrin	3
133	lillips	3
133	ewpunk	3
133	Blu3beast	3
133	Nycteus_	3
133	Spacewardharpy7	3
133	Lowjinx	3
151	SaltineDream	2
151	Bandito_Roamer	2
151	squigglybones	2
151	JohnnyMines	2
151	AuroraValkyrie	2
151	ColeSnyder	2
151	DinoDoctor_	2
151	Bad_At_Names_Guy	2
151	Sabby65	2
151	Hpdinosaur	2
151	T045RTY	2
151	Natty	2
151	Seyaboy	2
151	H72l9w	2
151	MrKrabOnCoke	2
151	Swexti	2
151	IWorkAtIkea	2
151	Stynxy	2
151	titanlax	2
151	Ardennes	2
151	corvidpartyfor6	2
151	potato292	2
151	Kkanot	2
151	egglapras	2
151	SuperPooch06	2
151	whoaluv	2
151	_Boipl_	2
151	CrateOfBoxes	2
151	seramalen	2
151	CruncyIsTaken	2
151	Waffleman258	2
151	xo_Marren_xo	2
151	Toasty_Tom	2
151	Inbefour	2
151	NoChumpChange	2
151	Shogunite	2
151	Cavetorch	2
151	OG_Songsee	2
151	Ze_BaronKrigler	2
151	Kowcio_	2
151	AssFullaCum	2
151	Segotep999	2
151	Luigipunch989	2
151	al626win52	2
151	daybreakus	2
151	2blox	2
151	_Dri_	2
198	HBA00_	1
198	heysushii	1
198	q_wq	1
198	Sleek_Storm_721	1
198	bigstankyy	1
198	Dedalus36	1
198	AlazelTheReal	1
198	Huwulling	1
198	_AceOfSpace_	1
198	jessewegottacook	1
198	Alphanzt99	1
198	FirsTimeGamingTV	1
198	Crowman1	1
198	ratglock	1
198	gilesmcriles	1
198	set67	1
198	UncreativeArtist	1
198	ROY4LE	1
198	breadbowlgamer	1
198	Orcus113	1
198	jedi_george	1
198	AJplaysMC_	1
198	beata_beatrix	1
198	Studyhallsaver	1
198	S4tox	1
198	HyperCave	1
198	thgrocks	1
198	Honor555	1
198	GigaSl	1
198	Lutres_Torane	1
198	fluddd	1
198	MightyWertu	1
198	Blaiku	1
198	SingedBread	1
198	Barlycorn	1
198	Typadopoulos	1
198	Hisiste	1
198	Factoroni	1
198	Dusk_95	1
198	Xovalt_	1
198	Lord_Doob	1
198	07shiny	1
198	sleepdrifter_	1
198	SvenskaHugo	1
198	YungMaki	1
198	Fizznut909	1
198	krutas2000	1
198	fffMike	1
198	ssniffles	1
198	VentiHilton	1
198	EcksD	1
198	mountaingirl311	1
198	TechnoNinja64	1
198	kinas45y5	1
198	Jordan_R	1
198	trexgb	1
